Yorum,Duygu
daha deneme firsatim olmadi ama kargo cok hizli geldi butun aparatlari saglam ve eksiksiz guzel duruyor goruntu kalitesi cok guzel degil ama fiyatina gore guzel bir urun,Tarafsiz
"Hafif, goruntu kalitesi guzel denilebilir bu kamera icin. Sarji cabuk bitiyo ama.",Tarafsiz
"Tam bir fiyat performans urunu. Gunluk trafik akisinizi kaydedecekseniz ideal bir kamera.  Olumlu taraflari : Fiyatina gore goruntu kalitesi iyi, urun tum aparatlarla beraber geliyor. Sarzi 2",3 gun gidiyor. Olumsuz taraflari : Videolari .mov formatinda kaydediyor dolayisiyla boyutlari buyuk oluyor.
Kullandik guzel,Olumlu
cok bi kalite beklemeyin. kizim vakit gecirsin diye almistim. ara ara kendiliginden kapaniyo. fakat beklentimi karsiladi.,Olumsuz
gayet iyi begendik,Olumlu
Kalitesiz almayin,Olumsuz
Kotu yorumlara bakmayin 720p cekimde efsane su altinda da cok iyi cekiyo mikrofonuda baya iyi,Olumlu
"Goruntu kalitesi kotu, 12 mpx ile alakasi yok.",Olumsuz
cok kotu bence almayin paraniza yazik,Olumsuz
Fiyat performans acisindan iyi bir urun,Olumlu
her sey cok iyiydi. bol bol kullandik. gayet basarili bi urun,Olumlu
Goruntu kalitesi zayif ve hafiza karti icinde yok ama hos bir kamera.,Olumlu
Kizim cok istedi aldik cok memnun tatilde havuzda cekim yapmayi dusunuyor bakalim nasil olacak,Tarafsiz
cok guzel cihaz,Olumlu
Bence gayet guzel,Olumlu
cok bisey beklememek lazim fiyatina gore,Tarafsiz
Fiyat performans urunu denemek icin uygun bir fiyata aldik memnun kaldik,Olumlu
Kullanisli ,Olumlu
Arac ici kamera olarak kullaniyorum gayet guzel,Olumlu
malesef ,Olumsuz
Malzeme kalitesi cok iyi degil,Olumsuz
Cok guzel,Olumlu
Urun guzel ve kullanisli,Olumlu
Bekledigim gibi geldi. Goruntu kalitesi cok yuksek degil ama orta cekimde iyi.,Tarafsiz
guzel urun hizli kargo,Olumlu
harika bu fiyata bu urun,Olumlu
su alti deniz kamerasi efsane cok guzel cok net gosteriyor,Olumlu
oyuncak olarak alinabilir.,Olumsuz
beyaz ekran ,Olumsuz
Keske icine kamerayida koysaydiniz.,Olumsuz
fiyat performans urunu hizli satici memnun kaldik,Olumlu
urun video cekimi yapmiyor,Olumsuz
Fiyat performans urunu. Kullanisli. Cok iyi cekim yapmiyor ancak zaten bu fiyata buyuk bir beklentiyle almadim. Oglum tatilde kullansin diye aldim. Hafiza kartini ayrica almaniz gerekiyor. O da icinden ciksa daha iyi olurmus.,Tarafsiz
goruntu kalitesi kotu. kayit yapiyor ama cok bulanik.,Olumsuz
su alti kamerasi olarak guzel cekim,Olumlu
Urun fiyatina gore guzel .Satici cok ilgili .Tesekkurler..,Olumlu
urunu aldim fakat kullanmaya daha zamanim olmadi.sualti cekimi iyiyse benim icin tamamdir.,Tarafsiz
fiyat performans acisindan iyi idare eder bir kamera,Tarafsiz
fiyat6na gore iyi is gorur,Olumlu
Fiyata gore iyi ama gerek yok,Tarafsiz
"Kesmiyor etleri yoluyor, kalitesi dusuk ve farkli marka yollanmis.",Olumsuz
hala gelmediiiiii,Olumsuz
Ablama hediye olarak aldim. cok begendi sarisi cok acik rengi degil ama tam goruldugu gibi de degil orta indirimdeyken alinmasini oneririm,Tarafsiz
Urunu hediye olarak almistim indirimden aldim cokda kaliteli degil indirimden aldigim icin iade etmedim,Tarafsiz
Kayinvalidem hediye aldim kumasina ve modelini begenmis,Olumlu
urunu begebdim indirimden almistim,Olumlu
merhabalar gozel set aldim beyendim ve 4tane aldim guzel ve rahat kulanislidir yikamada sorun olmadi tsk imdirim olursa haber verin sayqlarla,Olumlu
Sakin ama sakin almayin buyuk bir istekle surpriz olarak almak istedim fakat gelen urun sonrasi mahcup oldum parama yazik bildiginiz naylon ve rengi cok soluk haketmiyor parayi kesinlikle,Olumsuz
Cok guzel deseni var. Hediye aldik bayildilar. Biraz pahali ama. Osmanli desenleri severler bayilir.,Olumlu
Gold ve avangart asigi biri olarak cok begenerek aldigim ve cok severek kullandigim bir urun. Tesekkurler trendyol,Olumlu
Anneme indirimden almistik cok kaliteli bir urun degil ince ve tek yikamada rengi soldu,Olumsuz
indirimde almistim ama yine de fiyatina gore kalitesi cok dusuk iade ettim,Olumsuz
daha once alip kullanmak icin sakladigimiz bir urundu 30 C de yikanmasina ragmen renk atti camasir suyu degmis gibi oldu kesinlikle kaliteli bir kumasida yok asla tavsiye etmiyorum asla bu sayfadan birdaha alis veris yapmayacagim,Olumsuz
Asla gorsele aldirmayin gorundugu gibi gelmedi anneme hediye almistim ben uyurken kargo gelmis annem alip makineye atmis yikamak icin yoksa aninda iade ederdim yan dikislerini sokup tekrar dikmisler erbat duruyor rengi soluk kumasi kalitesiz sakin almayin,Olumsuz
urun bugun elime gecti 30  derecede yikadim cok buyuk husrana  ugradim mahcubiyetimi ise anlatamam anneme hediye almistim  rengi tamamen soldu gorundugu gibi asla degil cok yazik ....,Olumsuz
urun cok guzel cok kaliteli ceyiz hediyesi almistim indirimden memnun kaldim,Olumlu
bu urunu hediye almistim ben cok begendi hediye ettigim kisi cok guzel dedi,Olumlu
Ceyizime aldim efsooo,Olumlu
Bu fiyata daha duzgun bir sey alinabilir. Tek guzel olan tarafi desen. Kumasi pek kaliteli degil. Indirimde aldigima ragmen degmedi,Olumsuz
hediye aldim cok begendiler.,Olumlu
Hediye aldik ve cok kullanisli,Olumlu
uc kurus  fazla olsun kaliteli olsun. ablama hediye aldim rengi soluk geldi sonra  yikandi renk menk kalmadi paraniz bosa gitmesin almayin.,Olumsuz
hediye olarak aldim cok begebdiler,Olumlu
kalitesi fazla iyi degil sus amacli kullanilabiliyor,Tarafsiz
urunden iki tane aldim ama birinin carsafini cift kisilik olmasina ragmen tek kisilik koymussunuz  ve butun guzelligi batirdiniz cok sagolun gercekten ,Olumsuz
Fiyati urune gore uygun rengi de canli aynisi gibi geldi tesekkurler Trendyol,Olumlu
ASLA ALMAYIN ASLA !!! PARANIZA YAZIK 1 KERE YIKAYINCA RENGI SOLUYOR CIFT KISILIK YERINE TEK KISILIK CARSAF YOLLAMISLAR,Olumsuz
urun COK kotu bir kac yikamada hemen soldu 10 yillik nevresim gibi duruyor kesinlikle almayin,Olumsuz
Gercekten durusu cok sik.Yeni modadan cok utu istemez sanirim.,Olumlu
tesekkurler trendyol,Olumlu
Bir yakinimiza evlilik hediyesi olarak aldik. Cok guzel. Kalitesi rengi dokusu mukemmel. Kendimize de almayi dusunuyorum.,Olumlu
Pes orani pamuktan daha yuksek pek yumusak bir dokusu yok. gorseli guzel ama kullanisli degil. Ben yatak ortusu olarak kullanicam evde fazladan yatagim var modelini begendigim icin iade etmeyecem,Tarafsiz
Mukemmel olmus elinize saglik  ,Olumlu
urun cok kaliteli degil ama kargo iyi cabuk geldi fiyat  ta indirim olunca bende kaliteli bisey  sanmistim ne yazikki naylon,Olumsuz
bugun geldi cok begendim rengi dokusu canli fiyata gore cok.uygundu indirimleri takip edin alin,Olumlu
Cok cok kotu bir urun incecik kumasi var . ayaga kardirinca ici gozukuyor . Daha ilk yikamada siyah renk atti ve grilesti . Desenini ve renklerini begendigim icin 2 tane almistim ama cok kotu ve kalitesiz bir urun simdi keske 2. yi almasaydim diyorum sanki parami cope attim . Asiri kotu akliniz varsa goruntuye aldanmayin gidin magazadan dokunarak,Olumsuz
kayinvalideme anneler gununde hediye almistim rezil oldum o kadar kotu yani ,Olumsuz
Berbat bir urun zaten resimde gorundugu model gelmedi. Modeline bakmak icin mecbur paketini acmak zorundasiniz paketi acinca da iade kabul etmiyorlar resmen cop yani yikayinca rengi soldu siyahti griye dondu,Olumsuz
Fiyatina gore kalitesi iyi tek kisilik kirmizi rengini kullaniyorum cift kisiligine denk gelirsem onuda alacagim,Olumlu
cok guzel bir urun birisi icin siparis etmistim cok begendi,Olumlu
Cok begendim ozellikle modelini..,Olumlu
Annem ve teyzeme aldim cok begendiler ama kumasi sert guzel degil ve cekme yapti ben begenmedim kaliteli bir sey degil incecik,Tarafsiz
berbat bir urun asla.almayin rengi ayni degil soluk renk li ve cok once kumas terleten ve cok rahatsiz.edici killi gibi tufler var cok sik bin pismanim,Olumsuz
resmen aldatmaca fotografta gorunen le ilgisi alakasi yok resmen pazar mali belki pazarda bile bu kadar kotusu satilamazdi yazik verilen paraya,Olumsuz
Indirimli olarak almistim ilk yikamada renk tonlari   acildi bekledigim gibi gelmedi kullandigim deterjan renk koruma ozellikli 30 derecede yikadim Kumasida kaliteli degildi,Olumsuz
Cok sik duruyor.,Olumlu
Nevresim cift kisilik diyorsuz ama ortuk cok kucuk sevmedim,Olumsuz
Kalitesi cok kotu. Ne rahat uyunuyor ne de canli desenler var . ilk yikamada soldu.  Aldigima pisman oldum.,Olumsuz
Cokkkk sik,Olumlu
Soluyor diye yorum yapmistim ancak yikanma hatasindan oldugunu farkettim. Solma minimum ancak terletme yapiyor. Deseni guzel.,Olumlu
Guzel urun,Olumlu
Guzel hos duruyo,Olumlu
cok begendim tam oldu.,Olumlu
Anneme almistim cok begendi,Olumlu
carsafi tek kisilik geldi renk yikayinca bozuldu,Olumsuz
asla ve asla tavsiye etmiyorum trendyoldan alisveris yapmayin,Olumsuz
Urun cok guzel cok sik duruyor,Olumlu
sekli guzel ama kalitesi kotu hic tavsiye etmem,Tarafsiz
Super  cok begendim cok  sik urun ❤️,Olumlu
Boyle kalitesiz berbat bi nevresim takimi omru hayatim boyunca gormedim.resimdeki gibi asla degil kandirmak icin fotosop yapmislar .Gelis paketleme berbat acilmis geldi.iade edemedim .agir berbat bir koku vardi yikadim daha kullanmadan rengi tamamiyle soldu allah sahit aldiginiz para helal olmasin aldiginiz paranin 1 kurusunu dagil haketmiyosunuz.,Olumsuz
cok gosterisli  duruyor  begendik,Olumlu
berbat bir urun. kargoyu actigimda soluk bir urundu. yikadiktan sonra rengi tamamen gitti. asla tavsiye etmiyorum,Olumsuz
Bekledigimden cok daha hos cikti urun.,Olumlu
Berbad bir urun. Cox pesmanam aldigim ucun.,Olumsuz
Cok sik ve gorundugu gibi,Olumlu
utun gercekten guzel ve sik,Olumlu
Ilk yikamada sorun yasadim renkler soldu urun gec geldi  ‘’ TAVSIYE ETMIYORUM  ‘’,Olumsuz
Berbat bir nevresim takimi yikamadan soldu sakin almayin,Olumsuz
esim  rahatsiz oldu.. yikamadan onceki dokusuda ayniydi yikadiktan sonrada.  ehh  goruntu boyle uzakatan guzel,Olumsuz
Bir yikamada rengi soldu zaten geldiginde de pek canli degildi tavsiye etmiyorum,Olumsuz
nazik sevmedim,Olumsuz
Tek yikamada soldu pismanlik ! Urun cift kisilik carsafi tek kisilik asla alinmaz,Olumsuz
urun geldi tskler,Olumlu
gorunusune aldanmayin o kadar kotu kumasi nasil bu kadar guzel gosterdiler anlamiyorum kumas tamamen naylon paraniza yazik etmeyin,Olumsuz
paketi acar acmaz degisik agir bir koku sardi etrafi ustelik cok fazla naylosumsu penye gibi degil,Olumsuz
Paketleme kotu sadece urun basarili,Tarafsiz
cok guzel ciddiyim almaniz lazim ama lacivert olsa daha iyiydi,Olumlu
Cok iyi. Kullanisli Bi urun.  Paketleme iyi teslim suresi kisa.,Olumlu
urun cok kotu hic begenmedim ilk yikamada renk atti soldu resimdekiyle alakasi yoktur. daha uyguna aldigim  farkli urunler bile daha guzel cikti. bu yorumu  okuyun ve almayin sakin .,Olumsuz
B,A
berbat hem tek kisilik geldi hem kumasi berbat,Olumsuz
harika bir nevresim takimi,Olumlu
Aslinda cok sik cok guzel tam boyle geliyor 2 yikamada renk kalmiyor inanilmaz soldu mahvoldu,Olumsuz
idreedr. bnn,Olumsuz
Ben saten zannedip aldim fakat normal geldi yinede cok memnun kaldim goruntusu de kaliteli si de guzel,Olumlu
Gorunus kotu,Olumlu
Guzel sik urun ve hizli kargo,Olumlu
guzel cok seviyorum,Olumlu
Urunun kalitesi hic iyi degil almanizi tavsiye etmem ben aldim acmis bulundum,Olumsuz
guzel tavsiye ederim,Olumlu
Berbat bir urun. Ilk yikamada tum renkler yok oldu sanki . 20 yildir kullanilan bir urun gibi oldu bir daha ne yatagima orterim boyle urunu direk cope attim asla tavsiye etmem,Olumsuz
Ilk defa alisveris yaptim kargo paketleme guzeldi urunu cok begendim tavsiye ederim,Olumlu
urunu cok begendik emegi gecen herkezin eline saglik cok tsk ederiz,Olumlu
gorundugu gibi degil  kalitesiz yastik kilifi modelleri fotograflarindaki gibi farkli geldi ama iade etmedim gundelik kullanacam,Tarafsiz
urun harika nevresim carsaf yastik kilifi hepsi icinde ....hizli kargo kaliteli urun .....tesekkurler,Olumlu
urunu hic begenmedim daha ilk yikamada butun rengi akti verdigim para bosuna gitti siz boyle bi urunu nasil gonderiyounuz aklim almiyo gorselde cok guzel duruyo fakat ilk yikamada butun rengi akiyo sakin almayin arkadaslar,Olumsuz
"Urunu cooook beyendim iyiki de aldim. Paketlenmesi, hizli teslimat ucun tesekkur ederim",Olumlu
Urun anlatildigi gibiydi cift kisilik yataga tam oturdu 160,200 olcusu tam
Selin cigerci den duyup almistim ama cok pisman oldum renkleri canli degildi ve tek yikamadan sonrada 5 yillik urun gibi oldu sakin almayin,Olumsuz
Resime aldanmayin gorundugu gibi degil rengi soluk ve kumasi sert,Olumsuz
urun hic gorundugu gibi degil parlak gozukuyor canli gozukuyor resimde fakat degil ben ceyizime almistim yastik kiliflari da resimdeki gibi degil 1 yikamada soldu ztn boyle canli gorunumu yoktu kumasi da berbat tavsiye etmem pisman oldum ben,Olumsuz
urune puan vermiyorum  cunku yorumlara ragmen aldim bugun geldi gec geldi bekliyorsunuz bide kotu cikinca insanin hevesi kiriliyor Osmanli denmis hic yakusiyomu ya iaddele ugrasmicam bide parani bekle,Olumsuz
guzel machaalah ,Olumlu
Harikaaa bir kumasi var. Cok begendik esimle. Tesekkurler trendyol ,Olumlu
indirimdeyken aldim fotograf a gore mat  carsafida biraz kucuk ayrica yastik gorseldekinden farkli desende,Tarafsiz
guzel rengi,Olumlu
Kumasi cok rahatsiz edici,Olumsuz
hic yildiz vermicektim ama yorum yapabilmek icin verdim hic iyi degil bir kere yarim saatlik attim makinaya soldu akti siyahi tavsiye etmiyorum.,Olumsuz
kalitesi asiri kotu gercekten naylon gibi ve asiri sert bir yapisi var ve paketinden ilk cikardiginizda o kadar kotu bir kokusu var ki dayanamadik bile kesinlikle onermiyorum,Olumsuz
guzel tam oldu,Olumlu
,Olumlu
cok kotu hic tevsiye etmiyorum aldim ancak kalitesi 0  renginde buradaki kibi diyil yemin ederim parlama yazik oldu ben Azerbaycandan siparis etdim  aslinda en begendigim nevresim takimi bu idi ama Cox kotu cikti,Olumsuz
Berbat Bi urun sakin almayin bir yikamaya renk denen bir sey kalmadi yaziklar olsun saticiya,Olumsuz
Muhtesem asil,Olumlu
Urunun kalitesi de rengi de iyi degil canli siyah degildi bile pisman oldum aldigima.,Olumsuz
urun foto daki gibi degil. firma ozensiz. yastik kiliflari resim deki gibi degil deseni degisik geldi,Olumsuz
Gorunusu guzel olmasina ragmen kalite olarak hic guzel degildi naylonsu bir yapisi vardi.,Olumsuz
Cok begendik erken kargo geliyor guzel urun herkese tavsiye ederim,Olumlu
kullanisli hizli kargo tesekkurler,Olumlu
mukemmel otesi,Olumlu
Urun cok kalitesizdi verilen paraniza yazik almayin kesinlikle. Renkler soluktu zaten Yikama  sonrasi iyice berbat oldu.,Olumsuz
Hic guzel degil almayinnnnn,Olumsuz
Bir yikamada renk atti. Gorunusu kadar asil degil. Fotolarla alakasi yok.,Olumsuz
Hic memnun kalmadim gelen urun elek gibi yeri ve gelince yikadim rengi soldu,Olumsuz
gorundugu gibi canli bir renk degil icim atarak aldim burukarak kullaniyorum,Olumsuz
Rengi tek yikamada cikti cok cok cok kotu,Olumsuz
cok hizli geldi bi de cok guzel,Olumlu
cok guzel cok begendim cabuk var hizli sekilde getirdiler tesekkur ediyorum,Olumlu
Bugun teslim aldim cok begendim tesekkur ederim,Olumlu
Asla almayin yikaninca kumasi soldu gitti hic guzel degil,Olumsuz
Tek yikamada kisa program olmasina ragmen rengi atti rezil bir urun hakkimi helal etmiyom,Olumsuz
"Rengi tek yikamada soldu, eski gibi oldu. Tavsiye etmiyorum.",Olumsuz
Bir yikamada rengi gitti ve diger ortume siyah renk cikti kimsenin almasini tavsiye etmem,Olumsuz
ilk yikamada rengi ole bir gidiyor ki gorunumu icin soylediginiz nevresimin hicbir degeri kalmiyor.Nevresim de yiknamadan olmaz.Yorumlari okuyup bir sey olmaz deyip soyledik pisman olduk.Ayrica cok sert hos degil.,Olumsuz
muhtesemdi ya gercekten ama rengi soldu,Olumlu
"Urunun renkleri cok cansiz ve resimde gorundugu gibi parlak degil. Ayrica, kumasida biraz serttir, yumusak degildir. Tavsiye etmiyorum.",Olumsuz
Kaliteli ve hizli gonderim yapildi tesekkur ederim,Olumlu
Ilk yakamada rengi soldu bu nasil urundur hic memnun kalmadim yildiz bile verilmez...,Olumsuz
berbat bir urun iki yikamada soldu tavsiye etmiyorum,Olumsuz
guzel paketlenmisti,Olumlu
"resimde kaliteli saten kumas gibi gorunuyor yolladiklari  incecik naylon gibi. kumasi pamuk65 pes35 yaziyor nasil birsey oldugunu bilmiyordum. pikesinide almistim, bu fiyata beklenti yuksek olmamali aslinda. desani guzel, iscilik iyi, defosu yok, hizli teslimat sadece kumasi kotu, keske bu kumas tan nevresim degilde tul perde dikselermis daha verim",Tarafsiz
Yikaninca soluyor kesinlikle tavsiyes  etmem,Olumsuz
kislik urun ozellikleri yok,Olumsuz
Kraliyet ailesinin bir parcasi gibi hissetmek istiyorsaniz kacirmayin derim. :)),Olumlu
Fiyati hic haketmiyor . Kumasi cok basit .urun ilk yikamada soldu sakin almayin,Olumsuz
Urun hic kaliteli degil kumasi cok sert tavsiye etmiyorum yikandikca soluyor hic begenmedim,Olumsuz
Asiri kalitesiz kumas,Olumsuz
Bir yikamada oldu. Kesinlikle tavsiye etmiyorum. rengi igrenc bir hale geldi.  cok kotu soldu. emek cekip dikenlere de yazik.  bu kumasin boyamasinda bu kadar adi boya kullanilmaz. siz sattiginiz urunun adiligini bilmiyor musunuz.,Olumsuz
Cok kotu sakin almayin ilk yikamada rengi soldu,Olumsuz
yikayinca rengi hemen soldu tavsiye etmem,Olumsuz
