Season,Time,Content,Sentiment
kış,öğlen,müşteri hizmetlerini aradığınızda onlarca kontörü harcadığınız daha sonra insanların isyanından ötürü bunu 1 kontöre çeken zamanında internet sitelerinden kontör satın alınabilen şuan varmı bilmiyorum süper açıkları sayesinde bir lise öğrencisi ve o öğrencinin okuduğu okuldaki arkadaşlarının tümüne 30005000 kontör yüklettiği karamehmet ve arkasındaki büyük patronların para basma merkezleri,
kış,gece,yapılmakta olan telefon görüşmesini 2 saat 2 dakika ve 34 saniye civarındayken açık unuttun sen bunu diye otomatik olarak kesen gsm operatörü,
kış,gece,ragga oktaya para vermek yerine ücretlerinde indirim yaparak daha çok kullanıcıya sahip olup hayır dualarımızı alacak olan kurum,
i̇lkbahar,akşam,her ay 45 dk free konuşma ve 30sms hediyesi almış olmanıza rağmen borçtan telefonunuzu direk kapatan beleş konuşmayı da size vermeyen bir firma,
i̇lkbahar,gece,bkz ekşicell,
i̇lkbahar,sabah,türkiyede mobil iletişim şubat 1994te turkcellin hizmete girmesiyle başlamıştır 27 nisan 1998de tc ulaştırma bakanlığı ile 25 yıllık gsm lisans anlaşması imzalayan sirkettirkurulduğu günden bu yana sadece türkiyede lisans bedeli de dahil olmak üzere yaklaşık 37 milyar amerikan dolarından fazla altyapı yatırımı yapan turkcellin 2002 yıl sonu itibarıyla 157 milyon abonesi bulunmaktadır turkcell aralık 2002 itibarıyla nüfusu 10000in üzerindeki yerleşim merkezlerinin 100ünü 5000in üzerindeki yerleşim merkezlerinin ise  99unu kapsama alanı altına almıştırturkcell aboneleri her türlü soru ve bilgi için 7 gün 24 saat hizmet veren turkcell müşteri iletişim merkezine 444 0 532 numaralı telefondan 0212 313 00 99 numaralı fakstan ve musterihizmetleriturkcellcomtr adresinden ulaşabilmektedir,
yaz,öğlen,su an internet sitesine baglanamadigim ama 404 error yerine kendi hata mesajini veren new york borsasinda da hisseleri bulunan turkiyenin gsm operatoru diyorlar,
yaz,öğlen,internet sitesi baştan aşağı yenilenen gsm şirketibkz ,
yaz,öğlen,bkz super sifre,
yaz,akşam,aria tarafından açılan dava sonucunda mahkeme kararı uyarınca yaklaşık 21 trilyon lira tazminat cezasına çarptırılmış firmadırbkz allahından bulmakdip not bu şirket ile beraber telsime de yaklaşık 19 trilyonyanlış duymadıysam ceza verilmiştir,
yaz,öğlen,imkbdeki senet kodu tcell olan şirket,
yaz,akşam,bilgi mesajı servisi su anda kafayı yemiş olan sirket10 defa gsbilmem ne macinin baslama saatini bir o kadar da ilk yarı sonucu gonderip sinir bozuyor,
yaz,akşam,bir iki hafta öncesine kadar tekrar rekabet kurumu tarafından gms piyasasında hakim durumda olmak ve hakim durumu kötüye kullanmak gerekçesiyle trilyonlarca para cezasına çarptırılmış birilerinin kendisine rekabet kurallarını öğretmesi gereken yoksa cebinden daha çok trilyonlar çıkacak firma,
sonbahar,akşam,10 kasımda ataya sevginizi cebinizden gösterin atatürk nokia resmi için şeklinde seviyesiz ve terbiyesiz bir mesaj yollayacak kadar küçülebilmiş gsm operatörü ulan bir bu kalmıştı sömürmediğiniz,
sonbahar,gece,dogum gunumde attigi kutlama mesajiyla yetinmeyip o zamana kadar odedigim en yuksek meblali faturanin son odeme tarihini de dogum gunume denk getirerek bir de hediye gonderen duunceli bir gsm irketi,
sonbahar,gece,attığı doğumgünü mesajları sayesinde son 4 yıldır bana dayımın doğumgünlerini unutma imkanı vermeyen güzide kuruluş,
sonbahar,gece,2 kat köntörbizden uygulamasını heryerde bas bas bağırıp reklamını yapmalarına rağmenkasım ayında 1450 kontör yükleyip aralıkta normalde 200 kontör hediye kazanmam gerekirken 200 yerine 30 kontör hediye edecek güdik şirketmecburuz diye ayaküstü adam mikiyorlarnerde kampanya nerde hediye köntörlerayrıca başlattığı bas konuş olayı da sadece motorolanın bir modeline sahipseniz kullanılabilmektetürkiyede herkeste o telefondan var zaten,
kış,sabah,son 152 yildir toplamda 7 defa arayarak 3 defa mail yoluyla sikayette bulunarak spam onlarin diliyle tanitici sms istemedigimi belirttikten sonra musteri hizmetlerinden bir yetkilinin pazar sabahi telefonu ile uyandim meger 7572780 numarali turkcell telefonunu arayarak bu servisleri kapatabiliyormusuz onceden muhattap oldugum hepsi birbirinden akilli yavasca  leblebi  demeden leblebiyi anlayamayan destek elemanlarinin bu telefon numarasindan neden haberleri yoktur onu da anlayabilmis degilim,
kış,öğlen,26 aralık 2004 endonezya depreminde yaptığı hareketle proaktif olmanın ne demek olduğunu göstermiş işletmecilik açısından bakıldığında önemli bir yönetim dersi vermiş şirkettir çeşitli vesilelerle çeşitli rakiplerden goller yemiş olabilirler ama şu olayda topu tam 90a dikmişlerdir,
kış,öğlen,çeşmelerinden pepsi yerine coca cola akmaya başladığı an başvuracağım şirkettir burası bkz turkcell maltepe plaza,
kış,gece,turkiyede en yuksek abone sayisina sahip olan gsm operatoruonce cell o  ile baslayan daha sonra haluk bilginer ve gulse birsel li turkcell reklami ile devam eden reklamlariyla turkiyede ki abone kitlesini iyice genislettikten sonra yurtdisina acilan ve kuzey kibris turk cumhuriyetinde kktcell azerbaycanda azercell gurcistanda geocell kazakistanda kcell moldovada moldcell ve iranda irancell projelerine istirakci olarak katilan gsm operatorutam 10 yildir turkcell calisiyor turkiye kazaniyor ve 11 milyon insanin bir bildigi var su anda bu sayi 21 milyon civarindadir seklindeki reklam sloganlarini kullanan bu operatorun abonelerinden birisi olarak benim de bildigim bir degil bircok sey var belirtmekte fayda var 6 yildir turkcell faturali hat kullanmaktayimsonu cell ile biten bircok hizmeti abonelerinin kullanimina sunan turkcell acaba bu hizmetlerin ne kadar kullanildiginin bir istatistigini tutmakta mi hic sanmiyorum kendi adima abone oldugum sure boyunca bu hizmetlerden sadece 1 kez faydalandim o da bizbizecelle gecmekti bir de son zamanlarda push to talk hizmeti dikkatimi cekmisti ama yaptigim arastirmalar sonucu su an piyasadaki cok az telefonun push to talk ozelligine sahip oldugunu yakinda piyasaya cikacak olan ve bu ozelligi destekleyen telefonlarin fiyatinin da 1000 ytlnin uzerinde olacagini ogrendimsagolsun turkcell boyle kucuk bir ayrintiyi reklamlarinda tuketiciye duyurmak gibi bir ihtiyac duymadibunun disinda turkcell zaman zaman iyi gorunmek adina bazi surprizlerde yapmistir 19 mayis turkcell bedava mesaj promosyonu bunlardan biridir lakin sms kullanmayi sevmeyen biri olarak benim hicbir isime yaramamistir turkcellin abonelerinin dogumgunlerinde kutlama mesaji yollamasi ve 5 yillik abonelerine 15 dakikalik bedava konusma hediye etmesi konularinda ise bir yorum yapma sansim yok cunku abone oldugum sure boyunca ne dogumgunumde bir kutlama mesaji geldi ne de 5 yili doldurdugumda konusma suresi hediye edildi  gelelim turkcellin asil hayal kirikligi yarattigi noktaya ankaratarih gece 100 arasiolay kotunun iyisicell o nerdesinkazakistandayim abine yapiyorsun ordagsm hizmetini buradakilere de sunmaya ugrasiyorumcell o birak kazakistan daglarinda dolasmayi da gel turkiyede ki sistemi duzelt,
kış,öğlen,an itibariyle türkiyede borsada işlem gören şirketler arasında en değerli kuruluştabii bu onu abonelerinin gözünde en değerli yapmıyor meşhur kastımırrelayşınşipdahilinde kendisi ilgili tarihte benim doğum günümü kutlayan sevgili arkadaşım oldu hatta o güne mahsus bedava 50 sms gönderme hediyesini takdim etti buraya kadar herşey güzel ama hediye verme raconunu bilmediğinden olsa gerek hediyesini öğleden sonra takdim etti ki benim gözümde günün yarısını kurtarmış oldu kalan son birkaç saat içinde 50 sms gönderemeyeceğimi düşündü ne oldu ben de kendimi turkcellden zeki sanıp hırs yaptım olaya romantizm kattım ve sms hakkımın tümünü sevgiliye seni seviyorum mesajını 50 kere atarak kullandım çoklu yolla diyorsun 2 dakika sürüyor salak gibi kasmadık ha gerekirse kasarım ama bu sözlük ahalisini ilgilendirdiğinde anlatıcamtabii akşam olup gün kavuştu sessizce ve acı gerçeği öğrendim mesajlardan yalnızca biri sevgiliye ulaşmış ulan ben bu adamlara inanarak salaklığımı ispat ettim dedim ve olay kapandıkapanır mı ben kapatıyorum ama turkcell kapatmıyor gece 12den sonra yani doğum günümün ve hakkımın bittiği dakikadan itibaren balkabağına dönüşür dönüşmez birbiri ardına iletildi raporları gelmeye başladı bedava gönderim hakkım bittikten sonra iletilen 49 smsin bana girmiş olma ihtimaliyle derin uykulara daldım yıllardır böyle derin uykulara dalmışlığım yoktudoğal olarak beni böyle kıllandıran bir şirket borsanın en değerlisi olsa ne yazar olmasa ne yazar hediye falan da istemiyorum bir daha hatta kırk yılın başında halim hatırım sorulsa ne yazar sorulmasa ne,
kış,akşam,bkz ne bu çalan,
kış,akşam,web sitesiyle verdiği hizmetlerde yer olan şirket zira çalışmıyor kolay kolay,
i̇lkbahar,gece,son zamanlarda bir türlü web sitesini açamadığım gsm şirketi,
i̇lkbahar,öğlen,zamansiz ve manasiz gonderdigi cart yaz curta gonder cebine bilmem ne gelsin seklindeki msjlarla can sıkan 19 mayısta uyguladıgı bedava msj tarifesiyle birbiriyle ezelden beridir gorusmemis kisileri msj atamaya davet eden gsm operatoru,
i̇lkbahar,gece,ipak karayipler adlı yarımalarının reklamında  çektiğiniz fotoğrafı olmalıydı bir kere daha dikkatimi çekmilerdir bu yazdıklarımı ajans yetkililerine iletmek istesem sekreterden ötesine geçemeyeceğimi hem onlar hemde ben bal gibi biliyoruz iyi ki varsın eki sözlükbkz fotoğrafa resim denilmesi sorunsalı,
yaz,öğlen,kontörlü hatları için kampanya üstüne kampanya düzenleyen ama iş asıl parayı kazandıkları faturalı hatlara gelince kılı kıpırdamayan yine de bir türlü vazgeçilemeyen gsm operatörü,
yaz,akşam,mühendisleri ne kadar kaliteliyse pazarlamacıları bi o kadar kalitesiz olan bundan dolayı bi ton küfür yiyen şirketo ne biçim kampanyalar ya öyle,
yaz,gece,10 milyonlarca abonesi olmasına rağmen yüzsüzce zarar açıklayabilen yaptığı fahiş zamlarla gönüllerde taht ocaklarda incir ağacı kuran hareketli iletişim şebekesi şirketi hişş yaptığı abuk sabuk hizmetlere de xxcell shubuo vs gibi abuk sabuk adlar türeten bu adları türetirken türkçenin de ocağına incir ağacı dikmekten utanmayan aksine kendi şirket isminden bile buram buram david beckham ve ingilizce hayranlığı kokan şirket de denebilir bkz ben utanıyorum türk olmaktan,
yaz,akşam,iran teknoloji ve enformasyon bakanı ahmet mutemedi nin açıklamasına göre iran gsm pazarında ikinci operatör olarak çalışma anlaşmasına imzayı atan kazıklarla arası iyi olan şirket,
yaz,gece,ntvmsnbcde yer alan habere göre abone sayısı 21 milyona ulaşmış şirket anlam vermek mümkün değil hem bu insanları hem bu şirketin bu kadar insana hizmetini kusursuz vermesini nitekim pahalı ama pek sorun çıkarmıyor hanimüşteri hizmetleri ayrıca harıl harıl çalışan bir o kadar da harıl harıl başarılı olan firma,
yaz,öğlen,roaming mark up bedelinin 28 olduğu gsm operatörü,
kış,öğlen,bkz alternatif turkcell hizmetleri,
kış,öğlen,aynı anda 2 telefon da mis gibi kapsama alanındayken gönderilen mesajların arada bir hatlardaki sırrı çözülemeyen bir kara delikte kaybolabildiği iletişim harikası,
i̇lkbahar,gece,bizimcell olayı ile kazıkların en büyüğünü atan mobil telefon firması 124 saat konuşma için 76 milyon fatura kesen abuk iletişim harikası genede ss,
i̇lkbahar,akşam,son zamanlarda telefonu casinoya ceviren kurulus her macta bahis oynayin telefon kazanmak icin aday olun diye bilgi mesaji yolluyor,
i̇lkbahar,öğlen,bkz cell o,
i̇lkbahar,öğlen,turkiyede dilenci mantigiyla hareket eden onlarca firmadan biriama bunu reklamlariyla unutturacagini sanan baslangicta sinirsiz olan ucretsiz web mesajlarini once 15e sonra 10 a dusuren yani gunde kac kisi webden atiyodurki normal mesaja oranla icq dan onlarca firmaya sms atailabilrken bu gudik cell mesaja onay vermiyorve daha bunun gibi bir suru dilenci mantiklariyla dolu sefil bir gsm sirketiama simdilik ss kuralı gecerli,
i̇lkbahar,öğlen,bazı sim kart gruplarına hizmet eden routerlerin devre dışı kalmasıyla sık sık gprs hizmetinde kesinti olan operatör,
i̇lkbahar,sabah,ne kadar kufretsekte yinede kullanmaya devam ettigimiz gsm operatoruneyseki kontorlu hat ciktida rahatladikyoksa faturalarla basa cikilmiyoduresmen kafalarina gore geciriyolar faturayien sonunda dayanamayip iptal ettirmeye gittim  hattimi artik turkcellden nefret ettigim icin aria ya gectim ama aria da dogru durust cekmio yanapallim mecburen turkcell hazir kart a gectik okadar kufrettikten sonra yinebiarada wall street e hisseleri girmisti ama biside olmadi havalari bianda sonduyinede kaziklamaya devam ediolar,
i̇lkbahar,sabah,biraz salyangoz biraz tavsan tadindaki onlarin sinyal bebe benimse turkcell bocugu adini verdigim kuzu postundaki kurt logosuyla insanlara piskin piskin siritanne calisanlarini ne de musterilerini gozeten kendi kendinizi aramanizi saglayip bir de ucretlendirebilenhenuz kendi telefonunu kullanmayi ogrenememis teknoloji dusmani ve bilgisayar zararlisi insanlari ozenle yonetici kadrolarina yerlestiren ilk ve tek gsm operatorusinircell,
yaz,gece,web sitesindeki sms servisinde ilk mesajdan ucret almaya baslayarak esi benzeri gorulmemis bir ac gozluluge imza atarken biz kullanicilarina da belesci muamelesi ceken turkiyenin palazlanmis gsm operatoru,
yaz,akşam,beş yıllık müşterisinden fazla konuştuğu bir ay normal fatura gününden bir gün sonra ara ödeme isteyen ve bir gün içinde ödeme yapılmazsa hattın kapatılacağı yönünde uyarıda bulunan gudik firmabkz terbiyesiz,
sonbahar,gece,kazıkçının allahı,
sonbahar,öğlen,bu ayki faturalarında genel olarak bi şişirme uygulamış şirkettir herkese normalin iki katı kadar fatura gelmesi pek normal değil çünkü zannımca,
sonbahar,öğlen,faturalı hat kullanıcıları mikilecek kaz sanan faturayı ödemeyince 7 gün geçmeden hattı aramaya kapatan gsm şirketimsisi,
sonbahar,sabah,yuksek miktarda ucret odeyen enayi musterilerini premium olarak siniflandirip el ustunde tutan az gelirli kesime bin bir zorluk yasatan finlandiyali bir sirketle ortak olan ve new york borsasina girmeyi basarabilen ilk turk sirketi,
sonbahar,sabah,fatura hatırlatma adına attıkları mesajlarda zamanında yapacağınız ödemeler için teşekkür ederiz diye itici bir cümle kuran gsm operatörü yani ne diyor geç ödeme yaparsanız allah belanızı versin biz zaten gerekli faizi alarak kendi çapımızda belanızı verecez,
sonbahar,akşam,çeşitli hizmetlerini üyelerine yolladıkları mesajlarla sanki bir nimetmiş gibi allandıra ballandıra anlatan türkiyede bir ilk olmaları bakımından vakti zamanında avuçlarının içine aldıkları abonelerini itinayla sömürebilen ve asıl isim olarak kendilerine turksell adının daha çok yakıştığına inandığım gsm şirketi,
sonbahar,öğlen,çukurova grubunun son olaylarından sonra yavaş yavaş soneranın kucağına itilen gsm operatörü çoğunluk hisselerini 2005 yılı içerisinde ele geçirebilirler adrsinden son ortaklık durumuna bakılabilir çukurova grubuna ait olan şirketlerin ellerindeki hisseler satıldığında biraz bariz yer yerinden oynayacakbkz yapı kredi bankasıbu geçişin turkiye telekom piyasası üzerinde nasıl bi etkisi olacağı ayrı bir merak konusu,
sonbahar,öğlen,arada sırada campuscell indiriminden kazandığınız 0  kontör hattınıza yüklenmiştir mesajı göndererek bizi eğlendiren şakacı operatör,
sonbahar,akşam,bkz 3476,
yaz,öğlen,spam unsuru irket telefon edince kapatiyorlarmi,
sonbahar,gece,,
sonbahar,akşam,24 sezon 2ye sponsor olarak turkiyede without commercial interruption mantığının ilk uygulamalarından birini gerçekleştiren markasına olan saygıyı güçlendiren şirket,
sonbahar,sabah,iki kisi ayni anda telefonla konusmaya kalksa hizmet veremeyen kuruluş bombalama oldu kimseye iyiyim diyemiyorum beter ol turkcell ,
sonbahar,sabah,bkz telefon hatlarinin kilitlenmesi,
sonbahar,sabah,turkcell çalışıyor türkiye konuşamıyor üç bomba patlıyor turkcell zortluyor telsim çalışıyor,
sonbahar,öğlen,memleketi kurtarmakla mesgul servis saglayamayici,
sonbahar,öğlen,selo ile imaj yapan firma selo kopru falan kuruyordu heralde patlama sirasinda zira turkiye yi falan kurtardigini goremedim o esnada acaba bu sirketin ust duzey yetkilelerinin hic kitlenmez kendilerine oncelik verilmis hatlari var mi acil durumlarda kullanabilecekleri  adam turkiye yi kurtaracak yaw ellemeyin  edit gotumuze girebilir gerekceli ispiyon sebebiyle törpülenmiştir,
sonbahar,öğlen,şu an itibariyle aktif şebeke,
sonbahar,öğlen,bir yandan hediye veriyoruz süper armağanlar dağıtıyoruz bedava konuşturuyoruz 10 yılımızı sizlerle kutluyoruz diye gazelden türkü okuyan eşantiyon dağıtan diğer yandan yükse dk başı konuşma ücretleriyle ay sonu faturada boruyu sokan reklam ve promosyonlara dağıttığı paraları harcamasa daha uygun fiyatlandırmayla müşterilerini memnun edebileceğine inandığım gsm operatörümüzmaçlarda acil durumlarda çalışmadığından dolayı yanımda bir adet aycell hat dolaştırmama sebep olan şirket ayrıca abone sayısı sağlıklı hizmet verebileceği abone kapasitesini çoktan aşmış geçmiş şirket kanaatimcebağlı olduğu holdingin isp şirketide olmasına rağmen iğrenç dizayn edilmiş bir internet sitesi olan o sitedende doğru düzgün hizmet veremeyen insanları sürekli time out larla boğuşturan şirket yahu hadi telefon şebekelerine yapman gereken yatırım çok yüksek yapsam bile telekomun hatlarının kapasitesine takılıyorsun peki bir doğru düzgün bant genişliği alamıyormusun şu turkcell web sitesine o kadar parayla günde 100bin kez tv de reklam döndüreceğine az buçuğunu şu web sitesine ayırsan insanlar görünce siteyi akıllarında olumlu bir izlenim oluşsa turkcell için sürekli spam sms göndermeleride cabası açıp spam sms göndermeyin sabahın köründe diye şikayet edince ordata rahatsız edici birşey yokmuş gibi davranmalarıda cabası neresinden tutsan elinde kalan bir şirket işte çürüdükçe çürüyor sanki kokusu rahatsız ediyor artık iyice,
kış,öğlen,bkz seninle iki dakika,
kış,gece,kukusuz turkiyenin en buyuk ve en guclu operatoru ancak bu tamamen odeme sistemindeki bir aksaklik yuzunden butun bir gun hattimi kapali tutmu olmasi gercegini degitirmiyor 10 kusur arama sonrasinda cozum uretebilecek kapasitede birkac cagri merkezi caliani ve takim lideri barindirdigini gosterdiyse de olan yine bana oldu sinirden ne yapacagimi airdim bir firma her ay dunyanin faturasini odeyen muterine bunu yapiyorsa 23 ayda bir 100 kontor yukleyen hazirkart kullanicisina ne yapar merak etmiyorum hic,
sonbahar,akşam,bkz turkcellgol,
kış,gece,karamehmet ve finlandiyali sonera ortakligindaki gsm operatörü roaming sahtekarlığı yüzünden korkunc paralar kaybetmekte,
i̇lkbahar,gece,hedecell hodocell tarzı ürünservis isimleri ile telsimin cephodoleriyle başa çıkmaya çalışan gsm şirketi üçün biri,
i̇lkbahar,öğlen,ise yeni aldiklari insanlara 15 gun boyunca oryantasyon adi altinda iskence edip sirketi tanitmaya calisan biz bir aileyiz cumlesini soyleye soyleye ezberlettikleri kurum,
i̇lkbahar,öğlen,sigortalar attiginda salteri kaldirmak icin diger semtte bulunan binadan gorevli cagirilmasi gereken adamin gelip dugmeyi kaldirdiktan sonra gitmesi uzerinde yapilan itiraza biz kurumsaliz hedeyiz hodoyuz herkesin belli bi isi var dedikten sonra bileklerinizi kesmenizi saglayan yer,
i̇lkbahar,öğlen,kullanmaya basladiktan sonra telsimden daha da bi sogudugum gsm operatoru,
yaz,sabah,sabit ücretleri daha çok gelişmek ve daha iyi hizmet vermek için alıp en ufak bir yüklenmedeçalışmayan gsm operatoru,
yaz,sabah,turxell şeklinde irc etigi karizması verilebilirmiş diye düşündüğüm dev işletme,
kış,sabah,zam yapmadan bir gün önceki akşam  kredi kartıyla kontör yüklemesi yaptırmayarak aklınca 35 kuruş fazladan kar etmiş şirkettir yaptığı en hafif tabiriyle terbiyesizliktir,
kış,sabah,hediye puanlarla hediye ettiği cep telefonları kayıt dışı olan kurum,
kış,sabah,adımın her ayda kuşlar balıklar gibi ilginç fikirlerle yazıldığı bir takvim gönderip beni mutlu eden şirket,
kış,öğlen,rock n coke 2006 ya kadar vodephone gelse de geçen sene bize çektirdiği telefonsuzluk işkencesine bu sene katlanmak zorunda kalmasak dediğim kuruluş,
kış,gece,bir gün bırakmayı umduğum meret,
kış,öğlen,2005 yılı net karı 911 milyon dolar olarak açıklanan şirket,
i̇lkbahar,sabah,abonelerine cazip kampanyalar sunamayan gsm operatoru,
i̇lkbahar,öğlen,malatya 0 dk ardarda söyleyince gerçekten de kulağa güzel gelmekte tıpkı sentetik gibisenkeriksenkeriksenkeriksenkeriksenkerik,
i̇lkbahar,öğlen,yanılmıyorsam gözlemlerime ve işittiklerime dayanarak şubat doğumlulardan itibaren turkcell kullanıcılarının doğum günlerinde doğum gününüz kutlu olsun turkcellden size doğum günü hediyesi bugün boyunca 50 kısa mesaj ücretsiz güle güle kullanın diye doğum günü kıyağı geçen şirket doğumgününü sadece atm ve websitelerinin kutlaması sendromunu yaşayanlar için bir mutluluk kaynağı daha,
i̇lkbahar,akşam,her hafta ayni wap ayarlarini tekrar tekrar mesaj atmaktan bikmayan gsm irketi  kardeim hasta misiniz maynak misiniz düün lan yakamdan,
i̇lkbahar,sabah,ericsson kökenli tüm müdürleri göndererek 3g için farklı bir altyapı mı seçecek sorusunu sordurmaktadır bu aralar mobil dünyada,
i̇lkbahar,öğlen,avea hattımın odamda çekmemeye başlaması sonucu dönüş yaptığımyapar yapmaz spam sms yollamaya başlayıp pişman eden kuruluşen güzeli telefonsuzluk sanırım bi sonraki aşama da o olur belki,
i̇lkbahar,sabah,ismini fwd turkcell eheh şeklinde değiştirmesini beklediğim firma alooo yeter lan atmayın şu mesajları sil sil nereye kadar  telefondan soğuttunuz insanı be yok bu pazar serdar ortaç bilmemne partisindeymiş yok 4938 kontör yüklersen 3 kontör bedavaymış yok 1 dakikadan sonrası 5 kontörmüş yeter be istemiyorum lan kampanyanızıbkz delirttiniz ulan beni,
i̇lkbahar,öğlen,telefonu kayıt alma işini doğru düzgün yapamayan kayıt altına alma işlemini kendileri aracılığıyla yaptırttığımız telefon 1 nisanda kayıtdışı olduğu gerekçesiyle kapatıldı bu durumdan dolayı hiçbir sorumluluk kabul etmeyen telekomünikasyon kurumu ile birlikte insanı sinir küpüne çeviren şirketmüşteri temsilcilerinin söylediğine göre 5000 abonesinin kayıt işlemini yapmalarına karşın telefonlarını tkya kaydettiremedikleri aracı kurum,
i̇lkbahar,akşam,abdde universitelerde tez konusu olmaya balami turkiyenin dunya capindaki en baarili irketlerinden birisi alternatiflerinden cok ileride olan irket,
i̇lkbahar,gece,vodafone ile sektörde fırtına öncesi sessizlik yaşanırken üst yönetiminde fırtınalar kopan iletişimci,
i̇lkbahar,akşam,bkz 7393723,
i̇lkbahar,sabah,kontör almak için gittiğim bir bayisindeki kontür almak istiyorum yazısıyla dumura uğratan kuruluş sattıkları şeylerin verdikleri hizmetlerin açtıkları kampanyaların adlarını kendileri de tam olarak bilmiyorlar sanırsam,
i̇lkbahar,öğlen,mükemmel imkanlar saglayan tarifeler hazirladigina inandirdigi aptallaraben kazik gecirip zengin olan sirket ayda 90 dakikalik konusma paketlerimiz var ve sizden 19milyon aliyoruz diyen ama 16milyonluk konusmaya 52milyonluk fatura getiren dava acilasi bir kurulus,
