"complaint-layer","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button"
"Türk Telekom Mobil Veri Kullanamıyorum","07 Ağustos 21:34","60","Yıl olmuş 2024 internet kullanamıyorum. 1.5 ay önce Vodafone'dan tanıdım hattımı ama çok pişmanım. Defalarca müşteri hizmetleri ile görüştüm hat sıfırladılar, telefon ayarları yapıldı hala mobil veri kullanamıyorum. Yazık gerçekten. Taahhüdün iptal edilmesini istiyorum. Kullanmadığım hatta para ödem","...","#İnternet"
"Türk Telekom Telefon Almak İçin Cihaz Puanı","07 Ağustos 21:11","59","10 yıldan fazladır Türk Telekom kullanıyorum. En son 2018'de cihaz aldım fatura üstüne. Faturalarımda bir kere gecikme olmamıştır. Telefon almaya gittiğimde puanımın sıfır olduğunu ve cihaz alamayacağımı söylüyorlar. Bu saçmalığa bir an önce son verilsin. Resmen aşağılanıyorum. Düzeltme olmaz ise ta","...","#Fatura ödeme"
"TTNET Modem Ve İnternet Bağlantı Sorunları","07 Ağustos 21:11","60","TTNET internet için en yenisinden modem aldırdı bana, eskisinden daha kötü bir şey. Artık çok sıkıldım bu TTNET'ten. Sürekli yalan dolan, iyi çeker vs. İki oda ötede TV ile dizi izleyemiyorum. Kopmalardan hayatımda gördüğüm en kötü internet. TTNET, en yakın zamanda ekip istiyorum. Evime bakılsın. Be","...","#İnternet"
"Türk Telekom'dan Aşırı Zam Şikayeti","07 Ağustos 21:03","66","Türk Telekom mobil, 175 TL'lik tarifem için 492 TL'lik tarife. Bu kadar zam ne Allah aşkına? %200 zam nedir? İlla diyorsunuz ki başka operatörü seçin. 3 hattım var, Telekom bana bunu yapma. Üzmeyin beni, ayıp bu kadar zam. Uydu telefonu aldırtacaksınız en sonunda.","","#Bana Özel Paketler"
"Türk Telekom Yeter Aboneliği De Solandır","07 Ağustos 21:03","71","Türk Telekom interneti 3 aydan beri kullanamıyoruz. Defalarca arıza bildirdiğim halde koca firma çaresiz durumda, bir arıza tamiri yapamıyor. Defalarca müşteri hizmetlerini aradım, onlar da çaresiz. Artık telefonlar yüzüme kapanıyor ama fatura ne hikmetse her ay muntazam geliyor. Hâlâ çözüm yok.","","#İnternet"
"TTNET Altyapı Hasar","07 Ağustos 20:48","65","Bir sel afeti yaşadık. Büyük hasarlar oluştu. Afet yüzünden TTNET direği de yıkıldı ve kablolar direkten koptu. En başta kablo hasar görmemişti. Şimdiyse işlevsiz durumda. Kablolar üzerinden geçen araçlar, özellikle de hafriyat kamyonları yüzünden ezilip koptu. İnternet erişimimiz tamamen kopmuş dur","...","#İnternet"
"Türk Telekom Wi-Fi Bağlantı Sorunu Ve Müşteri Hizmetleri Erişimsizliği","07 Ağustos 20:48","63","Türk Telekom taşınabilir Wi-Fi internete bağlanıyor ama Google dışında hiçbir siteye girmiyor. Bilgisayardan denediğimde internet yok diyor. Türk Telekom'u arıyorum müşteri hizmetlerine ulaşılmıyor. Her seferinde tekrar deneyiniz diyor. Yardımcı olursanız sevinirim","","#İnternet"
"Türk Telekom 7 Aydır Arızamı Çözmüyor Üstüne Para Alıyor","07 Ağustos 20:48","50","Türk Telekom 23 Ocak'tan beri neyin arızasını çözüyoruz. Hamile kalsam şimdi doğuma girerdim. Bir de üstüne aynı hızda, aynı hizmeti almış gibi para ödüyorum. Çağrı merkezinde bir yetkiliye bağlanamıyorum. Arızam çözülüyor anlayışınız için teşekkür ederim. Dinlemek istemiyorum artık çözüm istiyorum.","...",""
"Türk Telekom Faturasız Geçiş Ücreti İstiyor","07 Ağustos 20:47","68","Türk Telekom bir gün sonra taahhüdüm bitiyor. Faturasız hatta geçmek istiyorum. Müşteri temsilcisi 140 tarihli geçiş ücreti olacağını söyledi. 1 yıl önce bana bu konuyla ilgili herhangi bir şey söylenmedi. Bu 140 TL'yi neden alıyorsunuz geçiş ücretsiz olması gerekiyor. Bu yasal bir işlem ise neden b","...","#Fatura ödeme"
"Türk Telekom Hediye İnternet Paketi Sorunu Ve İletişim Eksikliği","07 Ağustos 20:41","62","Hediye ek 2 GB verdik diyorlar ama oradan eksilmiyor, para yazıyorlar. Geçen ay da aynısı oldu. Bir de ulaşacak numaranız yok, nereden ulaşalım? İletişim numaranız aranıyor, sonra robota zar zor ulaşılıyor. Türtelekom'dan çıkacağım, pişmanlık.","","#İnternet"
"Türk Telekom'da Yaşadığım Sürekli Bağlantı Sorunları","07 Ağustos 20:41","82","Türk Telekom'a geçiş yaptım. Nereden geçmişim? İnternet ve aramalarda hep sıkıntı yaşıyorum. Farklı operatöre geçeyim diyorum, yüksek miktarda cayma bedeli çıkıyor. Telekom müşteri hizmetlerine durumu izah edeyim diye arıyorum, telesekreterden bir türlü müşteri hizmetlerine bağlanamıyorum. Sonuç ola","...","#İnternet"
"Tivibu Go Habersiz Abonelik İptali","07 Ağustos 20:40","64","Tivibu Go aylık faturamdan çekilmek üzere aboneliğim mevcutken giriş yapmak istediğimde 'Ürününüz bulunmamaktadır.' hatası ile karşılaştım. 444 5 375 numaralı müşteri hizmetlerini aradım. S****** isimli bir temsilci cevapladı. Sorunumu anlattığımda genel müdürlük tarafından bugün iptal edildiğini sö","...",""
"Türk Telekom Dls Kablo Sorunu","07 Ağustos 20:25","35","6 gündür DSL kablomuz kopuk. Türk Telekom hizmetlerine şikayet açtık ama bize sorunun bütün bölgede olduğunu, o yüzden müdahale edemeyeceklerini söylediler. 10 dakikalık kablo takma işini 6 gündür düzeltemediler. Hizmet kalitesi sıfır, paramla rezil oluyorum. Türk Telekom'dan beklenildiği gibi.","","#Modem"
"Türk Telekom Ev İnterneti Modem Değişim","07 Ağustos 20:18","69","Uşak merkez Fatih mahallesindeki Evimin interneti fiber hatta geçtiği için modemin değişmesi gerektiğini Türk Telekom yetkilileri söylediler ama 1 haftadır Türk Telekom ekibinin ev internet modemimi değiştirmesi için bekliyorum. Abone no :1864000830 S***** C*****","","#Modem"
"Türk Telekom İnternet Hizmetinde Yaşanan Sorunlar","07 Ağustos 20:03","111","Sakarya Karasu’ya taşındım. İnternet başvurusu için Türk Telekom'a gittim. Altyapınız yok, size magnet internet vereceğiz, altyapı gelince de magnet otomatik iptal olacak diyerek 15 dakikada başvurumu aldılar ve 2 günde magnet internet geldi. 3-4 ay magnet interneti kullandım ve altyapı geldi. 29 Ha","...","#Magnet"
"Türk Telekom Çekim Sorunu Ve Firmanın Sorunu Çözmemesi","07 Ağustos 20:02","56","Son zamanlarda mobil hattımda oluşan 'Arama Başarısız' şeklinde hata vererek sürekli görüşme esnasında telefonun kapanması ayrıca ses gitmemesi ve gelmemesi üzerine iletişime geçtiğim Türk Telekom müşteri hizmetleri konu ile ilgili inceleme yapıp sonucunda 'Değerli müşterimiz, talebinizi inceledik.","...","#Hat Taşıma"
"Türk Telekom Şu Durum İçin Acil Dönüş Yapın Lütfen.","07 Ağustos 19:40","95","Ev adresi eksikliği yaptığımız için Türk Telekom ile irtibata geçtik. Bugün biz yokken annemiz evdeyken ekip bağlantı yapıp gitmiş. Şimdi fotoğraf olarak ekleyeceğim kurulum yapılan yeri. Sanırım ekip bizi örümcek adamın ailesinden falan sanıyor. Bir de üçlü priz temini isteyerek bağlantı kurmuşlar","...","#İnternet"
"Türk Telekom İnternet 4000 Milyar Yeni Pakete Geçme Yansıması","07 Ağustos 19:40","95","Türk Telekom tarafından kullanmış olduğum internetim. Kendilerinin taahhüdünüz bitiyor kampanyalı pakete geçmek ister misiniz diye hem önerdiler. Hem geçtikten sonra 4 milyar faturaya ek taahhüdünüz bitmeden pakete geçtiniz diye para yansıttılar. Türk Telekom'un içinden bile paket değiştirsen 4 mily","...","#İnternet"
"Türk Telekom Nakil Randevusu Sorunu","07 Ağustos 19:32","84","Türk Telekom nakil işlemi yapmaya çalışıyorum. En geç 10 gün içinde naklin gerçekleşeceğini belirttiler. 10 gün fazla olmasına rağmen burada da sorun yok. 3 gündür 13.30 ile 18.00 arasında naklin gerçekleşeceğini belirten mesaj atıyorlar ama 3 gündür evde bulunmam gerektiği için işlerimi erteliyorum","...",""
"Türk Telekom Modem Sözünü Tutmuyor","07 Ağustos 19:32","69","Kablo Net internet sağlayıcımdan Türk Telekom'a geçiş yaptım modem vereceklerini ilettiler. Şimdi de biz öyle bir şey söylemedik diyorlar. Aradım söyledim kayıtları inceleyeceklerini belirttiler 48 saat içinde dönüş olacak dediler dönüş Türk Telekom hattım da var hepsini değiştireceğim.","","#Modem"
"Türk Telekom Arıza İle İlgilenilmiyor","07 Ağustos 19:31","75","Türk Telekom internet bağlantısı yok. Ekiplerimiz 48 saat içerisinde inceleyecek dendi, bu süre zarfında hiçbir müdahale edilmedi. Tekrar aradım tekrar arıza kaydı açıldı. Hala bekliyoruz Türk Telekom fatura günü geldi mi 50 tane mesaj atarlar, kaç gündür alamadığım hizmetin parasını alıyorlar.","","#İnternet"
"Türk Telekom Fiber İnternet Hız Sorunu Ve Müşteri Hizmetleri İlgisizliği","07 Ağustos 19:31","82","10 gün önce evimize Türk Telekom fiber 100 megabit hızında internet bağlantısı yaptırdık. Bağlattığımız andan itibaren maksimum gördüğümüz hız 30-32 megabit. Müşteri hizmetlerini 4 defa aramama rağmen hiçbir sonuç elde edilemedi. 10 gün içerisinde üyeliği iptal etmek istediğimde 1600 TL gibi bir güv","...","#İnternet"
"Türk Telekom Hizmet Sıfır Sıfır","07 Ağustos 19:24","91","27 Temmuz'dan beri ev internetim kablo kopuk. Üç defa arıza kaydı oluşturmama rağmen ilgilenen yok. Böyle bir sistem yok arkadaş. Bir de 12 gündür internet kullanamama rağmen 570 TL fatura yansıtıyorlar. İnsanlarla dalga mı geçiyorlar? Bir Allah'ın kulu da aramadı, gelen yok. Bunun için mi ödüyoruz","...","#İnternet"
"Türk Telekom İnternet Hattı İptali","07 Ağustos 19:23","79","2024 Nisan ayında Ankara Bahçelievler Türk Telekom bayinizden 12 ay taahhütlü 300 GB'lık cep magnet sim kartlı modem internet aldım. 07.08.2024 tarihinde aldığım bayiye gidip internetimi iptal ettirmek istediğimi söyledim. Sistemden baktıklarında numaramın reaktif olduğunu iptal edemediklerini söyle","...","#Magnet"
"Türk Telekom Daha 4 Ay Taahhüt Varken Sürekli Yeni Paket Verelim Ayakları","07 Ağustos 19:23","52","Mobil hattıma ait taahhüdün bitmesine daha 123 gün varken sürekli beni arayıp, daha fazla para verdirmek için paketinizi yenileyelim bak taahhüdün az kaldı haaaa tavrınızdan bıktım, yeter artık. Bir buçuk saat içinde 4-5 kere arıyorsunuz. Meşgulüm ki açmıyorum. İlla niye diretiyorsunuz? Ben engelliy","...","#Faturalı Paketler"
"Türk Telekom Mağduriyeti Ve Çözümsüzlüğü","07 Ağustos 19:15","78","Türk Telekom tarafından bilgim dışında adıma açılan 8830780828 ev interneti aboneliğinde internet hızımı ve fiyatını benim onayımı almadan yükseltmişlerdir. Müşteri hizmetlerini Arayıp bilgi almak istediğimde beni yanlış bilgilendirmiş olup çözüm dahi sunmamıştır. Bayilerin bu durumu yapabileceğini","...","#İnternet"
"Türk Telekom Randevu Yüzünden İşe Gitmedim Kurulum Yapmadılar.","07 Ağustos 18:58","89","Randevu günümde işe gitmedim ve kurulum için bekledim. Kapıma kadar geldiler komşuma internet bağlayıp gittiler. Çok sinir bozucu bir hareket. Şikayetçiyim. Lütfen en yakın zamanda gelip kurulum yapsınlar. Komşuma kadar gelip gitmek nedir? Lütfen bana dönüş yapın.","","#İnternet"
"Van/Çaldıran Türk Telekom İnternet Arıza Sorunu","07 Ağustos 18:58","92","Türk Telekom İnternet müşterisiyim. 5 gündür internet hizmeti alamıyorum. Müşteri hizmetleri ile görüştüğümde genel arıza olduğu söylenip 1 gün içinde düzeltilecek deniliyor fakat değişen bir şey yok. Tek yapılan, gününe bir hafta kala fatura göndermek. İlgi, alaka ve hizmet anlayışı sıfır. Sorunumu","...","#İnternet"
"Türk Telekom Paket Satin Aldım Paketi Gelmedi","07 Ağustos 18:57","51","Türk Telekom'dan 580 TL'lik paket işlemi yaptım, günlerdir o paket Türk Telekom hesabıma tanımlanmadı. Herhangi bir mesaj alamadım. Günlerdir mağdur bırakıldım ve buna hakkınız yok. Bu sorunun çözülmesini acil talep ediyorum. Müşteri temsilcileriyle konuştum, gereken her bilgiyi verdim ve gereken he","...","#Mobil Ödeme"
"Türk Telekom Mağduriyeti Çalışanların İlgisizliği","07 Ağustos 18:50","86","Türk Telekom mağduriyeti: Evde internete başvurdum, 1000 Mbps 15 ay taahhüt için başvuru sağladım. Bugün kurulum için sabah 08:30-13:30 arasına verdiler. Sonra 13:30-18:00 arasına aldılar ve sonra ne geldiler ne arayıp haber verdiler. Bir tam günüm çöp oldu. Türk Telekom kurulum yapan kişiler kafala","...","#İnternet"
"Türk Telekom Faturaya Paket Harici Ücret Yansıtılması","07 Ağustos 18:50","94","Türk Telekom'un 537 ****97 05 numaralı mobil müşteriyim 05.08.2024 tarihinde saat 10.09 ila 10.13 aralığında 9222 toplamda 98 TL lik paket harici ücret gözüküyor. Ben böyle bir işlem yapmadım. Bu işlemin içeriği nedir anlamadım. Bu işlem bir servis aboneliği işlemi ise benim talebim dışında yapılmış","...","#Faturalı Paketler"
"Türk Telekom'dan Aldığımız Hat Gelmedi","07 Ağustos 18:49","41","Türk Telekom'dan aldığım bir hat vardı. Hattı getirecekleri gün arayıp ertelediler. Erteledikleri tarihte de gelmediler. Ben bu durumdan mağdurum ve şikayetçiyim. Hattımın yenilenme süresi doldu dolacak, lütfen hattımı en kısa sürede getirin. Hattı (kargoyla getiren firma Dijital Kurye).","","#Hat Taşıma"
"Türk Telekom Dondurduğumda Dahi Fatura Geldi","07 Ağustos 18:41","73","Türk Telekom'dan internet aldım dondurma hakkımı kullanmama rağmen fatura geldi sürekli her şeye para alıyorlar büyük pişmanlık benim için keşke almasaydım. Nakil yaptım paralı olduğunu bile söylemediler her şeye ekstra para istiyorlar. Hiç bu kadar pişman olmamıştım. Moderni kira altında ondan bile","...","#Fatura ödeme"
"Türk Telekom Türk Olmaması Gereken Telekom","07 Ağustos 18:41","67","Türk Telekom denen güya büyük şirket, isminin önündeki Türk ibaresinden utanılacak hizmet anlayışıyla günlerdir bizi çileden çıkarmakta. İnternet arızamızı defalarca bildirmemize rağmen hiçbir şekilde müdahale etmedikleri gibi hep aynı robotik cevaplarla bizi oyalamayı kurumsallık sayıyorlar. Çağrı","...","#İnternet"
"Türk Telekom Yüksek Fatura Ve İnternet Kopma Sorunu.","07 Ağustos 18:33","141","Türk Telekom kullanıyorum ve fatura ile ilgili bir sorunumuz var. 230TL olan faturam 4 aydır 500TL olarak geliyor ve her aradığımızda bir bahane bulunuyor. İnternet ise sürekli kesiliyor ve kopmalar yaşanıyor. Her aradığımız da başka şeyler söylüyorlar. Fakat biz geçen sene interneti dondurmuştuk ve","...","#Fatura ödeme"
"Türk Telekom Trafosu Kapakları Açık","07 Ağustos 18:31","55","İzmir Karabağlar Peker mahallesindeki trafo kapakları açık İzmir'de yeni yaşanan elektrik çarpmasından ders almadığımız belli etrafta küçük çocuklar var nasıl açıl bırakılır bu şekilde sonuçta elektrik var içinde! Bir an önce yetkililerin ilgilenmesi istiyorum","",""
"Türk Telekom Servis Randevu Vermesine Rağmen Gelmiyor","07 Ağustos 18:25","76","Tivibu cihazı arızalı servis 2 gündür randevu almama rağmen akşama kadar bekletiyor gelmiyor. 4672074683 bildirim numarası şikayetçi olmama rağmen kimse ilgilenmiyor. Çok uzun süredir Türk Telekom müşterisiyim adıma kayıtlı faturalı 6 mobil hattım var ve senelerdir TV bu kullanıyorum iki gündür işim","...",""
"Türk Telekom İnternet Bağlantısı Sorunu Ve Port Yetersizliği","07 Ağustos 18:25","99","Türk Telekom müşteri hizmetleri, evimde internet altyapısı olduğunu ve internet bağlatabileceğimi söyleyerek başvurumu aldı. Bir hafta boyunca Dijital Kurye adlı firmanın sözleşmeyi dijital olarak imzalatmasını bekledim ve bugün sözleşmeyi imzaladım. Şimdi ise Türk Telekom müşteri hizmetleri, randev","...","#İnternet"
"Türk Telekom Yüksek Fiyatlı İnternet Tarifeleri","07 Ağustos 18:24","67","Yaklaşık 10 yıldır kendi evimin, annemin evinin internetinde Türk Telekom’u kullanmıyorum. Gayet de memnunum. Son yıllarda artan fahiş fiyat politikası nedeniyle maalesef artık farklı bir yol aramak zorunda olacağım. Bu ay içinde taahhüdüm bitecek ve yeni bir tarifeye geçmek zorundayım. İnterneti ço","...","#İnternet"
"Türk Telekom Dijital Kurye 2 Hafta Oldu Teslimat Yapmıyor","07 Ağustos 18:15","48","Dijitalkurye.com.tr diye bir yerden Türk Telekom hattım gelecekti 2 hafta oldu ne arayan ne soran var. Bir türlü ulaşamadım. Türk Telekom neden daha düzgün firmalarla çalışmaz anlamıyorum. Bir an önce hattıma ulaşmam lazım. Fakat karşıda muhatap yok... 202407291647599 sipariş no","",""
"Türk Telekom İnternet Te Kopma Sorunu","07 Ağustos 17:58","74","1 ay olmasına rağmen hala internet kopma sorunum giderilmedi. Modem den dediler değiştirdim hiz 50 MB idi kaldırmıyor dediler düşürdüm genede kopma sorunum var hala giderilmedi gelen giden yapan da yok... 4651925483. Numaralı kaydım... ... ... . ...","","#İnternet"
"TTNET Dalga Geçiyor","07 Ağustos 17:49","69","Hizmet sıfır en son 3 ay internet hizmeti vermedi kablo değişecek diye Torbalı müdürlüğüne gittiğinde. Bizim öyle bir şeyden haberimiz yok. Denildi. 3 ay bekledikten sonra gelen saha ekibi 5 dakikada yaptı. Ama 3 ay hoşu hoşuna bekledik. Şimdi ise 1 aydır hizmet vermiyor ve sürekli arızayı değer aya","...","#İnternet"
"Türk Telekom İnternet Kurulumunu Yapmıyor","07 Ağustos 17:49","77","Türk Telekom internet başvurusu yaptım. Nezaket Cındık adına, kendisi annem olur. 06.08.24 tarihinde 08:00 ile 13:00 arasında kurulum yapılacağı söylendi. Mesajla bildirim geldi. Sonrasında ekip beni aradı, sadece modem kurulumunu yapacaklarını, kablolama işlemi yoksa üst ekibin gelip kablolama işin","...","#İnternet"
"Türk Telekom Yüksek TT Faturası","07 Ağustos 17:41","94","Normalde 180 TL olan faturam 3 katı fazla geldi ve her ay yine yükseliyor TT nin müşteri hizmetlerine bağlanamıyorum. Hangi numarayı arasam bir türlü müşteri hizmetlerine bağlanmıyor. Bir an önce eski haline dönmesi lazım. Wi-Fi yi söylemek gerekirse 100 TL ödüyorduk şu an 800 TL ödememiz gerekiyor","","#Bana Özel Paketler"
"Türk Telekom 9230 Numarasından Sürekli Ödeme Alınıyor Bilgim Dışında!","07 Ağustos 17:30","158","Türk Telekom müşteri hizmetlerine bu numarayı arayarak 444 1 444 bir türlü görüşme sağlayamıyorum. Türk Telekom mobilden fatura detaylarına giriş yapamıyorum (mobil ödeme işleminiz başarılı bir şekilde gerçekleştirilmiştir diye 9230'dan mesaj geliyor ama ödeme ne için alınıyor bilgim yok). Acil dönü","...","#Fatura ödeme"
"Türk Telekom Millet Uzaya Giderken Ben İnternet Bağlatamıyorum Evime","07 Ağustos 17:28","82","Tekirdağ Yeniçiftlik'te evim var. Yaklaşık bir yıldır eve internet bağlamakla uğraşıyorum. Türk Telekom kimlik onay, keşif, kurulum derken oyalamakla her seferinde bir halledemeyip gidiyor. Kablo yok, kutu dolu gibi bahanelerle şimdi de kesin olması için 24 ay içerisinde olacak deniliyor. Bana şu an","...","#İnternet"
"Türk Telekom Beceriksizliği Hayatı Çekilmez Kılıyor","07 Ağustos 17:18","60","Türk Telekom ve Ardahan Belediyesi iş birliğiyle sokağımızda yapılan çalışmaya bağlı olarak fiber internet kablomuz kesildi. 4 gündür ne gelen var ne giden. Ne bel3diye çalışıyor ne de Türk Telekom ekipleri. İki rezil kurum el ele verdi 4 gündür bizi mağdur ediyor. Kimsede bir şey diyemiyor. Yazık","",""
"Türk Telekom'un Ulaşmayan Modemi","07 Ağustos 16:54","73","29.07.2024 tarihli Türk Telekom'dan modem başvurusu yaptım. Bana 5 is günü içerisinde ulaşacağı söylendi ve bugün 07.08.2024 tarihimde hâlâ kargom elime ulaşmadı. AGT kargo firmasi ile gönderim sağladınız. Bu firma ile ilgili birçok şikayet olmasına rağmen firmaya bir yaptırımınız da yok. Şikayet ka","...","#Modem"
"Türk Telekom Sorumsuzluğu Ve Ulaşımsızlık","07 Ağustos 16:49","141","Türk Telekom'a geçiş yaptık, hattımız 24 saat içinde elinizde olacak diye üstüne basa basa söylendi. Kocaeli'de kaldık. Yarın gelecek diye Bursa'da yaşıyoruz, öbür gün oldu. Akşam saat 5 oluyor. Kargo yok piyasada, hem evimize gidemedik hem de hattımızdan olup diğer firmaya cayma bedeli ödeyeceğiz.","...","#Hat Taşıma"
"Türk Telekom İnternet Hızında Yetersizlik Ve Çözüm Eksikliği","07 Ağustos 16:41","98","İstanbul/Bayrampaşa Muratpaşa Mahallesi Tuna Caddesi Akın Sokak'ta ikamet ediyorum. Tarafıma iletilen maksimum hız değeri 24 Mbps. Bu devirde konutlara verdiğiniz bu hız şaka olmalı? Hız sorunu için binaya gelen ekip ana hatta arıza var dediler. Kazı yaparken sorun oluşmuş vs dediler. Yani çözüm yap","...","#Altyapı Sorgulama"
"Türk Telekom Haksiz Fatura Aşımı","07 Ağustos 16:40","100","Türk Telekom'dan ekstra sınırsız sosyal medya paketi almama rağmen normal internetimden gitmiş ve bu yüzden fatura aşımı oldu. Sınırsız sosyal medya paketi ve 10 GB sosyal medya paketim olmasına rağmen faturam aşıma uğradı. Müşteri hizmetleri ile görüştüğümde aşımın YouTube.com'daki shorts ve videol","...","#Sosyal Medya Paketi"
