"complaint-layer","js-tooltip","js-view-count","complaint-description","ellipsis-text"
"Eti Gıda Ürünün Fiyatının Yüksek Olması Hakkında","03 Ağustos 13:17","64","2 ağustosta torunum için 3*50 gr olan 3 lü Eti browni marka çikolatayı şok marketten aldım kasada 45.00 TL geçince 3 gün önce bunun fiyatının 29.50 TL olduğunu bunu sürekli aldığımı bu ürüne yüzde 50 den fazla zam gelmesinin mümkün olmadığını firmanın 10 ile20 arasında zam yaptığını haberlerden izle","..."
"Eti Gıda Eti Karam Üründe Küf Çıktı","03 Ağustos 00:43","30","A101 Karaman Kazım Karabekir paşa Mahallesi'nde aldığım Eti Karam ürününde küflenme görüldü. Sağlık ve hijyen açısından daha dikkatli olunması gerekiyor. Ürünü çocuğum tüketmek üzereyken fark ettim zehirlenmeye sebebiyet verebilirdi bu konuda gereken hassasiyeti göstermenizi bekliyorum",""
"Eti Gıda Burçak Karam Bisküvide Garip Partiküller Var!","02 Ağustos 23:43","22","Eti Burçak Karam bisküvi üzerinde garip partiküller var SKT'sinde bir gariplik de yok fakat ürün bozuk eşim biraz yemiş öyle sandığı için umarım bir şey olmaz. Bir de az kalsın 1 yaşındaki oğluma yedirecektik bundan Allah korusun çocuğun da bizim sağlığımıza da bir tehdit bu. Gereğini yapın lütfen.",""
"Eti Gıda Eti Karam 60gr Bitter Çikolata Siparişim Paketi Kapalı Ama İçi Eksik!","02 Ağustos 20:38","94","Migros Sanal Hızlı Market'ten sipariş verdim ve ürünler gelince de her insan gibi sırayla yerleştirmeye başladım. Fark ettim ki elime aldığım Eti Karam 60gr. Bitter Çikolata paketi kapalı olduğu halde eksikti. Yani içinin bir kısmı boştu elime alınca önce eridi sandım ama maalesef eksik paketlenmişt","..."
"Eti Gıda Bayat Bisküvi Şikayeti","02 Ağustos 16:18","99","1 Ağustos'ta oğlum marketten Eti Burçak Bisküvi aldı. Paketi açtığımızda bisküvi bayat çıktı. Şimdi görseli de ekleyeceğim, görüntüsü çok kötüydü. Bu durumu düzeltmenizi istiyorum. Severek tükettiğimiz markanın böyle çıkması beni üzdü. Şikayetimi dikkate alırsanız çok sevinirim.",""
"Eti Gıda Eti Puf Taş Gibi Oldu Teth Gelmeden","02 Ağustos 15:41","103","Eti Puf son kullanma tarihine gelmeden 2 ay önce taş gibi oldu. Oysa serin yerde muhafaza etmiştik ancak yenilemez durumdalar. Amazon indiriminden almıştım 2 kutu. Yarım kutu renkli, yarım kutu kakaolu var, ambalajları ve vakumları bozulmamış halde ancak taş gibiler. Son kullanma tarihine gelmeden b","..."
"Eti İçi Dolu Çikolata!","02 Ağustos 15:19","78","",""
"Eti Gıda Hoşbeşten Kurt Çıktı","02 Ağustos 14:15","83","Eti Gıda Hoşbeşten aldığım gofretin içinde kurt çıktı hayal kırıklığına uğradım. Çok severek tüketiyordum. Eti Gıda hayal kırıklığına uğrattı. Bundan böyle korkarak alışveriş yapacağım. Fark etmeseydim yiyebilirdim. Eti Gıdanın bu konuda mağduriyetimi gidermesini rica ediyorum.",""
"Eti Gıda Eti Firması Halkın Sağlığını Tehdit Ediyor!","02 Ağustos 13:27","90","30.07.2024 tarihinde, daha önce bir marketten satın almış olduğum Eti Cracks peynirli 80 gram isimli ürünün paketini açıp tüketmeye başladım. Paketin sonuna geldiğimde ağzıma atmış olduğum çubuk parçasını yerken çok ağır ve kötü bir kokuya maruz kaldım. Tıpkı yanık kokusu gibiydi ve ağzımdan çıkarıp","..."
"Eti Gıda Eti Satış Danışmanı Şikayet","02 Ağustos 13:08","70","Merhaba, Ankara Yenimahalle Karşıyaka Mahallesi'nde bir bayiyim. Eti satış personeli dükkanımıza uğramıyor, sipariş almıyor. İadelerimiz var, alınmıyor. Eksik ürün olunca mecbur toptancı halinden alıyoruz. Bu durumdan çok mağdurum, gereğinin yapılmasını arz ederim. İyi çalışmalar.",""
"Eti Gıda Eti Hoşbeş Gofret","02 Ağustos 10:43","92","Eti firmasına yakışmayan görseller aldığımız Eti Hoşbeş fındık kremalı gofret yarım çıktı. Kalitesine güvenerek aldığımız ürünler böyle çıkarsa, kalite kontrolünün yapılmaması ya da üretim hatası olabilir. Daha da diyecek bir şey kalmıyor. Tamamen hayal kırıklığı.",""
"Eti Puf Lütfen Daha Özenli Paketleme Yapalım","01 Ağustos 22:41","48","A101 mağazasından çocukluğumdan bu yana severek tükettiğim birkaç Eti puf ve başka çeşit Eti ürünleri aldım. Fakat Eti puf'un içerisinden dört kollu yıldız tarzı üzerinde Eti yazan bir plastik madde çıktı. Şayet dalgınlık ve dikkatsizlik ile yutulsa bayağı sorun açabilir. Çocukluğumun markası olan E","..."
"Eti Gıda Burçak Bozuk Ürün","01 Ağustos 17:26","70","En sevdiğim bisküviyi aldım, çayımı koydum, büyük bir heyecanla çayıma banıp yemek için paketi açtığımda hayal kırıklığına uğradım. En sevdiğim bisküviyi şimdi bir sonraki sefere güvenip nasıl satın alacağım. Üstündekilerin ne olduğunu anlayamadım ama çok can sıkıcı görünüyor.",""
"Eti Gıda Eti Gong'tan Kurtçuk Çıktı","01 Ağustos 16:36","96","Eti Gong paketinden kurtçuk çıktı. 8 yaşındaki kardeşim Gong'a bayılıyor, sürekli alıyoruz fakat bu sefer içinden kurtçuk çıktı. Az daha fark etmeden yiyecektik, çok kötü hissediyoruz. Eti'den bize ulaşmasını istiyoruz. Videoda da görüldüğü gibi son tüketim tarihine çok var.",""
"Eti Gıda Eti Pop Kek","01 Ağustos 15:39","79","Merhabalar, bugün BİM Market'ten aldığım Eti Pop Kek'i yediğimde sanki kum yedim. Bu durum sadece bende değil, çocuklarımda da aynı şikayet oldu. İnsan sağlığı bu kadar ucuz olmamalı, bu Eti gibi bir markaya yakışmıyor. Kum yemek istesem dışarı çıkar, kum taş yerim.",""
"Eti Crax Koliden Çıkan Boş Paket","01 Ağustos 13:37","67","",""
"Eti Gıda Sütlü Çikolatalı Ürün Kalite Sorunu","01 Ağustos 01:28","122","Eti Burçak sütlü çikolatalı ürün bozuk çıktı. Ürünün üzerinde değişik beyaz beyaz şeyler var. Eşim sürekli severek yerdi, İnşallah zehirlenmemişizdir. Eti gıdaya yakışmayan bir hareket oldu. Açıkçası eşim ile birlikte en sevdiğimiz bisküvi çeşidiydi fakat artık öyle olmayacak sanırım.",""
"Eti Gıda Eti Hoşbeş Çilekli Gofretten Çıkan Şeyler","01 Ağustos 00:17","89","30 Temmuz 2024 tarihinde BİM marketten almış olduğum Eti Hoşbeş Çilekli gofretin birkaç yaprağının içinden bu ve bunun gibi küfe benzer, anlam veremediğim, sağlığı tehlikeye atabilecek atıklar çıktı. Buna ek olarak, diğer çoğu Hoşbeş tanesinden alışık olmadığımız tatlar aldık. Yetkililerin kısa süre","..."
"Eti Gıda Eti Süt Burger","31 Temmuz 23:07","100","Bugün aldığım Eti süt burgerden yetişkin parmak uzunluğunda beyaz kıl çıktı şok oldum. Çok tiksinmeme neden oldu. Kullanma tarihi de geçmeye çok yakindi, marketlerin neden hala sattığını anlamadım. Mutlaka bu düzeltilmeli, çocukların çok sevdiği bir yiyecek.",""
"Eti Gıda Kurtlanmış Eti Cin","31 Temmuz 19:56","90","Marketten aldığım Eti cin paketinin içinden kurt çıktı. Kurtlanmış Eti cinler ne zamandan beri satışta merak ediyorum. İlk defa böyle bir şey ile karşılaşıyorum. Şok oldum. Görüntüyü de bu gönderiye ekledim. Gereğinin yapılmasını bilgilerinize arz ediyorum.",""
"Eti Gıda Eti Browni 10 Lu Paket","31 Temmuz 17:16","96","Trabzon Sanayi Mahallesi'nde Şok Market'ten Inset Browni 10 paket aldım. Üründen 3 paket aldım. Üçü de bu şekildeydi. Fişini de attık. Yolda insanlara da dağıttım. Umarım zehirlenme olmaz. Ürünü Şok Market'ten aldım, şok oldum, mağdurum. Yazık yani, Eti gibi bir marka.",""
"Eti Gıda Burçak Bisküvi İçinde Kıl Çıktı","31 Temmuz 16:47","120","Eti Burçak 3'lü paket aldım, bisküvinin içinde saç çıktı. Hatta dışarıdan mı acaba diye baktığımda, bisküvinin içinden geldiğini gördüm. Bu saç ilk kez böyle bir şey gördüm. Steril üretilmiyor mu acaba? Koskoca Eti firmasından böyle bir şey beklemezdim ki, ilk tercihim her zaman Eti'dir.",""
"Eti Gıda Üründen Kıl Çıktı Ve Paketin Yarısı Boş!","31 Temmuz 15:54","153","30 Temmuz 2024 tarihinde Carrefour SA süper Bursa Gemlik şubesinden alışveriş yaptık. 20 yıldır Eti kullanıyoruz. Geçen ay 1 alana 1 bedava Migros'tan aldık. Paket koli olarak ürünlerini çok seviyoruz, Bizim Toptan'da koli olarak bile alıyoruz. Diğer markaları tercih etmeyip yerli markasını benimsey","..."
"Eti Gıda Yeni Pronot Keklerin Tadındaki Büyük Hayal Kırıklığı!","31 Temmuz 15:02","72","Eti Pronot kek aldım 31 Temmuz İstanbul Bahçelievler Yayla şubesinden. Yenilenmiş ürün karabuğday eklenmiş, tadı değişmiş. Pronot'un tek sevdiğim ürünü mini kekleri idi. 56 TL verdim ama çok pişman oldum. Eskisiyle arasında ciddi tat farkı var. Eski olan, glutensiz olmayacak kadar güzeldi. Yeni olan","..."
"Eti Gıda Et Karam Bitter Çikolatanın İçinden Kurt Çıktı","31 Temmuz 11:29","157","Eti Karam Bitter çikolatanın içinden kurt çıktı. Ve yarısını yedim çikolatanın mide bulantısından ölüyorum. Düşündükçe midem bulanıyor. Yazıklar olsun ya bu nasıl olur ne yediriyorsunuz bize. Son kullanma tarihi 02.02.2025 Sağlık Bakanlığı devreye girmeli. Ya görmeseydim dikkat etmeseydim.",""
"Eti Burçak Bozuk Sütlü Çikolata","31 Temmuz 09:43","74","Eti Burçak sütlü çikolatalı bisküvisinin üzerinde beyaz beyaz lekeler çıktı. Son kullanma tarihi 08.12.2024 Paketin içinde bulunan bütün bisküvilerde aynı sorun mevcut ve fark etmeden önce maalesef 1 adet yemiştim. Bunun ne olduğuna dair tarafıma bilgi verilmesini istiyorum.",""
"Eti Karam Gurme'nin Bozulmuş Ürünü Sağlığımı Tehdit Etti","30 Temmuz 16:34","95","Eti Karam Gurme bozuk çıktı. İnsan sağlığı ile oynamak bu kadar kolay mı? Halbuki severek alıp tükettiğim bir üründü. Başka insanlar da mağduriyet yaşamasın. Acil bir şekilde ilgilenilsin ve denetleme yapılsın. Üretim yerini görür görmez mide bulantısı yaşadım.",""
"Eti Gıda Ah Eti Vah Eti","30 Temmuz 15:54","106","Eti firması haftalık düzenli uğramıyor ve 3-4 aydır iadelerini bu ay alamıyoruz. Sonraki ay alacağız diyerek oyalıyorlar. Faturanın üzerinde yazan telefon numarasını arıyorum, telefona bakan yok. Eti şefine haber göndermeme rağmen tenezzül edip ne aradılar ne de geldiler.",""
"Eti  Canga'nın Hali!","30 Temmuz 14:53","144","",""
"Migros Eti Canga Çikolata Örümcek Ağı Çıktı","30 Temmuz 14:32","317","Migros mağazasının yapmış olduğu 1 alana 1 bedava kampanyasından toplu almış olduğumuz Eti Canga marka üründe resimde de net bir şekilde görüldüğü gibi örümcek ağları çıktı. Birkaç gün önce de kızımın yediği Canga da kurtlanmadan kaynaklı tozlar ve içinden kurt çıktı. O an fotoğraflama imkanım olmad","..."
"Eti Gıda Eti Küflü Ürün Ve İletişim Merkezi İlgisizliği","30 Temmuz 12:21","145","Eti Küflü Ürün Satıyor ve Tüketici Destek Hattı İlgilenmiyor dönüş bile yapmıyor! İki kere başımıza geldi. Biri online teslimat bir diğeri ise zincir market üzerinden aldığımız 12 li üründe bütün ürünler bozuk küflü çıktı. Müşteri hizmetlerine mail attım göstermelik aradılar sonra geri dönen yok. Bu","..."
"Eti Gıda Eti Balık Kraker Yanmaktan Kömür Olmuş.","30 Temmuz 11:37","81","",""
"Eti Gıda Eti Petito Ambalajı Ve İçinde Çıkan Ürün Farklılığı","30 Temmuz 10:52","135","Dün Migros'tan aldığım Eti petito ürününü açtığımda karşılaştığım görsel ekte yer almaktadır. Çocukların şeklini görselini ve tadını sevdiği ürün, nasıl olduysa tamamen alakasız ve çok kötü bir görüntüye sahip şekliyle ambalajlanmış. En son kalite kontrol aşamasında herhalde ne dedektör gördü ne de","..."
"Eti Gıda Eti Mısırlı Balık Krakerden Çıkan Böcek","29 Temmuz 21:09","94","",""
"Eti Gıda Hatalı Üretim Bilgilendirme","29 Temmuz 19:45","103","Elimdeki Eti Burçak 4'lü paketi içerisinden çıkan bisküvi paketlerinin ağzı açık ve kreması taşmış olarak üretilmiş. Bu konuyu iletmek için müşteri şikayet kısmını aradım ama mesai saatleri dışında imiş. Size ulaşamadığım için buradan yazmak istedim. Resimler ektedir. Üretim ve kalite süreçlerinize","..."
"Eti Gıda Eto Browni İntense Bozuk Çikolata","29 Temmuz 19:19","103","Eti Browni İntense aldım, birkaç tane eve geldim kardeşlerime verdim. Kendiminkini açınca bozuk olduğunu fark ettim, tadı da çok kötüydü. Her tarafı beyaz baloncuklarla kaplıydı ve hafif yeşilimsiydi. Cidden en sevdiğim çikolatanın böyle olması çok üzdü.",""
"Eti Çikolata Küflü","29 Temmuz 16:57","95","",""
"Eti Gıda Browni İntense Beyaz Noktalar","29 Temmuz 15:38","102","Eti browni intense kahveli aldım ürün küçük beyaz noktalarla kaplı. Belki bir tanesi böyledir diye diğerlerini de açtım hayır bütün paket böyle. Ürünün tarihinin geçmesine aylar var. Aylar öncesinden aynı şikayet defalarca yapılmış, hiç mi denetlenmiyor bu ürünler?",""
"Eti Gıda Eti Gong Bayat Ve Rutubetli","29 Temmuz 03:07","98","Bayat Rutubetli ve Bozuk. Marketten her gece düzenli olarak aynı yeni açılmış koliden aldığım Eti Gong dan 4 5 tanesinden biri veya ikisi mutlaka bayat ve rutubetli çıkıyor. Ciddi bir yumuşaklık ve tat farkı var yenmiyor. Ozen göstermeniz gerekiyor. Bence sorunu bulun ve çözün.",""
"Eti Gıda Aldım Üründe Kıl Çıkmıştır","28 Temmuz 23:30","110","28/07/2024 tarihinde aldığımız Eti Gong markalı mısır gevreğinden kıl çıkmıştır. Bu üretici markanın hatasıdır, bunun göz önüne alınıp daha dikkatli b","..."
"Eti Gıda Eti Maksimus Çikolata","28 Temmuz 23:16","97","",""
"Eti Ürünlerinin Helalliği","28 Temmuz 21:39","104","Eti çikolata, kraker gibi ürünlerde hiçbir helal sertifikasına denk gelmedim. Birkaç sorum var: kullanılan peynir altı suyu tozunun mayası mikrobiyel mi yoksa hayvansal mı? Aroma vericiler, vanilya vs. Alkol ile mi elde ediliyor yoksa sıcak buhar ile mi? Gliserol bitkisel mi hayvansal mı? En azından","..."
"Eti Gıda Eti Cin İçerisinden Çıkan Canlı Kurt.","28 Temmuz 18:42","105","",""
"Eti Wanted Eldiven Parçası Çıktı","28 Temmuz 12:50","85","",""
"Eti Asla Böyle Bir Şey Beklemiyordum","28 Temmuz 12:43","76","",""
"Eti Crax Baharatlı Çubuk Krakerden Yabancı Cisim Çıktı","28 Temmuz 12:29","99","Eti Crax baharatlı çubuk kraker alınca içinden çıkan plastik resmen şok etti bizi. Özellikle Eti markasını tercih ediyorduk. Allah'tan ben değil de dikkat ederek yiyen kızım fark etti de plastik yemedik. Yurt dışında da özellikle Eti markası arayıp ülkem kazansın diyorduk. Ama bu yabancı maddeyi gör","..."
"","28 Temmuz 11:46","81","",""
"Eti Gıda İnternetim Uygulamada Yüklendi Diyor Ama Hattıma Tanımlanmadı","27 Temmuz 20:54","60","26 Temmuz tarihinde internet paketi aldım 250 MB ama bir gün geçmesine rağmen hâlâ hattıma tanımlanmadı. Sorunun bir an önce giderilmesini ve internetimin geri verilmesini arz ediyorum. İlk defa böyle bir şeyle karşılaştığım için şikayet etmek istedim.",""
"Eti Gıda Eti Hoşbeş Gofretin İçindeki Siyahlık","27 Temmuz 17:48","64","Eti Hoşbeş Çilek kremalı gofretin içinde ne olduğu belli olmayan siyahlıklar var. Fark edene kadar tükettik çoğunu ve kim bilir içindeki şey ne. Biz bilindik marka diye güvenip alıyoruz ama demek ki nasıl ortamlarda üretilip hazırlanıyor. Bir daha Eti ürünleri mi asla.",""
"Eti Burçak Bitter Çikolatalı Bisküvinin Hali!","27 Temmuz 17:33","85","",""
"Eti Gıda Eti Gong Hasarlı Ürün","27 Temmuz 16:07","57","Onun ve kızımın severek kullandığı Eti Gonglar son zamanlarda bu şekilde çıkmaya başladı. Son kullanım tarihlerine bakıyorum, daha uzun bir süre var yani yeni bunlar. Ona rağmen çok kötü çıkıyor. Artık bu ürünü alırken çok tereddüt ediyorum ama çocuklarım çok seviyor. Bu konuda gerekenin yapılmasını","..."
"Eti Gıda Zirve Grup Eti'nin Toptancısı Sıkıntılı","27 Temmuz 14:33","57","Yeni devralmış olduğum Çamlıca Mahallesi dayı bey sokak no 62/b Tepebaşı / Eskişehir adresinde bulunan taşdemir GROSS'un zirve gruptan Eti ürünlerini getiren Z*** adındaki toptancı 2 aydır haftada bir gelmesi gerekirken bazen 2 haftayı aşıyor hala gelmiyor. Raflarım şu an bomboş. Salı günü kendisini","..."
