"complaint-layer","complaint-layer href","username","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button","sv-model-button href","large-view src"
"Superonline Bayram Öncesi İnternet Kurulumu Sözleri Yerine Getirilmedi","https://www.sikayetvar.com/superonline/superonline-bayram-oncesi-internet-kurulumu-sozleri-yerine-getirilmedi","Berat","15 Haziran 11:43","62","08.06.2024 tarihinde Turkcell Superonline müşteri hizmetlerini arayarak 13.06.2024 tarihinde başlayacak şekilde internet nakil talebinde bulundum. 13.06.2024 tarihinde ekipler tarafından aranarak randevu oluşturulacağı söylendi ancak tarafıma bir dönüş sağlanmadı. Daha sonra hem müşteri hizmetlerini","...","#Nakil","https://www.sikayetvar.com/superonline/nakil",""
"Turkcelli Olarak 15 Saattir İnternetsiz Ve Televizyonsuzuz!","https://www.sikayetvar.com/superonline/turkcelli-olarak-15-saattir-internetsiz-ve-televizyonsuzuz","Ayşegül","15 Haziran 10:59","81","Turkcell Superonline ve Turkcell TV Plus kullanıyoruz. Dün akşam saat 19:00 civarı internet ve buna bağlı olarak televizyon gitti. Görüştüğümüz hiçbir yetkili de makul açıklama yapamıyor. Sabah düzelecek dediler, şimdi akşam diyorlar, 15 saat oldu. Evden çalıştığım için perişan ve mağdur olduk. Cuma","...","","",""
"Superonline İnternet Arızası Ve Müşteri Deneyimleri","https://www.sikayetvar.com/superonline/superonline-internet-arizasi-ve-musteri-deneyimleri","Ali","15 Haziran 10:10","71","Geçen hafta cumartesi sabahı gitmiş olan Superonline internetim hala gelmedi. Kızımın finallerinin olduğu bir haftada etkilenmesi benim işlerimin aksaması Vesaire Vesaire bizleri çıldırttı... Bunun yanı sıra Bazen ulaşabildiğimiz müşteri hizmetlerinde çalışan kişilerin verdiği cevaplar ister istemez","...","#Arıza","https://www.sikayetvar.com/superonline/ariza",""
"Turkcell Superonline Ev İnterneti Sorunu","https://www.sikayetvar.com/superonline/turkcell-superonline-ev-interneti-sorunu-30","Caner","15 Haziran 09:56","61","Turkcell'in ev internetinden bıktım. 2 yıldır kullanıyorum, 50 MB kullanmama rağmen sürekli 0.1 MB hız alıyorum. Hiçbir siteyi bile açmıyor, sürekli modeme reset atıyorum, sürekli kapat aç yapıyorum. Yarım saat, 1 saat ancak normal kullanabiliyorum. Taahhüdüm bitmişti, arayıp yenilemek için sorundan","...","","",""
"Superonline İzinsiz İnternet Sözleşmesi","https://www.sikayetvar.com/superonline/superonline-izinsiz-internet-sozlesmesi","Sedat","15 Haziran 09:31","77","Turkcell Superonline bilgim dışında sözleşme ve taahhüt yaparak adıma internet düzenlemiş. Benim böyle bir başvurum bulunmamaktadır. İznim dışında yapılan bu işlemlerin hepsinin iptal edilmesini talep ediyorum. Aksi halde suç duyurusunda bulunacağım.","","#Fiber İnternet","https://www.sikayetvar.com/superonline/fiber-internet",""
"Turkcell Superonline'da İlk Günden Büyük Hayal Kırıklığı","https://www.sikayetvar.com/superonline/turkcell-superonlineda-ilk-gunden-buyuk-hayal-kirikligi","Ufuk","15 Haziran 09:12","86","Geçenlerde farklı bir sağlayıcımla taahhüdüm bittiği için Turkcell Superonline'a başvurdum ve dün internetim bağlandı. Bağlayan arkadaş, Türk Telekom'un bana en fazla 24 megabit sağlayabileceğini söyledi fakat ben önceki sağlayıcıdan 50 alıyordum ki oraya da Telekom port sağlıyor diye biliyorum. İşi","...","#Hız Testi","https://www.sikayetvar.com/superonline/hiz-testi",""
"Superonline Müşteri Temsilcisi Tarafından Kasıtlı Yapılan SMS Bomber","https://www.sikayetvar.com/superonline/superonline-musteri-temsilcisi-tarafindan-kasitli-yapilan-sms-bomber","Arif","15 Haziran 08:30","70","İnternet bağlantı problemi için Superonline müşteri hizmetlerini aradım. Temsilci olarak bağlanan arkadaş, belli bir konuşma sonrasında internetimi kontrol etmemi söyledi. Ben de kontrol için Wi-Fi ağını arattığımda 2.4 GHz olduğunu, 5 GHz'nin olmadığını söyledim. 'Aaa, nasıl olur? Yanlışınız vardır","...","","","https://files.sikayetvar.com/complaint/2908/29089039/superonline-musteri-temsilcisi-tarafindan-kasitli-yapilan-sms-bomber-2_350x350.jpg"
"Superonline 3 Gündür Açıklamayan İnternet","https://www.sikayetvar.com/superonline/superonline-3-gundur-aciklamayan-internet","Saffet","15 Haziran 06:25","55","Superonline internetimi dondurdum. İsmim Saffet D****. 2 ay dondurdum. 12.06.2024 günü müracaat ettim, açın diye. 3 gündür uğraşıyorum, defalarca aradım. Tamam yapıyoruz, bugün hallolacak diyorlar, sonuç sıfır. İnternete giremiyoruz. Lütfen yardımcı olun, böyle başıboşluk olamaz.","","","",""
"Superonline İlk Ay Ücretsiz Olması Gereken Faturaya Ücret Çıkması","https://www.sikayetvar.com/superonline/superonline-ilk-ay-ucretsiz-olmasi-gereken-faturaya-ucret-cikmasi","Dilara","15 Haziran 01:41","62","2024 Mayıs ayında taahhüdümüz sona erecekti. 3 hafta öncesinde Nisan ayının ilk haftasında arandık ve %100 zamlı fiyat verdiler paketimize. Bizde pahalı deyince taahhüt bitimine 1 hafta kala size daha uygun tarife sunacağız deyip kapadılar. Ardından son hafta yine net bir cevap alamadık. Mayıs ayını","...","#Taahhütsüz İnternet","https://www.sikayetvar.com/superonline/taahhutsuz-internet",""
"Turkcell Superbox Çekmeyen İnternet","https://www.sikayetvar.com/superonline/turkcell-superbox-cekmeyen-internet-3","Emir","15 Haziran 00:29","62","Turkcell Superbox internet çekmiyor. Her ay boşa para ödüyorum. Kapattırsam cayma bedeli vs. diyorlar. Her ay 450 TL'mi alıyorlar ve fiyasko sistemleri var. Yok reset attık, yok hız normal gözüküyor vs. diyorlar. Ya ben sizi aramaktan zevk mi alıyorum? Nasıl bir mantık bu? Sorunum hiçbir şekilde çöz","...","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi",""
"Turkcell Superonline Bize Hizmet Veremiyor","https://www.sikayetvar.com/superonline/turkcell-superonline-bize-hizmet-veremiyor","Fulya","15 Haziran 00:23","53","Evimizde bir haftadır internet yok genel sorun olduğu ve bir ay süreceği söyleniyor. Evden çalışan ve çocuğu olan birisi olarak evimde internet kullanmak zorundayım. Turkcell Superonline asla yardımcı olmuyor ve durumu telafi etmiyor müşteri temsilcileri yetkiliye aktarmıyor ve çözüm üretmiyor. Abon","...","","",""
"Turkcell Superbox Sorunu","https://www.sikayetvar.com/superonline/turkcell-superbox-sorunu-62","Gül","15 Haziran 00:16","52","Aylık 600 küsur ödediğim internet, mobil veriden daha kötü olurken, bir de üstüne faturayı ödediğim günün akşamı kutuda kırmızı ışık yanmaya başladı. İnternet çok kötü, müşteri hizmetlerini arıyorum, telefonu açan yok. Bir kere açtılar, sonra tekrar aramayı sonlandırdılar. Böyle bir durum kabul edil","...","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi",""
"Turkcell Superonline Ev İnternet Abonelik Problemi","https://www.sikayetvar.com/superonline/turkcell-superonline-ev-internet-abonelik-problemi","Fatih","14 Haziran 23:55","56","Turkcell Superonline ev internet paketi için 07.06.2024 tarihinde başvurdum. Aynı gün, '48 saat içinde arayıp randevu alacağız' mesajı geldi. Sorunlar bundan sonra başladı. 10.06, 11.06, 12.06 tarihlerinde tekrar aramalarımıza verilen cevaplar, 'Not aldık. Size döneceğiz' şeklinde idi. En sonunda 12","...","#Abonelik","https://www.sikayetvar.com/superonline/abonelik","https://files.sikayetvar.com/complaint/2908/29087348/turkcell-superonline-ev-internet-abonelik-problemi-3_350x350.jpg"
"Superonline Superbox Ve Abartılı Fatura","https://www.sikayetvar.com/superonline/superonline-superbox-ve-abartili-fatura","Enes","14 Haziran 23:08","44","Superbox 532 *** ** 92 numaralı iptal olan hattım üzerine 6348,04 TL fatura çıktı. Faturayı ödememem halinde icraya verileceğime dair bilgi aldım. Faturayı ödemeden önce detay almak istedim, ancak alamadım. Faturayı ödedim ve beni arayıp bilgilendiren kişiden teyit etmesini istedim. Onayladı, dosya","...","#Fatura","https://www.sikayetvar.com/superonline/fatura",""
"Turkcell Superonline Teknik Destek Vermiyor","https://www.sikayetvar.com/superonline/turkcell-superonline-teknik-destek-vermiyor-1","Duygu","14 Haziran 23:01","40","2 Haziran tarihinde başka bir internet sağlayıcıdan Superonline a geçtik. 3 Haziran yani bir gün sonra internet bağlantısı koptu ve telefonla görüştüğümüzde kayıt oluşturulduğu söylendi. O tarihten itibaren defalarca aramış olmamıza rağmen internet bağlantısı için gelen giden olmadı. Superonline tek","...","#Arıza","https://www.sikayetvar.com/superonline/ariza",""
"","","İsmail","14 Haziran 22:25","21","","","","",""
"Superonline Pişmanlıktır İsteyenler Bir Kez Daha Düşünsün","https://www.sikayetvar.com/superonline/superonline-pismanliktir-isteyenler-bir-kez-daha-dusunsun","Arzu","14 Haziran 21:09","27","Superonline pişmanlıktır. Bir türlü interneti bağlayamadılar her geldiklerinde başka sorun buluyorlar iptal etmek istiyorum cayma bedeli ödemek zorundasınız diyorlar. 1 gün bile kullanamadığım internetin cayma bedeli mi olur resmen hepsi sorumsuz. Bir daha mı asla","","#Abonelik","https://www.sikayetvar.com/superonline/abonelik",""
"Superonline Kurulum Randevusuna Gelmiyorlar, Muhata Bulamıyorum","https://www.sikayetvar.com/superonline/superonline-kurulum-randevusuna-gelmiyorlar-muhata-bulamiyorum","Mustafa","14 Haziran 21:08","27","11.06.2024 tarihli başvurum için kurulum randevusu verildi bekledim kimse gelmedi. Randevu oluşturan numarayı defalarca aradım açmadı, 3 gündür çırpınıyorum 5 defa müşteri hizmetlerini aradım hiçbir dönüş olmadı. Yani özetle tahammül üst sınırlarınızda sınanmak istiyorsanız buyurun başvurun.","","#Abonelik","https://www.sikayetvar.com/superonline/abonelik",""
"Superonline Süper Şikayetler Sıfır Hizmet","https://www.sikayetvar.com/superonline/superonline-super-sikayetler-sifir-hizmet","Oğuzhan","14 Haziran 20:41","24","Bulunduğumuz lokasyonda sürekli teknik arıza, yükleme hızı yavaşlığı ve anlık kopmalar gibi problemler yaşıyoruz. Çeşitli zaman dilimlerinde o kadar çok arayıp iletişim merkezine dil dökmemize rağmen aldığımız hizmetin kalitesi çok kötü durumda. 8-10 saat gibi çağ dışı çözüm süreleri vererek interne","...","#Arıza","https://www.sikayetvar.com/superonline/ariza",""
"Turkcell Nakil İşleminde Yaşanan Sorun Ve Yanıltıcı Bilgilendirme","https://www.sikayetvar.com/superonline/turkcell-nakil-isleminde-yasanan-sorun-ve-yaniltici-bilgilendirme","Kenan","14 Haziran 19:34","86","Superonline gerçekten harika çalışıyorsunuz. Nakil için aradım, beni kırk takla atıp yeni adresinizde şu an kullandığınız 50 Mbps hız desteklenmiyor, fiber hattı mevcut diye fiber hattına ve yeni bir kampanyaya geçirdiniz. Bugün yeni adrese gelen ekip baktı, burada hat yok diye gitti. Bu nasıl bir ç","...","","",""
"Superonline Ekip Yetersizliği Ve İlgisizliği","https://www.sikayetvar.com/superonline/superonline-ekip-yetersizligi-ve-ilgisizligi","Muhammed","14 Haziran 19:04","158","Superonline ilgisizliği: Bir ekip yönlendiremediler. Sabahtan beri 5 kez aradım, 5 kez talep oluşturdular. Koca Beylikdüzü bölgesinde gelip bakacak bir ekip yok mu? Sabahın dokuzundan beri arıyorum. Her müşteri temsilcisini aradığımda 'Sizi birazdan arayacaklar' dediler. Kimse aramadı. Saat 6'ya kad","...","#Arıza","https://www.sikayetvar.com/superonline/ariza",""
"Superonline Pişmanlıktır Ve 3 Gündür İnternetsizim","https://www.sikayetvar.com/superonline/superonline-pismanliktir-ve-3-gundur-internetsizim","Ali","14 Haziran 19:03","102","12.06.2024 tarihi 22:10 saatinde evime gelip internetimin kesildiğini gördüm. Ücret ödememi günü gününe yaptığım için, yönetici ile konuşup bir sorun olup olmadığını sordum. Yönetici de dedi ki ;Turkcell Superonline'ın usulsüz bir şekilde internet bağladığını, başka bir firmanın da gelip usulsüz bağ","...","#Arıza","https://www.sikayetvar.com/superonline/ariza",""
"Turkcell Superonline Kurulum Ekibinin Evimi Dağıtıp Aboneliğime Engel Olması","https://www.sikayetvar.com/superonline/turkcell-superonline-kurulum-ekibinin-evimi-dagitip-aboneligime-engel-olmasi","Zeynep","14 Haziran 19:03","98","Superonline başvurum sonucu kurulum ekibi, sitemde kablo sorunu olduğunu iddia ederek açtıkları prizleri kapatmadan konutumdan ayrıldı. Site yönetimi gerekli kontrolleri sağladığında (karşı komşum Superonline abonesi) hiçbir kablo sorunu olmadığını, tekrar kurulum için geldiklerinde teknik ekibin ku","...","","",""
"Superonline İnternet Bağlantım Yok!","https://www.sikayetvar.com/superonline/superonline-internet-baglantim-yok-135","Cengizhan","14 Haziran 18:56","161","25447507 abone numaralı internet bağlantım toplamda 14 gündür yok ve şikayet oluşturduğum tarih üzerinden 6 gün geçti, hala internet bağlantım yok. Gerçekten yazıklar olsun, İzmir'in en merkezi konumlarından Karşıyaka ilçesine her gün aramama rağmen 6 gündür ekip yönlendiremediniz ve iptal talebimi","...","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi","https://files.sikayetvar.com/complaint/2908/29084335/superonline-internet-baglantim-yok-3_350x350.jpg"
"Superonline Hizmet Kalitesi Ve Müşteri Memnuniyeti Sorunu","https://www.sikayetvar.com/superonline/superonline-hizmet-kalitesi-ve-musteri-memnuniyeti-sorunu-1","Hüseyin","14 Haziran 18:33","182","Superonline kesinlikle pişmanlıktır. 10 gündür bayi ücretli servis yönlendiremiyor, yalanları ise net: 'Size ulaşamadık, 2 kere aradık' teyit ettiler.","...","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi",""
"Superonline Müşteri Hizmetleri Ve Kumanda Sorunu","https://www.sikayetvar.com/superonline/superonline-musteri-hizmetleri-ve-kumanda-sorunu","Gökhan","14 Haziran 18:25","103","Superonline kumanda tuşu çıktığı için ekip göndereceğiz, sizden kaynaklıysa ücret ödemek zorundasınız diye ifade ettiler. Superonline, sorarım benden kaynaklı olduğunu nasıl anlayacaklar? Hadi benden kaynaklı değil, ama sizden kaynaklı derlerse ne olacak? Müşteri hizmetlerinde E*** Hanım'ı hiç takdi","...","","",""
"Superonline Pişmanlıktır","https://www.sikayetvar.com/superonline/superonline-pismanliktir-181","Murat","14 Haziran 18:00","77","2 hafta önce abonesi olduğum Superonline internetim evde sürekli donma ve kasma yaşıyor. Bunun için müşteri hizmetlerini defalarca aramama rağmen çözüm bulunamadı. Bu çözümsüzlüğe istinaden 1 yıllık olan taahhüdümü iptal ettirmek istedim fakat taahhüt adı altında borç çıkardılar. Bu kadar köklü bir","...","#Cayma Bedeli","https://www.sikayetvar.com/superonline/cayma-bedeli",""
"Superonline Abonesi Olmak Suç Mu?","https://www.sikayetvar.com/superonline/superonline-abonesi-olmak-suc-mu","Timur","14 Haziran 17:43","100","","","#Arıza","https://www.sikayetvar.com/superonline/ariza","https://files.sikayetvar.com/complaint/2908/29083500/superonline-abonesi-olmak-suc-mu-5_350x350.jpg"
"Superonline 4 Günlük İnternet Kesintisi","https://www.sikayetvar.com/superonline/superonline-4-gunluk-internet-kesintisi-1","Büşra","14 Haziran 17:42","139","2 yıldır Superonline kullanıcısıyım Salı günü sabah saatlerinden beri internet kesintisi yaşıyorum. Son 4 gündür 22 kere kendileri ile görüştüm. İlk olarak kendi ekipleri gelip sinyal sorunum olduğunu söyleyip Türk Telekom altyapı sorunu olduğunu söyleyip topu onlara attılar. 2 gündür de Türk Teleko","...","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi",""
"Turkcell Superonline Abonelik Kurulumu Zamanında Yapılmadı","https://www.sikayetvar.com/superonline/turkcell-superonline-abonelik-kurulumu-zamaninda-yapilmadi","Dilşah","14 Haziran 17:27","149","Superonline'dan abonelik başvurusu yaptık. Aradığımızda bayrama kadar hallolmuş olur mu dedik ve bunu onayladılar, biz ona istinaden bir abonelik başvurusu başlattık ama 2 -7 iş günü içerisinde kurulum yapılacağı söylenmesine rağmen kurulum yapılmadı. Haftanın başından beri arayıp durumun aciliyetin","...","#Abonelik","https://www.sikayetvar.com/superonline/abonelik",""
"Superonline Nakil İşlemini Gerçekleştirmiyor.","https://www.sikayetvar.com/superonline/superonline-nakil-islemini-gerceklestirmiyor-21","Gizem","14 Haziran 17:17","108","Superonline aktif olarak kullandığım fiber internetimi aynı binada 4 kat yukarı naklettirmek istedim. İki kere teknik ekip geldi. Fiber kablosunu buluyorlar fakat ne hikmetse kabloyu çekemiyorlar ve benden bu kabloyu çektirmemi istiyorlar. Müşteri hizmetleri konuya dahil olunca site yönetimi ekibin","...","#Nakil","https://www.sikayetvar.com/superonline/nakil",""
"Turkcell Superonline Teknik Servis Göndermiyor!","https://www.sikayetvar.com/superonline/turkcell-superonline-teknik-servis-gondermiyor-2","Yeşim","14 Haziran 17:00","122","Turkcell Superonline internetimiz 4 gündür yok 50 kere aramamıza rağmen 4. Gün hala eve sorunun çözülmesi için servis gönderilmedi. Her aradığımızda şikayet kaydı oluşturuyorlar ve geri dönüş alamıyoruz. Televizyonda da TV Plus kullandığımız için 4 gündür ne TV ve internet hiçbir şekilde kullanamıyo","...","","",""
"Superonline Teknik Ekip Hizmet Vermiyor.","https://www.sikayetvar.com/superonline/superonline-teknik-ekip-hizmet-vermiyor","Ahmet","14 Haziran 17:00","102","Superonline ev internetim 09.06.2024 01.00 sıralarında kesildi müşteri hizmetlerini aradım altyapı iyileştirme vs yapılıyor dedi sonra ki gün aradım akşam 8 de gelecek dedi. Tabii ki de gelmedi. Aradım kayıt açıp Telekom ekipleri geldi alt yapıda sorun yok dedi. Modem Arızalı sorun var dedi sonra yi","...","#Arıza","https://www.sikayetvar.com/superonline/ariza",""
"Turkcell Ev İnterneti Aktarma","https://www.sikayetvar.com/superonline/turkcell-ev-interneti-aktarma","Mesut","14 Haziran 16:53","121","Ev internetimiz kaç haftadır mağduriyetimizi gideren kimse yok. Her gün aynı kelimeleri söylüyorlar. Yardımcı olan kimse yok, e-posta üzerinden bile bakmıyorlar. Dedikleri şey, başka yapabileceğimiz bir şey yok. 11 gündür kimse gelip gitmiyor. Bir aktarma bu kadar uzun sürmez.","","","",""
"Superonline 48 Saattir Şehir Merkezinde İnternet Sunamıyor","https://www.sikayetvar.com/superonline/superonline-48-saattir-sehir-merkezinde-internet-sunamiyor","Serdar","14 Haziran 16:52","174","Binamızda 48 saattir internet hizmeti verilmiyor. Devamlı süre uzatımı yapıyorlar. Muhatap bulamıyorum. İşlerim bayram önü çok aksadı. Mobil paketim bitti. Bu kadar uzun süreli işlem olmaz. Derhal açılmasını istiyorum. Kullanamadığım internetin ve mobil paketimin iadesini talep ediyorum.","","#İnternet Kesintisi","https://www.sikayetvar.com/superonline/internet-kesintisi",""
"Superonline Müşteri Temsilcisi Israrı","https://www.sikayetvar.com/superonline/superonline-musteri-temsilcisi-israri","Senem","14 Haziran 16:51","106","Sormaz olaydım bir fiyat sordum. Konuştum kapattım. Sen misin arayan. Her yarım saatte bir aranıp kapanıyor. Numarayı engelledim bu seferde habire sesli mesaj bırakılıyor. Müşteri temsilcisini aradım. İki tanesi suratıma telefon kapattılar. 532 bizi ilgilendirmez Superonline ı arayın diyor. Orayı ar","...","#Abonelik","https://www.sikayetvar.com/superonline/abonelik",""
"Turkcell Müşteri Hizmetleri Şikayet Talebi","https://www.sikayetvar.com/superonline/turkcell-musteri-hizmetleri-sikayet-talebi","Furkan","14 Haziran 16:44","104","Superonline internetimi iptal ettim ve son faturamın mail adresime gönderilmesi talebinde bulundum ve bir türlü gönderim sağlayamadılar mailime düşmedi ilgili fatura. Sonucunda da çözüm bulunamadı. Mesaj olarak gönderilmesini talep ettiğimde mümkün olmadığını belirttiler. Halbu ki aboneyken bu tarz","...","","",""
"","","Melis","14 Haziran 16:17","84","","","","",""
"Turkcell Superonline Taahhütsüz İptalde 2 Katılı Fatura Kesilmesi","https://www.sikayetvar.com/superonline/turkcell-superonline-taahhutsuz-iptalde-2-katili-fatura-kesilmesi","Mahsun","14 Haziran 16:17","106","Turkcell Superonline'dan aldığım ve kullanmakta olduğum internet ve TV kutusu paketi, ev adresi değişikliği nedeniyle taşındığım adreste Superonline hizmeti olmadığı için iptal ettirdim. İptalden sonra 800 küsur lira fatura yansıttılar. Taahhüdüm bitmiş olmasına rağmen 19 günlük kullanım bedeli olar","...","#Fatura","https://www.sikayetvar.com/superonline/fatura",""
"Superonline İnternet Sorununun Çözülmek İstenmemesi","https://www.sikayetvar.com/superonline/superonline-internet-sorununun-cozulmek-istenmemesi","Burak","14 Haziran 16:09","230","Tam 1 haftadır yüzlerce kez aradım internetim çalışmıyor modem arayüzüne giriş yapılamıyor diye. Türk Telekom altyapı ekibi geldi 3 kere adamlar ısrarla modem arayüzüne giriş yapılamıyor diyor Superonline müşteri hizmetleri 300 TL servis ücreti ile 1 haftadır servis göndermiyor. En kısa zamanda ipta","...","#Modem","https://www.sikayetvar.com/superonline/modem",""
"Turkcell Arıza Giderilmesi Ve Ücret İadesi Ya Da Fatura Gelmemesi","https://www.sikayetvar.com/superonline/turkcell-ariza-giderilmesi-ve-ucret-iadesi-ya-da-fatura-gelmemesi","Ömer","14 Haziran 16:09","129","1 aydır internetimiz yok. Taşınma yapmıştık, kabloları kendim bağladım. Kuruluma gelen arkadaşla konuştuk, evde yoktuk ilk geldiğinde. Fakat sorunumuz bu değil. 3. şahıs hasar kaydı nedenlerinden dolayı internete bağlanamıyoruz. 1 aydır mağduruz ve kullanmadığım internetin parasını ödüyorum. Hem iad","...","","","https://files.sikayetvar.com/complaint/2908/29082367/turkcell-ariza-giderilmesi-ve-ucret-iadesi-ya-da-fatura-gelmemesi-1_768x768.jpg"
