Season,Time,Content,Sentiment
Sonbahar,Öğlen,bu haftasonu gazatede 599 a acer notebook verdiğini görünce şaşırtangidip sorunca aslında öyle bir ürün olmadığını öğrendiğimde daha da şaşırtankuruluşsonuç olarak satmadıkları bir ürüne abuk bir fiyat koyup insanları mağazalarına çekiyorlar sonra da başka ürünler satmaya çalışıyorlarçalışanlarının bir ürünü kötüleyip başka bir ürünü satmaya çalışmaları da tam bir faciaörneğin bana açık açık datronun iyi olmadığını söyleyip hp satmayaçalıştılarsatışta bu kadar kötü olan bir şirketin serviste nasıl olabileceğinitahmin etmek dahi istemiyorum,
Sonbahar,Öğlen,modemimi önce sağlam bu sen yapamamışsın turk telekomda beceremiyor zaten bu adsl işini diye geri verenertesi gün kasayla götürdüğümde modem bozuk diye değiştiren bu arada bilgisayarın bütün disklerine adsl modem çalıştırırken format atan müzik film uçtuuuve orada imzaladığım şeyde yazıyormuş bilgi kayıplarından zorumlu değiliz diye yaa yaayeni verdikleri modemde çalışmayınca dün bana aynı lafları eden bugün kasayı yine götürüp yine göt edeceğim teknik servis demeye dilimin varmadığı içinde balıkların çalıştığını düşündüğüm janjanlı bi binaya toplanmış kendilerini profosyonel sanan paraya tapan öküzlerin yönettiği kurumayrıca teknik serviste deli kuyruk olduğu için bu dediklerim 1 hafta içinde ancak gerçekleşti bu böyle gider gibi de geliyor başka yerden yeni modem alıcam siz de öyle yapın kanmayın taksitlere adam gibi bi yerden alın modeminizi bilgisayarınızı,
Sonbahar,Akşam,saçma sapan bir satışödeme sistemine sahip firma malı önce reyonda seçiyorsunuz reyondaki bilgisayarda stok çıkışının yapılması gerekiyor görevli eğer sistem çalışıyorsa bunu gerçekleştiriyor ardından kasaya geçip uzuuun sıraya girip ödeme yapmak gerekiyor tabi ürün sizden önce oraya gönderilmiş olmalı eğer iki farklı reyondan satınalma yaptıysanız ve ürünler farklı kasalara gittiyse ürünlerin birleştirilmesi tamamen sizin sorumluluğunuzda sizden her iki kasanın sırasına da girmeniz bekleniyor beklememek için arıza çıkarmak gerekli herneyse sıra size geldiğinde de eğer hala sistem çalışır durumdaysa ödemeyi yapıp faturanızı alıyorsunuz sistemin çalıştığı çok nadir görülüyor olsa gerek ki görevlilerin alışık tavırları göze çarpıyornormal frog hareket hızımla 5 dakikamı harcayacağım bir alışveriş için 45 dakikamı geçirdiğim bostancı mağazasında alışık ve günahsız kasiyerlere kustuğum öfkemi kusacak bir yönetici de bulamamış olmak bu mağazaya bir daha gitmeme engel olacak bir diğer faktör,
Sonbahar,Öğlen,istanbulda bulunan her bir metro grossmarket teknosa evkur gold bilgisayar ve vatan bilgisayarı kapsayan şubelerindeki 6 aylık çalışma sürecim sonucu bilgisayar alınacak en güvenli ve en kaliteli kurum olduğuna kanaat getirdiğim yer müşteri ilişkileri son derece profesyonel ürün konusunda hemen her eleman bilgili teknik servis ve satış sonrası destekleri eğerki angut bir elemana denk gelmezseniz son derece tatmin edici ancak alışveriş için asla ve asla haftasonu gidilmemelidir insanların aç kurtlar gibi saldırdığı mağazada çalışanlar bir süre sonra insani sabırlarını kaybedip asabileşebiliyor yahut hata yapabiliyor sistem ise öğlen 2den sonra şöküyor ve haliyle sizin de sinirleriniz şey oluyoyıpranıyor hafta içi gidip paşa paşa ürünü almak en karlısıdır daima,
Sonbahar,Öğlen,compusa in turkiye versiyonu    16 ay a kadar vade farkı olmayan taksit imkanı sunuyorlar tavsiye edilir,
Kış,Sabah,internetten alisveris hizmeti 0 yaziyla sifir hatta ne sifiri eksi olan bilgisayar seysi pazartesi siparis verdigim dvd player ups nin de katkilariyla istanbul turu yaptiktan sonra bugun elime ulasacak insallahtabi o playerdan hayir gelirse artikve hatta urun bana ulasacak mi oda ayrı bi merak konusuzira bu sabah baktim saskin ups nin interinet sayfasında urun adanaaırp subesine gitmis gozukuyorbkz yasasin yurt ici kargo,
Kış,Sabah,bkz bi yerde bi hata yapıyorum ama,
Sonbahar,Gece,feti derecesinde cardfinans hastaliklari vardir esnaflik denen olaydan nasiplerini alamamilar bu konuda malesefnakit odeyecegiz bu kampanya sadece cardfinansa diyorlar ulan adam gibi esnafsan alirsin benden nakit parayi finansbank uzerinden gecirirsin olmadi vatan bilgisayara ait bir cardfinans hesabi uzerinden gecirirsin magazanda muterin olan beni maymun etmezsin haydaa git cardfinansa para yatir diyedev gibi magaza ac o kadar adam calitir sonra da u kadar basit bir organizasyonu yapama komik lan,
Sonbahar,Öğlen,teknik servislerindeki kuyruklar zaman zaman pide kuyruklarını kıskandıracak niteliktedir açılan paketi almama gibi bir de alışkanlıkları var artık içinden nasıl çıkarıp bakıp bozuk olup olmadığını anlayacaksınız o size kalmış bir iş,
Sonbahar,Gece,yazıcı ihtiyacımı karşılamak için gittiğimde epsonun hpden daha ucuz ama kaliteli yala yala bitmez olduğunu inandırıcı bir şekilde anlatıp beni kandıran eve geldiğimde uğradığım şoktan sonra ürünü iade etmek istediğimde beni basit bir yazıcı için 15 saat boş boş konuşturan yerdir olayın sonrasında mağza müdürü telefonla aranıp sanayi bakanlığına gitmekle tehdit edilince 180 derece dönmüş ve istediğim şeyi zorla da olsa yapmış köşe başı elektronikçilerinden hiç bir farkı olmadığını düşündüğüm amatör teknoloji hipermarketi,
Kış,Sabah,121314 aralık tarihlerinde cardfinans ile internet sitesinden yapılan alışverişlerde 20 indirim ve 5 taksit imkanı sunan firma bu enrty üç son sonra imha olacaktır,
Kış,Öğlen,131 aralık  tarihleri arasında bank asya  kredi kartına tüm ürünlerde 18 ay taksit imkanı sunandır,
Kış,Akşam,alınan ürünü 15 gün içinde müşteri memnuniyeti kapsamında değiştirdiğini söylemesine rağmen her faturanın üzerine yazdığı üzere değiştirilecek ürünün açılmamış olmasını isteyen yani ürünü denetmeden memnuniyetsizlik bekleyen card finans a her üründe yaptığı 8 indirimi kasada döviz kurlarını yüksek yazarak geri alan gereksiz kuruluş,
Kış,Akşam,bir ürünü kutusu açılmamış denenmemiş halde bile aldığınız gün geri götürdüğünüzde para iadesi yapamıyoruz alışveriş çeki yazıyoruz diyen bu konuda nuh deyip peygamber demeyen ürünü olduğu gibi yüklenip tamam kardeşim ben ana merkezinize gidiyorum orada halledeceğim bu işi dediğinizdeyse 5 saniye içinde 180 derece dönen kuruluştur,
Kış,Öğlen,ürün almak istediğim için neredeyse dayak yemek üzere olduğum kuruluşsatın almak istediğim ürünle ilgili çabamdan vazgeçirmek için 5 kez üst kata gidip geldim üstelik de bunun için o mağazaya 3 gidişim olmasına rağmen evet doğru ilk 2sinde de alamamıştım her kasaya gidişinizde farklı bir ayrıntı ve farklı bir taleple izmir mağazasında tekrar üst kata gönderildiğiniz anlamsız sistemsizlikler üstüne kurulu satış sistemi içeren dükkan ilk gittiğimde izmirde başka şubeniz var mı diye soran ben çıkarken bu şube niye kapanmıyo ki diye söyleniyordum,
Kış,Öğlen,müşteri hizmetleri bugune kadar canımı yakmamış büyük çaplı teknoloji tükanları zinciri kardeşime aldığımız telefonun tuş takımındaki iki ledin diğerlerine göre az yandığı fark ettiğimizde aldıktan yarım saat sonra geri götürdük ve bekletmeden yenisi ile değiştirdileraylar önce aldığımız mp3 player bozulunca onu da aynı anda götürdük bakalım ikinci bir mutlu son yaşatacaklar mı,
İlkbahar,Sabah,cardfinansla olan meshur is ortakligi bitmis gibi gorunuyor artik bonuscard ile kampanyalar yapiyorlar,
Sonbahar,Gece,olivetti firmasinin italyada uyusturucu isine karisip yazicilaryazar kasalar icinde uyusturucu tasimaciligi yaptigi anlasildiktan sonra iflas etmesi ve vatan bilgisayarin  ya batarim ya cikarim dedikten sonra varini yogunu olivettinin elinde kalan mallara yatirmasi sonucu baslayan bir hikayebunlari topkapi hiperstore si acilmadan once incirlideki magazasinin altindaki buyukce alana yigmis sonrasinda kampanyalara baslamistir  olivetti notebook su kadar olivetti yazici su kadar diyerek boy boy ilanlar vermistir etkili olup kazanmis ve sonrasinda acer in turkiyedeki isim hakkini almistir sanirim ihlas ile birlikte aldilar ve sonrasinda vatan tek kaldi bu iste daha sonra 2000 krizi patlak verdiginde 1 milyon dolar yatirip su anda topkapida olan hiperstore nin bulundugu topragi almistir buradaki bina o zamanlar yikik dokkuk olarak mevcuttu ve tinerciler ile evsizlerin birde kopeklerin mekani olmustu icerisi bir guzel temizletilip bugunku haline getirildikten sonra acilisina bircok taninmis is adami katilmistir sebebi hasan vatan in babasindan kaynaklanan cok buyuk bir cevreye sahip olmasidir bilmemne is adamlari derneginin o donem baskani olan babasi sayesinde reklamin iyisi kotusu olmaz deyip para verip asla bir araya getiremeyeceginiz insanlari bir araya getirerek herkezin ne yapiyor bu adam manyakmi soylemleri arasinda acilisini yapmistir sonrasinda finans bank ile bir anlasmaya girip once 9 ay sonrasinda 12 ay taksitli satislara baslamistir insanlara cazip gelen pesin fiyatina taksit gibi gorunen fiyatlardir ama aslinda bu vade farki fiyatlara pesinen yansitilmistir bir bakaklin siparisi ile bir marketin siparisinin arasindaki fiyat farki gibi surumden kazanma mantigina dayali olarak bir cok insandan daha ucuza mal ettigi urunlere vade farkini pesinen koyup cazipmis gibi gostermistirgenellikle aradiginiz iyi markalari burada bulamazssiniz cunku onlarin kar marjlari cok dusuktur satis sonrasi musteri memnuniyeti yok denecek kadar azdir calisan elemanlarin buyuk bir cogunlugu alacaklari primi dusunerek bilip bilmeden yalan dolan bilgilerle musterileri kaziklamaya calismaktadirlar genellikle elde kalan satilmayan bir urunu iyi gibi gosterip isi bilmeyen insanlara satarak cok rahat bir uyku uyurlar bir pc sattiklarinda kendi elemanlari gidip kurdugu halde pc de sorun ciktiginda problemi kabullenmeyip kullanici hatasi diyecek kadar curetkar bir firmadir,
Sonbahar,Gece,tezgahtar satis temsilcisi her neyse urunu size satmaya calisan insanlarin ukalalik yaptigi ve her seferinde acilmis yada kullanilmis urunu verdikleri bilgisayar dukkanips daha once acilmis olarak aldigim aman neyse ugrasmiyim simdi diyerek adsl modemin yanmasi sonucu farkli bir marka modem aldim eve geldim ve buda acilmisti eve gelis saatim cok gec oldugu icin ancak gecenin bir yarisi farkettim bunu  ,
Kış,Gece,,
Kış,Sabah,urunleri cardfinans ile yapilan odemelerde pesin fiyatina 12 taksit ile satan firma,
Kış,Öğlen,sevemedim gitti şu firmayı bir çok defa karşı karşıya geldik,
Kış,Öğlen,uzak durulması gereken firmalardandır sattıkları birçok bilgisayar ürünü bir iki ay içinde arızalanmaktadır,
İlkbahar,Gece,sitesinde stokta var görünen  ürünü gidip de elimizde yok diyerek sizi uyuz eden ciddiyetsiz firma bakıyorum hala da stokta var diyor yahu bir de internet üzerinden satış yapmaya çalışıyorsun ta topkapıya gittiğime mi yanayım elim boş döndüğüme miciks bir mekandır kendileri ayrıca,
İlkbahar,Gece,show tv de yayınlanan silikon vadisi adlı programın çekildiği dandik bilgisayar şirketi öyle destek veriyoruz böyle destek veriyoruz yanında bir de bilgisayar öğretiyoruz diye bir iddiaları vardı yamuluyorsam düzeltin,
İlkbahar,Gece,ilk olarak bana kenarı kırılmış bir hp scanner satan değiştirmek için gittiğimde vitrindekini vermişlerdir diyebilecek kadar pişkin olan verdikleri ikinci scannerın da bozuk çıkması üzerine geri götürdüğümde ise tüm parçaları tam olmasına rağmen eksik olduğunu iddia eden bozukluğun nerde olduğunu anlamak için scannerı kurmaya çalışıp kuramayan ve benden yardım isteyen bu model bir scannerı çok mu aradığımı soracak kadar da samimi çalışanlara sahip olan bir güzel firma,
İlkbahar,Gece,asus cdrw mi 2kez tamir için götürmem sonrasında ancak 25günde tamir edip bana veren ve tüm çalışanlarının zerre kadar bilgisayar bilgisi olmadığı firma özellikle amd sistemler toplayamayan teknik servisi olduğundan amd sistemleri pek satmak istemezler lakin satış sonrası birkaç gün geçmeden işlemci yanmış şekilde müşteri tarafından tekrar bu firmaya getirilmekte bkz haklı eleştiride bulunmakgold pc bile bundan iyidir,
Kış,Akşam,şöyle bir alışveriş deneyimi yaşadığım mağaza 9961769,
Kış,Akşam,sevgililer günü için yaptığı kampanya ile beni düşündürürken güldürebilmiş firma traş makinesi ve epilatör seti için özel fiyat vermiş ne demek istiyor sevgililer gününde karşılıklı yıllık temizlik mi yapılacak anlamadım ki,
İlkbahar,Gece,müşteri memnuniyeti nedir bilmeyen ya da bilmezlikten  gelen firmaayıplı ürünü değişmesi için geri götürdüğünüzde size yeni ürün vermeleriiçin hakları olan 30 günlük iş günleri sayılacağından aslında 38 günsüreyi sonuna kadar kullanmakta bir sakınca görmezlerparçayı gönderdikleri ithalatçı firma arızayı tespit etmiş olsa bileyeni parçayı kendi stoklarından karşılayıp mağduriyetinizigidermeyi düşünmez o süre dolana kadar ithalatçıdan yenisiningelmesini beklerlerbir de müşterilerini tüketici hakları konusunda yanıltma eğilimleri vardıro da ayrı hikayebilindiği üzere vatan bilgisayar satıcı firmadırfirmamız yetkili teknik servis imalatçı veya ithalatçı değildir4077 sayılı ilgili kanun 15 madde bakım ve onarım hizmetlerindeimalatçı veya ithalatçıları görevlendirmiştirbu durumda müşterimiz garanti belgesinde belirtilen garantiveren firma ile de bağlantı kurabiliroysa satıcı firma da ithalatçısı gibi üründen sorumludur müteselsilenbiz satış akdini yani faturayı satıcı ile yaptığımız için muhatabımızınsatıcı olması son derece normaldir müşteri bu metnin sonundakide ekine dikkat etmezse onarım ya da değişim için vatan bilgisayarabaşvurmakla kendisinin hata ettiğini adamlara haksızlık ettiğinisanacaktır,
İlkbahar,Akşam,daha önce laptop almaya teşebbüs eden kardeşimi düdüklemeye çalışan kampanyalı ürünü kampanyası dün bitti ayağına yüksek fiyattan satmaya çalışarak  bugün de bu olaydan ders almayarak oradan telefon alma gafletine düşen beni kazıklamış firmadıruzunca bi süre araştırıp sonunda aa fiyatı burda daha uygunmuş diyerek gidip alınan telefonun içinden standart olarak sunulan hafıza kartı çıkmayınca verdikleri cevap da biz 1 haftadır vermiyoruz o kartı artık yok diyebilen bi firma e ama kangurumda vaaartelefonu yarım saatlik bi toplantı arasında bi koşu alıp gelen cevval tüketicinin tongaya bastığı an bi kerede karışmasın acele işe şu şeytan diyorum ama kime diyoruuumtaksiye binip trafiğe daldığımda farkettim hafıza kartının olmadığını müşteri ilişkileri ile de şöyle bi diyalog yaşadıkbu telefondan hafıza kartı çıkmıyo mukontrol etmem lazım bazılarından çıkmıyo bu modeldenasıl yanikontrol ederyok artık bi süre vermiyoruzo zaman geri vericemsim kart taktınız mımağazada taktılarsimkart takılanları geri almıyoruzya sizin elemanınız taktıalmıyoruz hafta arası şu numarayı arayınneymiş vatan bizim için ölmüşha bi de evet ya bu hikayedeki mal benim,
İlkbahar,Akşam,vatan bilgisayardan mal alıp canı yanmayan neredeyse yok sanıyoruma jabra kulaklık aldım bir hafta yedi gün sonra şarj tutmamaya başladı bende bunlar nasıl olsa beni distrübütöre yönlendirecek diye kalktım tesana gittim adam kutunun üzerine baktı ya bu alet servis görmüş üzerinde bizim servis kodlarından var dedi ben delirdim tabi direkt açtı istanbul servise sordu ben izmirdeyim servis çatır çatır seri numarasını vs verdi herşey tutuyo derdi de şarj tutmamasıymış gittim vatana böyle böyle dedim olmaz beyfendi biz servisten gelmiş hiç bir malı satmıyoruz falan dedi bi yarım saat uğraştıktan sonra değiştirdiler sıfırı ile ama terbiyesizler kutuyu sana vermiyo sende bakamıyorsun tabi içeriğine kasaya teslim ediyorlar kasadan alıyorsun vatandan aldım bir tane eve geldim baktım hiç tane durumu söz konusu içinden şarj aleti vs çıkmadı ve bu da şarj tutmuyor apar topar geri döndüm ulem dedim nedir bu gitmişsiniz bu seferde eksik ürün verdiniz falan yok olmaz diyorlar bi yandan ama ben deli gibi bağırıyorum bu arada müşteri hizmetleri mağazanın içinde değil kimse bağırtıları duymasın diye çağırdılar servis şefini şefte anlatıyo işte ya olmaz öyle şey mutlaka kontrol ediyoruz falan özür diliyo bi yandan dediler bi hata olmuştur çağırın bakalım tezgahtaki arkadaşı dediler tezgahtar geldi ve direkt cevap ya ahmet beyden iade olan kutuyu vermişiz yanlışlıkla şef koşarak uzaklaştı tabi ürünü de iade ettim tabi doğal olarakb arkadaşın evinde wifi olmadığı için ve sıkça otelde falan kullanmak gerektiği için vatan bilgisayardan ne yazık ki linksys compact router dikkat modem değil alınır arkadaşa varılır fişe takılır wifi yayınlar içerisinde linksys aranırken kanarya diye bi wifiye rastlanır olm alt katta mı var wifi onu niye kullanmıyorsun falan diye konuşurken routerı konfigüre etmek için udp kablo takılır falan bir de bakılır ki 0 olarak satın aldığınızı düşündüğünüz routerdan geliyor o wifi ssidsi biraz daha dikkatli bakıyorum başkasının adsl kullanıcı adı şifresi var alette apar topar vatana gidilir ulem bi kere yaptınız bu ne yaaa diye bağrınılır yarım saat beni ayakta diktikten sonra yenisi ile değiştirilir ama akıllandım bu sefer jelatini açılmamış bi tane aldımc usb disk kutusu alınacaktır vatana gidilir iki adet rica edeyim denilir alınan kutular o kadar kazık yedikten sonra elemanlarının gözü önünde açılır bir tanesinin içinde sadece kutu ve kablo vardır diğerinde kutu karton yer tutucu kablo ve kullanım klavuzu bulunmaktadır elemana yüksek sesle ne utanmaz adamlarsınız nasıl bana kullanılmış malı satmaya kalkarsınız diye çemkirdikten sonra kalsın istemiyorum malınızı diyerek vatandan bir daha girmemeye yemin edilerek uzaklaşılırmavi bilgisayardan memnundum ben yaa kargo falan bekliyordum ama eninde sonunda mal sağlam olarak geliyordu nerden çıktı bu vatan izmir anasını satayımparasıyla rezil olmak isteyenlere kesin tavsiyemdir fiyatlarının ucuz olduğuna da aldanmayınız özellikle lcd  plazma tvlerde fiyat farkı yüksek diğer mağazalara göre ama diğer mağazalardaki ürünlerin model kodlarını mutlaka karşılaştırın ya bir özelliği eksiktir ya da bambaşka bir modeldir,
Yaz,Öğlen,artik caydanlik da satmaya baslayan sirket,
Yaz,Gece,teknik servisinin kalabalıklığını görünce koşarak uzaklaşmayı düşündüğüm ama taksitlere kanıp alışveriş yaptığım firma çok ilginç bir callcenter sistemleri var dün akşam saat 2000 da telefon açtığımda bana 10002200 arasında çalıştıklarını mesai saatleri içinde aramam gerektiğini belirten bir ses kaydı dinlettiler umarım pişman olmam ekran kartım elimde patlamaz,
Yaz,Öğlen,bir ürünü nakit parayla ya da hangisi olduğu önemli olmadan kredi kartıyl tek çekim alırsanız x lira verirsinizancak cardfinans ile 12 taksit alırsanız 8 indirimle alırsınızcardfinans ile tek çekim almanız da fark etmiyor yani hayatımda böyle bir saçmalık görmedim illa 12 taksit alınması gerekiyor ürünün,
Yaz,Sabah,cardfinansa 12 taksit artı 8 indirim uygulaması ile ankarada uygun fiyatlı bir alternatif olmuştur fakat sözlükte ve daha bir çok yerde yazılan yığınlarla şikayet varken ve bu taksitindirim uygulaması ile bile gigatekin fiyatlarının altına inemiyorken müşteri memnuniyeti konusunda türkiye standartlarına göre çığır açmış bir firma olan gigateke yönelmek lazımdır,
Sonbahar,Gece,sadece bugüne özel bütün ürünlerde card finansı olanlara 25 kuruluş yılından dolayı yüzde 25 indirim yapacak firma hiçbir zaman tasvip etmediğim bir firmadır ama laptop alacakların da yarınki büyük indirimini sömürmesi gereken kuruluştur ayrıca dün de yanılmıyorsam sortiede 25 yılını kutlamış firma,
İlkbahar,Akşam,iki kere bozuk mal alıp ertesi gün değiştirdiğim firmadır ama müşteri temsilcileri hakkaten ömür tüketen cinsten bir firma aynı zamanda,
Yaz,Öğlen,bu kadar kaba insani nasil bir araya toplamayi basarmislar dedirtecek kadar basarili firma almak istedigim external hard diskin firewire girislisinin uretilmemis oldugunu israrla savunan bakin hepsiburadacomda satiliyor demek ki sizde yok dediginiz zaman bile hayir yok uretilmedi oyle bi sey diyebilen tuhaf saticilar var allah akil fikir versin,
Yaz,Öğlen,200 gb external hdd istemem üzerine bana 200 gb internal hdd yollamis bu duruma tepki göstermeme ise markası gb ı her şeysi aynı diyerek bu kadar sinirlenmeme bir anlam verememiş insanların çalıştığı firmadır bu üstüne üstük ellerinde external kalmadığı için internal yolladıklarını belirtmiş external ve internal arasındaki fiyat farkıyla rahat rahat bir hard disk kutusu alabileceğimi de eklemişlerdirbkz hay aklınla bin yaşa,
Sonbahar,Öğlen,kesinlikle yanına bile yaklaşılmaması gereken alışveriş sitesiöncelikle aynı fiyatlara aynı ürünleri başka yerlerden de bulmak mümkündüryani maddi açıdan avantaj sağlamazikinci olarakweb sitelerinde kendilerini övmekten başka hiçbir ibare göremezsinizöyle kargolarınız şöyle teslim edilirşu kadar sürede gelir gibi açıklamalar yoktur ki önemlidirüçüncü olarakmüşteri temsilcilerine ulaşmanız imkansızdırşu anda bekleyen müşterilerimiz arasında xx sıradasınız der ama o sıra hiç düşmez ve onlarca dakika telefonda beklediginizle kalırsınızdördüncü olaraksorularım kısmından siz bir soru sorsanız bile cevabını oyle hemen beklemeyinbeklemek yanlış olursize ulaşmaya çalışmayacaklardırweb sitelerinde kendilerini övmekten başka sadece ürün sergileyen bir firmadır burası,
Sonbahar,Öğlen,2 adet wireless mouse biraktim biri icin ayni gun ikincisi icin de birkac gun sonra hazir diye aradilar her 2 telefon konusmasinda da tamir edildi mi yani su anda calisiyor mu seklinde sordugumda evet yaptik saglam dedilerbugun almaya gittigimde ortaya cikti ki bir tanesi kullanici hatasi diye geri donmus digerini zaten hic gondermemisler denediklerinde calisiyormus ben almaya gittigimde denedik calismadi ben zaten bir calisiyor bir calismiyor sikayetiyle birakmistim bi de mouseu denedigimizde calismamasi karsisinda cok sasiran teknik elemanlar kesinlikle rechargable pille denenmesi gerektiginde israr ettiler sanki mouse cok enerji harcayan ve boyle pillerle kullanilmasi gereken bir aletmis gibi bunu soyledim ama ikna edemedim ve magazada kullanabilecekleri rechargable pil bulmalari yarim saat aldisonunda bir kez daha bir suru zaman kaybederek ve vatan bilgisayarin hicbir isi halledememis oldugunu gorerek oradan ayrildim,
Sonbahar,Öğlen,el degistirdikten sonra 1 milyar otesinde alisveris yapmayacaginizi anladiklari anda size pas vermeyen bilgisayarcimsi eski musteriymissiniz laptopunuzu desktopunuzu oradan almissiniz umurlarinda degil artik,
Kış,Gece,bazi personellerinin 10 yil boyunca insan iliskileri konusunda egitilmesi gereken firmaaldigim western digital marka external harddiski bilgisayarima tanitamayip aldiktan maksimum iki saat sonra geri goturdumurunu aldigim departmandan bir arkadasa durumu izah ettim  pekalabakalim  dedikten sonra aletin kutusunu hoyratca acmaya basladibu durumu gorunce kendisini alete iyi davrano benim malim ve uzerinde tek cizik istemem dedimbu dedigimi duymamis olacak ki alete karsi hoyrat tavirlar sergilemeye devam ettiben de bu durumun devam etmesi uzerine alete biraz daha nazik davranmasi gerektigini tekrarladimancakhic orali olmadineyse aleti denedi ve aletin calisir durumda ancak bicimlendirilmemis oldugunu soyledieyvallah dedimaleti alip eve gitmek uzere tekrar kutusuna koyarken baktim ki aletin uzerinde lekelertozlar parmak izleri almis basini gidiyor bu cihaza iyi davranman gerektigini soylemistim ama uzerindeki lekelere bakilirsa bu soylediklerim pek dikkate alinmamis  dedim onlar sorun degil sileriz dedi ben detesekkur ederim iyi olur diyerek silmelerini istedimyaninda bulunan baska bir personele al bu aleti temizle dedibu personel ise eline almis oldugu sıradan bir bezle urunu silmeye basladialet silindikten sonra uzerinde yuzlerce dairesel cizik olustubunun uzerine bu aleti ciziksiz getirdigimi ve simdi cizik bir urun oldugunubu konuda cok hassas oldugumu ve bu sekilde bir alet kullanamayacagimi soyleyince  sizin cizmediginizi nerden bileyim diyerek olayi iyice gerginlestirmeye basladibu dakikadan sonra size yardimci olmayacagim diyerek akli sira olayi cozmeye calistibeni musteri hizmetlerine yonlendirdimusteri hizmetlerinde urunu degistirmek istedigimi soyleyince bana su muhtesem cevabi verdiler biz bu urunu degistiremeyizcunku bu cizilmisbenim kayislar koptugu icin bu kisimda olanlari tahmin edersinizdisariya tasan tartismamiza tesadufen kulak misafiri olan beyefendinin idari isler muduru olmasi ve benimle tartisan sefe cozulemeyecek sorun olmadigini soyleyerek saticilik dersi vermesi ise olayin en guzel yaniydio beyefendi sayesinde urunu ayni markamodel olmak kaydiyla degistirebildikha eve geldim o urunu de tanitamadim bilgisayarabakalim yarin neler bekliyor bizi,
