"complaint-layer","js-tooltip","js-view-count","complaint-description","ellipsis-text"
"Ülker 8 Kek'te Böcek Sorunu","05 Ağustos 18:38","16","Ülker 8 Kek, bu nasıl olabilir? Paketi açar açmaz içinden böcek çıktı. Bunu biri açıklayabilir mi? İkinci kez yaşıyorum bu durumu.",""
"Ülker Çikolatadan Böcek Yumurtası Çıktı","05 Ağustos 01:20","42","Yaklaşık 2 hafta önce aldığım Ülker çikolata kapalı vaziyette duruyordu. Ben almasam rafta zaten bekliyor bunlar değişen bir şey yok. Bugün yemek için açtığımda bu manzara ile karşılaştım. Son tüketim tarihi hâlâ devam ediyor üstelik. Ben bunu eğer görmeden direk çocuklarıma verseydim ne olacaktı. B","..."
"","04 Ağustos 23:05","-","",""
"Ülker Napoliten Bozuk Çıktı","04 Ağustos 22:16","42","Napoliten çikolata'yi daha yeni aldım ve hepsi bozuk çıktı. İyi olarak düşünüyoruz ve çocuklarımıza veriyoruz. Eğer dikkat etmeseydik çocuk bu şekilde yiyecekti Bu şekilde devam ederse çok fazla müşteri kaybeder... Lütfen dikkat edilsin Artık alırken korkarak alıyoruz.",""
"Ülker Magma Dankek Paketteki Kod","04 Ağustos 20:33","31","Ülker'e ait olan Dankek magma 65 gr ürününden birkaç tane satın aldım ve içinde kod olduğunu fark ettim. Bu yüzden hem Play Store hem de internet sayfaları üzerinden bakmama rağmen bu tarz kampanya düzenlediklerini görmedim. Ancak daha sonra sayfanın biraz daha altındaki 'benikazan' adlı sitede böy","..."
"Ülker Çubuk Kraker Şikayetim","04 Ağustos 15:21","42","",""
"Ülker Napoliten Çikolata Kurtlu Çıktı","04 Ağustos 14:08","163","Ülker Napoliten 33gr 8 li mini çikolata aldık ve kurtlanmıştı. Yiyemedik midemiz bulandı, bu nasıl bir ürün muhafaza etmek, böyle ürünleri nasıl satabiliyorsunuz? İnsan sağlığını bu kadar önemsiz değil. Ürünün fişi yok, lütfen satarken daha dikkatli ve içinde neler olabileceğine dikkat ediniz.",""
"Ülker Halley İn İçinden Kelebek Yuvası Çıktı","04 Ağustos 02:15","129","Marketten aldığımız Halley çikolata kaplamalı sandviç bisküvi paketinin içinden kelebek uçarak çıktı ve pis bir görüntüyle karşılaştık. Bu ürünler nerede ve nasıl yapılıyor, midem bulandı. Yazıklar olsun Ülker firmasına. Görsel ekliyoruz, umarım ilgilenirsiniz.",""
"Ülker Çokomel Paketlerindeki Harflerin Gereksizliği","04 Ağustos 02:03","147","Ülker Çokomel kutularından çıkan ürünlerde ki harf dağılımları hiç orantılı değil. Madem böyle bir ürün ambalaj politikanız var bari harfleri orantılı bir şekilde paketleyin. Çıkan harfler ile çocuğumla bir etkinlik yapalım dedik, oğlumun adı A**, adını bile yazamadık. 35'li pakete hep aynı harfler","..."
"Ülker 8 Li Bisküvi Paketleri Eksik","04 Ağustos 00:40","129","Gün içerisinde marketten aldığım 8'li Ülker paket kremalı bisküvinin içinden sadece 3 paketten 9'sar adet kalan diğer 5 paketin içindende 8'şer adet çıktı şimdi bu bir şans mi? İşaret mi? Bilemedim eksik ise geri kalanı nerede fazlaysa diğerlerine neden koymadınız?",""
"Ülker Hanımeller Paket Resmi Ve Ürün İçeriği İlgisiz Malzemeden Kısma","03 Ağustos 20:56","118","Ülker susamlı çörek otlu Hanımeller bisküvi almıştım. Ürün paketinin içindeki bisküvilerde ne çörek otu ne susam bir tane bile olmaz mı? Ama ürünün paketinin üzerindeki resme bakarsanız hiç de öyle değil. Tamamen susam, tamamen çörek otu. Resimdeki ürünle paketin içindeki ürün alakasız. Maalesef ülk","..."
"Ülker Kremalı Bisküvi'den Plastik Çıktı","03 Ağustos 20:50","124","Çoklu paket olarak aldığımız Ülker Kremalı sandviç bisküvi içinden tanımlayamadığımız plastik çıktı. Eşim ısırdığı anda tesadüfen fark ettik. Fark etmeden yuttuğumuz küçük parçaların da olabileceği ihmali bizi çok endişelendirdi. Kalite kontrol sisteminizin bu hatayı fark etmemiş olması çok endişe v","..."
"Ülker Kekstra Jölebol Mini Krema Dolgusuz","03 Ağustos 19:40","129","2 Ağustosta marketten almış olduğumuz 510gr Ülker kekstra jölebol mini çilekli keklerin içerisinde normalde olması gereken kremasının olmadığını gördük. Sadece bir tesadüf olabilir diyerek birkaç tane daha yedik. Ancak her açtığımız paket, krema dolgusuz olarak çıktı. Çok severek yediğimiz kekte böy","..."
"Ülker Dışı İle İçi Farklı Yanıltıcı Ürün","03 Ağustos 18:44","94","Merhabalar, marketten aldığım Ülker peynirli kraker Çizi 4'lü paketi açtım ve peynirli değil de sade çıktı. Bu ürünle ilgili bayağı şikayet var, sanırım aynısını ben de yaşadım. Ürünün görselinde ve açıklamasında 4'lü peynirli yazıyor, içinden 4'lü sade kraker çıkıyor.",""
"Ülker Olala Tiramisu Kötü Tat","03 Ağustos 15:45","206","03.08.2024 tarihinde Cepte Şok uygulamasından eşim eve sipariş verdi ve içinde Ülker Olala tiramisu dolgulu kek de vardı. Açtım, bir ısırık aldım ve aldığım gibi tükürdüm. Tadını anlatamayacağım kadar kötüydü. Tahmini tüketim tarihi 13.08.2024 ama artık sıcakta mı beklemiş, paket açık mı kalmış bilm","..."
"Ülker Laviva Bozuk Çikolatası","03 Ağustos 14:23","150","Çikolataya bak ya! Biz bu Ülker'den bir çikolata yiyemeyecek miyiz! Yeter. Bu ilk böyle buluşum da değil. Kaç kere görmüşümdür böyle. Ülker harbi diyorum yeter şu çikolatalarınızı kaliteli yapın artık ürkecek bıktık ya şimdi bunu görmeden benim 6 yaşındaki kardeşim yese ne olacak. Fark etmeyecek bil","..."
"Ülker Hanımeller Kimyasal Kokusu","03 Ağustos 02:19","153","02.08.2024 günü Akyar Market Etimesgut İstasyon'dan almış olduğum Hanımeller Asorti Kurabiye aşırı miktarda margarin ve kimyasal kokusundan ve tadından dolayı yenilemez haldeydi. İlk defa böyle bir şey ile karşılaştım. Hanımeller bisküviyi yeğenim için almıştım. Yiyemedik, çöp oldu. İçine ne katıyor","..."
"Ülker Kıl Çıkması Üründe","02 Ağustos 22:56","154","Bisküvinizde kıl çıktı, gerçekten hiç beklemezdim. Midemiz ağzımıza geldi. Fotoğrafını çektim, bu kadar mı hijyensiz bir ortamda yapılıyor? Çocuğuma yediriyordum, olur mu böyle şey? Ya resmen içinden yapışmış, ya! Hayatta bir daha almam. Düzgün bakarsanız görürsünüz.",""
"Ülker Paketin İçinde Yenmiş Çokoprens","02 Ağustos 22:08","151","Marketten kapalı şekilde aldığımız Ülker ÇokoPrens içinde fare yeniği gibi eksik parçalı bisküviler çıktı. Ülker'e yakıştıramadım. Ambalajda patlak ya da başka bir delik yok, paketlenmeden önce oluştuğu muhtemel. Çocuklara yedirmemek lazım, kontrollü olun lütfen.",""
"Ülker Bisküvi Paketinde Beklenmedik Yabancı Madde","02 Ağustos 18:11","150","Ülker Probis bisküvinin içinden demir parçası çıktı, çocuğun ağzından aldık. Böyle bir sorumsuzluk olamaz. Çocuğun boğazında da kalabilirdi. Devamlı Ülker'in ürünleri ile sorun yaşıyoruz. Biraz dikkat edilmeli. Fişi attığım için fişin resmi yok, Şok Market'ten almıştım.",""
"Ülker Laviva Çikolata Mağduriyetim!","02 Ağustos 16:22","129","Aldığım laviva çikolatanın görünüşü epey garip. Uzun zamandır severek tüketirim ama ilk kez böyle olduğunu gördüm. Tarihi geçmemişti ve anormal bir ambalajı yoktu. Tadı ise çikolata gibi değildi, tatsızdı. Direkt çöpe atmak zorunda kaldım. Bu talihsiz durumun fotoğrafları ektedir. Dönüşünüzü bekleme","..."
"Ülker Kekstra Mini 510 Gr Koli Kremasız Ürün/Görsel -İçerik Uyuşmaması","02 Ağustos 15:49","214","",""
"Ülker Napoliten Çikolata Yenemeyecek Halde!","02 Ağustos 14:57","157","",""
"Ülker Çikolatalar Kurtlanmış Şekilde Çıktı!","02 Ağustos 14:26","127","",""
"Ülker Napoliten Sütlü Çikolata","02 Ağustos 10:23","198","A101'den almış olduğum Ülker Napoliten çikolatanın tarihi geçmiş olmamasına rağmen tadında ve görüntüsünde garip bir değişiklik var. Nedeni nedir bu durumun anlayamadım. Yani tarihi geçmemiş bir ürün ama görüntü ve tat o şekilde olmadığını gösteriyor. Devamlı aldığımız çikolata, ilk defa böyle bir d","..."
"Ülker Olala Sufle Tadının Bu Denli Kötü Olması","02 Ağustos 04:17","155","Ülker Olala Sufle devamlı aldığım beğendiğim bir kekti. Ancak bugün yediğimizde tadı aşiri kötüydü. Kekin içerisinden sert sert bir şeyler, cisimler çıktı. Bir kez de değil ayrıca... Bu kez çok özensiz hazırlanmış gibiydi. Midemi çok bulandırdı... Şaşırttı sevdiğim bir kekti...",""
"Ülker İkram Bisküvinin İçinden Kurt Çıktı","02 Ağustos 03:45","161","Ülker İkram bisküviyi uzun zamandır yiyorum fakat son zamanlarda aldığım ürünlerin üçünden ikisinde kurt çıkıyor. Daha önce de çıktı ve şu an tekrarlanıyor. Artık Ülker ürünlerini kontrol etmeden yiyemiyorum, bütün iştahım kaçıyor. Lütfen bu sorunu çözünüz.",""
"Ülker Napoliten Çikolatanın Görüntüsünün Bu Şekilde Olması Normal Mi","01 Ağustos 21:55","153","",""
"Ülker Bayat Ürün Satışı Ve Mağduriyet Talebi","01 Ağustos 20:27","179","Arden Kasımpaşa şubesinden aldığım Ülker sütlü çikolata bayat olarak satılıp insanların kandırılması sağlanıyor. Durumun ve mağduriyetimin giderilmesini talep ediyorum. Aksi halde Tüketici Hakları'na gideceğim. İnsanlar para verip alıyorlar. Burada elbette ürünün denetimini yapmayan Ülker ailesi ve","..."
"Eksik Paketli Ülker Pötibör Bisküvi: Tüketiciyi Yanıltan Paketleme","01 Ağustos 20:04","1.093","Daha önce hangi marketten aldığımı bilmediğim Ülker marka pötibör bisküvinin bugün kullanmak için açtığımızda kızım tarafından paket üzerinde 5 adet yazdığını, ancak paketin içerisinde 4 adet paketli pötibör bisküvinin olduğunu fark ettim. Paket üzerinde 5 paket 200 gram X 5 = 1000 gram yazmasına ra","..."
"Ülker Altınbaşak Grisini Küf Problemi","01 Ağustos 17:07","118","Ülker Altınbaşak grisini içerisinden küflü yapıda bir adet grisini çıktı. Yanık kokusu gibi bir kokusu var. Son tüketim tarihi 2025 olduğu için bu durum olmaması gerekiyor. Görselleri ekliyorum. Konu hakkında detaylı inceleme yapılmasını talep ederim.",""
"Ülker Kekstra Kıl Çıktı","01 Ağustos 15:38","172","01.08.2024 tarihinde satın aldığım Ülker Kekstra paketini açtığımda kıl çıktı. Müşteri hizmetleriyle iletişime geçemiyorum. Instagram üzerinden yazdım, cevap alamadım. 10'lu Kekstra mini paketi aldım, ilk açtığımdan kıl çıktı. Söylediğim gibi yardımcı olunursa sevinirim.",""
"Ülker Rulokat Bayat Ürün","01 Ağustos 15:07","85","Carrefour SA marketten geçen hafta Ülker rulokat aldım. Paket hiç açılmadı bugün paketi açtım SKT'si 29.04.2025 olan rulokat o kadar bayattı ki paket yenecek durumda değildi. Ülker kalitesine bu asla yakışmadı. Severek tükettiğim ürüne artık elim gitmeyecek",""
"Ülker Dankek'ten Plastik Tadı Geliyor","01 Ağustos 13:59","102","Ülker'in ürettiği Dankek mousse çikolatalı kekten yoğun bir plastik tadı gelmektedir. Kekin son kullanma tarihi geçmemiştir. Plastik tadının bu kadar gelmesi normal değildir. Bu keki yiyen bir sürü insan var, sağlıklı olduğunu düşünmüyorum. Böyle bir sorumsuzluğu böyle büyük bir şirketten beklemezdi","..."
"Ülker Dankek Mousse Plastik Tadı Geliyor","01 Ağustos 13:58","157","Ülker Dankek mousse çikolatalı kek aldım, içinden plastik tadı geliyor ve sağlığımızla oynandığını düşünüyorum. Yani bu nasıl bir plastik tadı gelebilir ki, ne kattınız ki bunun için bu kadar plastik tadı geliyor? İncelenmesini rica ediyorum. Piyasada çocuklarımıza aldığımız bu ürün nasıl bu şekilde","..."
"Ülker Plasiyer Alışveriş Eksikliği","01 Ağustos 12:27","174","6 aydır dükkanımıza giriş yapmadı. Diğer bütün noktalara gayet iyi hizmet yapmakta. Bundan hiçbir şekilde haberimiz yok, uyarılmadık. Sistemden giriş yapmamız gerekiyor diyerek satışımızı kapatmış. İş yerinde depremden dolayı annem ve babama bakmaktayım. Bugün bütün gün açmadım ve maalesef çalışamad","..."
"Ülker'e Şikayet Talebi","01 Ağustos 10:07","175","Çok kaliteli ürünleri var, çok da severek tüketiyoruz ama şu aralar bozdu mu bilemiyorum. Kırmızı paket olanlardan almıştım, hepsi bozuk çıktı; bir yeri çikolata, diğer tarafı beyazlı gibi bayattı. Daha sonra da Antepli almıştım, onun da sarı folyoları çikolatanın içinden çıktı. Çikolatayla birlikte","..."
"Ülker Sütlü Napoliten Çikolata Bozuk","01 Ağustos 09:03","159","",""
"","31 Temmuz 23:14","80","",""
"Ülker Çikolatamın Durumu Ve Şikayetim!","31 Temmuz 21:25","60","LGS'ye hazırlanan bir öğrenciyim. Testlerimi çözüp heyecanla Laviva çikolatamı yemek için buzdolabına gittim ve heyecanla çikolatayı açtım. Sonuç hüsran. Hayallerim yıkıldı.",""
"Ülker İn Ürünleri Yenecek Gibi Değil","31 Temmuz 20:17","81","31.07.2024 tarihinde Ülker in 135g badem kraker (süt mısır tadında) ürününü satın aldım. Ürünün paketini açtığımızda kötü bir koku geldi. Yiyelim dedik ama yenecek gibi değildi. Ülker böyle çok kötü ürünü neden üretir ve piyasaya sunar. Hayvanların önüne atsak hayvanlar yemez. Parti no:19.01.2025/K1","..."
"Ülker Çiziviç İç Dolgusu Eksik","31 Temmuz 18:46","56","Çiziviç olarak almış olduğum Ülker marka bisküvinin bir tanesi ara dolgusu olmadan çıkmış bulunuyor. Ülker gibi kurumsal bir firmaya bu davranışı yakıştıramadım. Güvenerek alışveriş yapmış olduğumuz tek Türk firma Ülker de bu şekilde tutum sergilememeli.",""
"Ülker Çikolatasından Kıl Çıktı","31 Temmuz 15:25","100","Ülker'in yeni çıkan geleneksel Türk tatlıları serisinden şöbiyet çikolatasını aldım içerisinden kıl çıktı. Bu ürünü bayılarak yerdim ama gerçekten midem bulandı. İlk defa böyle bir şeyle karşılaşıyorum. Lütfen Hatanın telafisi edilmesini talep ediyorum.",""
"Ülker Çizinin İçindeki Ambalaj Materyali","31 Temmuz 15:02","130","Eşimle severek yediğimiz çizi ürünün içinden ürüne yapışmış ambalaj çıktı, üretim sürecinizde plastik materyallerin ne işi var? Artık nasıl tüketebiliriz biz bu ürünü? Zararımızın tazmin edilmesini bekliyoruz sizlere mail attık ama dönüş sağlamadınız, ilgili yerlere konuyu intikal ettirmeden önce bi","..."
"Ülker Çikolatalarımın Hepsi Bozuk Çıktı, Hala Şikayetimle İlgilenmedi","31 Temmuz 12:19","3.960","Ülker Instagram sayfasından şikayetimi iletmeme rağmen hala dönüş sağlanmadı. Oradan yazdığımı buraya da yazıyorum. Merhaba Ülker Yetkilileri, Ben daimi müşteriniz olarak size çikolata ürünlerinizle ilgili bir şikayetimi iletmek istiyorum. Yakın zamanda Migros’tan satın aldığım çikolataların maa","..."
"Ülker Bozuk Ürün Çıktı","31 Temmuz 00:25","170","Merhaba, Ülker sütlü çikolata aldık. Bozuk çıktı, üstü bembeyazdı, anlayamadık. Oğlum 5 yaşında, çok severek tüketirdi ama yiyemedi. Lütfen bir daha böyle olmasın. Ülker markasını severiz, böyle durumlarda çok üzülürüz. İlgilenirseniz seviniriz. Teşekkür ederim, Ülker kalitesi.",""
"Ülker Yanıltıcı Yazi Yanıltıcı Tad","30 Temmuz 18:11","52","Ülker Hanımeller tuzlu kurabiye aldım pakette fakat tuzlu ile alakası yok, tatlı gibi tadı. Pastanelerde satılan tuzlu kurabiyeye asla benzemiyor. Tadını beğenmedim. Normalde dışarıdan alıp yemem ama markette görünce paketi canım çekti ve beğenmedim.",""
"Ülker Çikolata Markası Hayal Kırıklığı","30 Temmuz 16:31","101","30.07.24 Tarihinde aldığım Ülker çikolata bozuk çıktı, üzerinde resmen küfler oluşmaya başlamış üstelik dolaptan almama rağmen, Tam bir hayal kırıklığı, Çok severek güvenerek beğenerek aldığım bu ürünü artık sağlığım açısından tüketmeyeceğim. Başka markaları deneyip önereceğim",""
"Ülker Ülke Marka Çikolatadan Onlarca Kurt Çıktı","30 Temmuz 14:21","111","Merhaba, 29.07.2024 tarihinde Ankara Yenimahalle Demetevler Metrosu çıkışı Market'ten aldığım Ülker marka kare fındıklı çikolatanın içinden onlarca kurt çıktı. Bu durum Ülker firmasına yakışmadı. Üç yaşındaki çocuğum paketi yanında ben olmadan açsa ve yese, bunun hesabını kim nasıl verecekti?",""
"Ülker Çikolata Rengi Farklı","30 Temmuz 12:50","89","Aldığımız çikolatanın renginde beyazlık var kaliteli bir marka olan Ülker tercih ettiğimiz bir markadır. Açıkçası böyle bir markanın çikolatasının böyle çıkması yakıştıramadık. Üstündeki beyazlık hepsinde çıktı acaba kullanma tarihimi geçti bilmiyoruz.",""
"Ülker Bisküviden Kurt Çıktı Rezil. Lik...","30 Temmuz 12:00","92","Yeni aldığım bisküvi paketinden açtığımda kurt çıktı. Ülker'e mesaj olarak ilettim sonrasında beni ertesi gün aradılar duruyorsa incelemeye alacağız dediler. Bende bunlara inanarak sakladım evimde ufak çocuğum olmasına rağmen yani biri alıp bunu yiyebilir. 2 gün geçtikten sonra aradım gelen giden ol","..."
"Ülker Avantajlı Paket Altında Avantajsız Kutu!","30 Temmuz 11:40","85","Büyük avantajlı Çokokrem paketi aldık. Yarısı yok, büyük yanıltmaca. İçinden 500 gr çıktı, bu ne sorumsuzluk. İnsanları böyle yanıltmazsınız Ülker. Madem içine 500 gr koyacaksınız, neden büyük boy avantajlı paket adı altında ürün çıkarıyorsunuz? İnsanlar ambalaja para versin diye mi?",""
"Sözde ""Ülker Kremalı İkram Bisküvi ""","30 Temmuz 11:37","74","Yıllardır tükettiğim Ülker kremalı ikram bisküvinin o eski halinden eser yok şimdi. Ürün eskisi kadar lezzetli ve kaliteli değil. Bir parça krema sürmüşler bisküviler yapışmamış bile. Bir pakette böyledir diye düşünüp 3lü bir paket daha aldım hepsi aynı. Verilen paraya yazık!",""
"Ülker Dankek Mousse Zehir Gibi Tadı","30 Temmuz 05:18","90","Ürünün SKT 12.2024 olmasına rağmen tadı zehir gibi ve kimyasal kokuyor. 2 taneyi yiyemeden çöpe attım. İnsan sağlığını tehlikeye atıyorlar resmen. Sanki içine kimyasal bir madde koyulmuş gibi. Böyle iyi bir markadan bunu beklemezdim. İnşallah zehirlenmem.",""
"Ülker Hanımeller Frambuazlı Kurabiye","30 Temmuz 00:52","64","Kütahya'da bir marketten aldığım Hanımeller frambuazlı kurabiyeden, yapışmış bir şekilde çürük veya yanık gibi bir cisim çıktı. Dikkat edilmesini istiyorum.",""
