"complaint-layer","complaint-layer href","username","js-tooltip","js-view-count","complaint-description","sv-model-button","sv-model-button href","ellipsis-text","large-view src","large-view src 2"
"TurkNet Hatalı Ve Eksik Bilgi Vererek Maddi Zarara Yol Açtı","https://www.sikayetvar.com/turknet/turknet-hatali-ve-eksik-bilgi-vererek-maddi-zarara-yol-acti","Utku","15 Haziran 00:16","169","TurkNet 15.04.2024 tarihinde yaşadığım binaya bir kutu kurdu. Kutunun üzerinde ""Bu binada 1.000 Mbps hızında internet var"" yazıyor ve bir de telefon numarası var. Bu kutuyu gördüğümde hemen turk.net sitesinden altyapı sorguladım ama adresimde 75 Mbps VDSL internete uygun altyapı olduğu yazıyordu. Ba","#Gigafiber","https://www.sikayetvar.com/turknet/gigafiber","...","https://files.sikayetvar.com/complaint/2908/29087519/turknet-hatali-ve-eksik-bilgi-vererek-maddi-zarara-yol-acti-2_350x350.jpg","https://files.sikayetvar.com/complaint/2908/29087519/turknet-hatali-ve-eksik-bilgi-vererek-maddi-zarara-yol-acti-1_350x350.jpg"
"TurkNet İnternet Sorunu Bağlantı","https://www.sikayetvar.com/turknet/turknet-internet-sorunu-baglanti","Cüneyt","15 Haziran 00:02","158","TurkNet'e abone olalı dört veya beş gün oldu ve bir türlü internet kullanamıyorum. Hız konusunda verilen bilgiler yanıltıcı. Keşke hiç abone olmasaydım, yazık oldu parama. Kullanamadığım internetin parasını peşin alıyorlar, bilginiz olsun.","#İnternet Kesintisi","https://www.sikayetvar.com/turknet/internet-kesintisi","","",""
"TurkNet 35 Gündür İnternet Yok","https://www.sikayetvar.com/turknet/turknet-35-gundur-internet-yok","Mehmet","14 Haziran 23:28","173","TurkNet kullanıcısıyım. 11-04-2024 tarihi saat 09:30 itibarıyla internet bağlantım kesildi. Destek kaydı oluşturduğumda kablo kopması kaynaklı arıza olduğunu ve 25-05-2024 tarihinde sorunun çözüleceğini ilettiler. Fakat o tarih geldiğinde 04-06-2024 tarihinde düzelecek denildi. Dedikleri tarih geldi","#Arıza","https://www.sikayetvar.com/turknet/ariza","...","https://files.sikayetvar.com/complaint/2908/29087135/turknet-35-gundur-internet-yok-4_350x350.jpg","https://files.sikayetvar.com/complaint/2908/29087135/turknet-35-gundur-internet-yok-6_350x350.jpg"
"TurkNet Pişmanlıktır. Çözümsüz Arıza...","https://www.sikayetvar.com/turknet/turknet-pismanliktir-cozumsuz-ariza","Güneş","14 Haziran 23:07","163","TurkNet abonesi olarak bir haftadır internetim kesik ve Türk Telekom ile TurkNet arasında kalmış durumdayım. Arızayı kimse çözmüyor, şimdi de bayram geldi. Bir 10 gün daha çözülmeyecek. Kimse konuyla ilgilenmiyor, sürekli bakılıyor, saha ekipleri bakacak diye oyalanıyorum.","#Arıza","https://www.sikayetvar.com/turknet/ariza","","https://files.sikayetvar.com/complaint/2908/29086954/turknet-pismanliktir-cozumsuz-ariza-1.mp4",""
"TurkNet Pişmanlıktır Yeter Artık","https://www.sikayetvar.com/turknet/turknet-pismanliktir-yeter-artik","Onur","14 Haziran 23:01","109","TurkNet'in ekip çalışmasını görüyorsunuz. Bir sağlayıcı düşünün, teknik ekibi kabloları bu hale getirdikten sonra bırakıp gidiyor. En kısa zamanda aboneliklerimi iptal edeceğim. TurkNet pişmanlıkmış gerçekten. 2 haftadır internet kullanamıyorum.","#ADSL","https://www.sikayetvar.com/turknet/adsl","","https://files.sikayetvar.com/complaint/2908/29086862/turknet-pismanliktir-yeter-artik-1_768x768.jpg",""
"TurkNet Fiber İnternet Arızası","https://www.sikayetvar.com/turknet/turknet-fiber-internet-arizasi-8","Santo","14 Haziran 23:00","120","İnternet arızası için 4 gün sonra gelip, kutuda internet olmadığını söyleyip altyapı birimine aktarıyorum deyip gittiler. Sorunun en kısa zamanda çözülmesini ve kullanmadığım günlerin iadesini talep ediyorum. Süreç çok uzadı, çözüm için süre bile veremiyorlar, işlemler çok yavaş ilerliyor.","#Fiber İnternet","https://www.sikayetvar.com/turknet/fiber-internet","","https://files.sikayetvar.com/complaint/2908/29086871/turknet-fiber-internet-arizasi-1_768x768.jpg",""
"TurkNet Hizmetinin Yetersiz Olması","https://www.sikayetvar.com/turknet/turknet-hizmetinin-yetersiz-olmasi","Onur","14 Haziran 22:16","165","TurkNet 1000 Mbit saçmalığı: 2 gündür internetimin aralıksız kesik olması ve bu sorunu giderememeleri tamamen içler acısı bir olay. Talep oluşturduktan sonra teknik destek geldi, 1 adet soket değiştirip internetin düzeldiğini söyledi. Konumdan ayrıldıktan 20 dakika sonra internet tekrar kesildi ve h","#Evde İnternet","https://www.sikayetvar.com/turknet/evde-internet","...","https://files.sikayetvar.com/complaint/2908/29086444/turknet-hizmetinin-yetersiz-olmasi-1_768x768.jpg",""
"TurkNet İlgisizliği TurkNet İlgisizliği TurkNet İlgisizliği","https://www.sikayetvar.com/turknet/turknet-ilgisizligi-turknet-ilgisizligi-turknet-ilgisizligi","Yunus","14 Haziran 20:12","262","Türk Telekom olan internet bağlantımız düşük megabit olduğu için TurkNet'e geçiş yaptık. Dün, 13/06/2024 tarihinde hemen kurulacak dediler. Onay aldılar ama dünden beridir internetimiz yok. Bayram arifesi bu doğru mudur? Telefonla bir muhatap bulamıyoruz. Buradan yazmak zorunda kalıyorum. Çözümlenme","","","...","",""
"TurkNet Fibere Geçiş Problemi","https://www.sikayetvar.com/turknet/turknet-fibere-gecis-problemi","Semih","14 Haziran 18:56","278","Uzun süredir TurkNet ADSL kullanıyorum. Fiber altyapı çalışması nedeniyle yaklaşık 5 aydır internet hizmeti alamıyorum. Geçen hafta Türk Telekom müstakil evlerin bulunduğu sokağımıza fiber kabloları ve evimize kadar kutuları kabloları çekti. Türk Telekom müşterisi olan komşularıma fiber internet bağ","#Fiber İnternet","https://www.sikayetvar.com/turknet/fiber-internet","...","",""
"TurkNet Hizmet İptali Yapmıyor","https://www.sikayetvar.com/turknet/turknet-hizmet-iptali-yapmiyor-6","Esma","14 Haziran 17:51","261","TurkNet hizmet iptali yapamayalım diye tüm yolları engellemiş. Hiçbir yolla aldığımız hizmeti iptal edemiyoruz. E-devlet yolu zorlaştırılmış, çağrı merkezinden talep almadan her seferinde çağrıyı kapatıyor, web sayfası üzerinden yapılan işlem hangi gün ve saatte yapsak hata veriyor ve belirttikleri","#Abonelik","https://www.sikayetvar.com/turknet/abonelik","...","https://files.sikayetvar.com/complaint/2908/29083585/turknet-hizmet-iptali-yapmiyor-2_350x350.jpg","https://files.sikayetvar.com/complaint/2908/29083585/turknet-hizmet-iptali-yapmiyor-1_350x350.jpg"
"TurkNet Müşterilerini Mağdur Etmeyi Çok Seviyor","https://www.sikayetvar.com/turknet/turknet-musterilerini-magdur-etmeyi-cok-seviyor","Eren","14 Haziran 17:09","176","TurkNet internetimi 2-3 ay önce iptal etmeme rağmen iptal edilmeyip devam eden kampanyalı tarifelerden bahsediliyor. Ben internetimi iptal ettiğimi söyleyince, arayan destek ekibindeki kişiler telefonu yüzüme kapatıyorlar. Eğer bu konu ile ilgili mantıklı bir çözüm olmazsa, çevremde kim varsa TurkNe","#Evde İnternet","https://www.sikayetvar.com/turknet/evde-internet","...","",""
"TurkNet İnternet Günlerdir Yok","https://www.sikayetvar.com/turknet/turknet-internet-gunlerdir-yok-2","Mahi","14 Haziran 16:44","172","TurkNet günlerdir internet hizmeti veremiyor. Telefonda robot bölgesel sorun var deyip yüzüme kapatıyor. Online işlemler kısmında filan saate kadar çözülecek yazıyor. O saat gelince ertesi güne atıyor sistem. Ne gelen ne giden bir bakım ekibi falan var. Arayan soran yok. Düzgün bir bilgilendirme yok","#Evde İnternet","https://www.sikayetvar.com/turknet/evde-internet","...","",""
"","","Burak","14 Haziran 16:27","139","","","","","",""
"TurkNet İade Cihazları Almayıp Bizi Mahkemeye Veriyor.","https://www.sikayetvar.com/turknet/turknet-iade-cihazlari-almayip-bizi-mahkemeye-veriyor","İlhan","14 Haziran 15:51","190","TurkNet fiber internet hizmetini kullanıyordum. Her ay düzenli olarak ödemelerimi yapıyordum. İptal ettirdikten sonra cihazları belirtilen adrese göndermemi istediler. Ben de belirtilen kargo ile adrese gönderdim. Şimdi ise bir avukat beni arayıp yasal süreç başlatıldığını söylüyor. Bende kargo taki","#Modem","https://www.sikayetvar.com/turknet/modem","...","",""
"TurkNet 30 Gün Deneme Süresi Yalanı","https://www.sikayetvar.com/turknet/turknet-30-gun-deneme-suresi-yalani","Ümit","14 Haziran 15:13","195","Merhaba, TurkNet'ten 30 günlük deneme süreci başlattım fakat upload sorunu yaşandı. Bu yüzden iptal talep ettim. Son gün iptal istediğimi ilettim, yani 13 Mayıs, ama ertesi gün beni arayıp iptal işleminizden 1 gün geçti denildi. Oysaki ben iptal talebimi ilettim; sizin iptal talebimi ne zaman aldığı","#Abonelik","https://www.sikayetvar.com/turknet/abonelik","...","https://files.sikayetvar.com/complaint/2908/29081608/turknet-30-gun-deneme-suresi-yalani-2_350x350.jpg","https://files.sikayetvar.com/complaint/2908/29081608/turknet-30-gun-deneme-suresi-yalani-1_350x350.jpg"
"TurkNet İnternet Bağlantı Sorunu","https://www.sikayetvar.com/turknet/turknet-internet-baglanti-sorunu-video-1","Turgay","14 Haziran 14:45","183","","#Arıza","https://www.sikayetvar.com/turknet/ariza","","https://files.sikayetvar.com/complaint/2907/29074863/turknet-internet-baglanti-sorunu.mp4#t=4.1",""
"TurkNet 8 Gündür Nakil Sağlamadı. Mağdur Oldum.","https://www.sikayetvar.com/turknet/turknet-8-gundur-nakil-saglamadi-magdur-oldum","Berkay","14 Haziran 14:44","196","06.06.2024 tarihinde İstanbul'dan Artvin Arhavi ye taşındığım için servis sağlayıcım TurkNet'e nakil talebinde bulundum. Nakil talebi mantık olarak internetsiz kalmamam için olan bir uygulama olmasına rağmen, bugün ayın 14ü ve hala gelip interneti açmadılar. Her gün arayacaksınız diye haber veriyorl","#Adres Değişikliği","https://www.sikayetvar.com/turknet/adres-degisikligi","...","https://files.sikayetvar.com/complaint/2908/29081208/turknet-8-gundur-nakil-saglamadi-magdur-oldum-1_768x768.jpg",""
"TurkNet Sabit Hattımı Geri İstiyorum","https://www.sikayetvar.com/turknet/turknet-sabit-hattimi-geri-istiyorum","Nihat","14 Haziran 14:08","234","Yaklaşık 6 ay kadar önce TurkNet firmasına başka firmaya ait olan sabit hattımı ve internet hattımı taahhütsüz olarak taşıdım. 4-5 ay sorun yaşamadım. Bir buçuk ay kadar önce sabit telefonumu benim bilgim olmadan kapattılar. Bu numara iş yerine ait bir numaraydı ve 30 yıldır müşteri iletişim kuruyor","#Abonelik","https://www.sikayetvar.com/turknet/abonelik","...","",""
"TurkNet Müşterisini Çok Mağdur Etti.","https://www.sikayetvar.com/turknet/turknet-musterisini-cok-magdur-etti","Nihat","14 Haziran 12:46","284","Biz Bursa'da bulunan bir işletmeyiz. TurkNet fiber internete geçtik. Geçmez olaydık. Yaklaşık 3 haftadır işletmemizin telefonu kapalı tabii ki TurkNet yüzünden. Bize çeşitli bahanelerde bulunuyorlar fakat bir çözüme varamıyorlar. Basit bir telefon bağlantısını yapamıyorlar bu kadar fiyaskolar. İşlet","#Fiber İnternet","https://www.sikayetvar.com/turknet/fiber-internet","...","",""
"TurkNet İlgilenen Yok Teknikle Servisle Bir Alakaları Yok!","https://www.sikayetvar.com/turknet/turknet-ilgilenen-yok-teknikle-servisle-bir-alakalari-yok","Göktan","14 Haziran 11:55","-","TurkNet'te neredeyse 4-5 aydır internet kullanıyorum. İnternet koptu, kırmızı ışık yanıyor. Arıyorum, ilgileniyoruz diyorlar. Ondan sonra tekrar arıyorlar. Yarına randevu veriyorlar diyorlar. Çok kötü bir firma.","#Arıza","https://www.sikayetvar.com/turknet/ariza","","",""
"TurkNet Pişmanlıktır Asla Geçmeyin","https://www.sikayetvar.com/turknet/turknet-pismanliktir-asla-gecmeyin","Özge","14 Haziran 11:46","316","4 gündür internetimiz yok. Aradığımda bize eksik bilgi vererek galeyana getirip hiç bilmediğimiz bir firmaya üyelik başlatmışlar. Sadenet diye bir firma. Sonra ise telefonumu engellediler. Şimdi bunu daha kuruluma gelmeden fark edip iptal için aradığımızda, 'Size geri dönüş sağlayacaklar' deyip oyal","#Abonelik","https://www.sikayetvar.com/turknet/abonelik","...","",""
"TurkNet Hiçbir Neden Yokken Abonelik İptal Ediyor","https://www.sikayetvar.com/turknet/turknet-hicbir-neden-yokken-abonelik-iptal-ediyor","Fatih","14 Haziran 11:44","267","TurkNet'e 1 aylık ödenmemiş internet faturam vardı. 14 Haziran'a kadar ödeme yapılmazsa aboneliğimin iptal olacağı söylendi. 14 Haziran'da ödemeyi gerçekleştirdim. Şu an borcum yok, yine de hattım iptal edildi. Aboneliğime devam etmek istiyorum. Şu an borcum yok ve benden modemi göndermemi, sonra te","#Abonelik","https://www.sikayetvar.com/turknet/abonelik","...","",""
"Kablo Net TÜRKSAT Müşteri Hizmetleri Asla Yardımcı Olmadı Gelip Arızaya Bakmadı","https://www.sikayetvar.com/turknet/kablo-net-turksat-musteri-hizmetleri-asla-yardimci-olmadi-gelip-arizaya-bakmadi-1","Fatma","14 Haziran 09:40","309","İnterneti kullanamıyorum. İlk günden beri sorun yaşıyorum. Sürekli TÜRKSAT müşteri hizmetlerini arıyorum ama asla çözüm yok. Arızayı düzeltmediler. Yardımcı olmadılar. Eve gelip bakılmasını istiyorum. Kayıt bile oluşturmuyorlar, 300 TL hizmet bedeli istediler. Kaç gündür mağdur edildim. Böyle kötü","#Arıza","https://www.sikayetvar.com/turknet/ariza","...","",""
"TurkNet'in 4,5 Gündür İnternet Sorununu Çözememesi","https://www.sikayetvar.com/turknet/turknetin-45-gundur-internet-sorununu-cozememesi","Melek","14 Haziran 09:32","324","TurkNet 4,5 gündür internet sorununu çözemiyor. Ne zaman geleceğini de bilmiyoruz diyorlar. Yakında gelir deyip geçiştiriyorlar. İstanbul'un göbeğinde böyle bir sorun yaşatan firma mı olur? Ben 4,5 gündür çalışamıyorum, onlar yüzünden. Hakkari'nin bir köyünde olsam sorunumu daha hızlı çözerdi diğer","#İnternet Kesintisi","https://www.sikayetvar.com/turknet/internet-kesintisi","...","",""
"TurkNet Haksız Modem Ücreti Talep Ediyor","https://www.sikayetvar.com/turknet/turknet-haksiz-modem-ucreti-talep-ediyor-1","Mert","14 Haziran 00:22","84","TurkNet aboneliğimi (3385034) 29.02.2024 tarihinde iptalini gerçekleştirdim. Kendi belirledikleri kargo firmasıyla modemi iade etmemi istemişlerdi fotoğraftada görüleceği üzere bende o firma ile 04.03.2024 tarihinde modemi iade ettim ve bir gün sonra ellerine ulaşıp teslim aldılar. Buna rağmen aylar","#Modem","https://www.sikayetvar.com/turknet/modem","...","https://files.sikayetvar.com/complaint/2907/29075980/turknet-haksiz-modem-ucreti-talep-ediyor-2_350x350.jpg","https://files.sikayetvar.com/complaint/2907/29075980/turknet-haksiz-modem-ucreti-talep-ediyor-1_350x350.jpg"
"401 TL'lik TurkNet.!","https://www.sikayetvar.com/turknet/401-tllik-turknet","Tolga","13 Haziran 23:33","58","2893933 numaralı TurkNet kullanıcısıyım. PlayStation 5 cihazımda FC24 Ultimate üzerinden online maç yapıyorum. Takılıp duruyor internet bağlantısı yüzünden. Aylar önce internet ile ilgili şikayet dilekçesi oluşturdum. Asla dönüş olmadı.! TurkNet Asla bağlatmayın.","#Abonelik","https://www.sikayetvar.com/turknet/abonelik","","https://files.sikayetvar.com/complaint/2907/29075630/401-tllik-turknet-2_350x350.jpg","https://files.sikayetvar.com/complaint/2907/29075630/401-tllik-turknet-1_350x350.jpg"
"","","Veysel","13 Haziran 23:33","254","","","","","",""
"TurkNet'in Giderilemeyen Arızaları","https://www.sikayetvar.com/turknet/turknetin-giderilemeyen-arizalari","Tarık","13 Haziran 22:50","52","Ben TurkNet kullanıcısıyım, ortalama 1 haftadır internetimiz yok. 1545900 abone numaralı internetimiz için arıza kaydı bırakmamıza rağmen, 'internetiniz gün içinde gelecek' deyip geçiştiriyorlar. Bayram arifesi, bugün arıza giderilmezse 9 gün bayram tatilinde asla arıza giderilmez. Benim 2 hafta son","#Arıza","https://www.sikayetvar.com/turknet/ariza","...","",""
"TurkNet İnternet Yavaşlama Sorunu","https://www.sikayetvar.com/turknet/turknet-internet-yavaslama-sorunu-3","Mustafa","13 Haziran 22:43","87","TurkNet'in 35 Mbps diye verdiği internet son zamanlarda 3 Mbps üstüne çıkmıyor. Önceden 4K videoyu rahatlıkla izlerken son bir aydır 1080p'de bile yükleniyor ekranı çıkmaya başladı. 2 GB'lık bir dosyanın inmesi 2 saat sürüyor. İnternet hızımın eskisi gibi 30 Mbps üstüne çıkmasını istiyorum.","#Hız Testi","https://www.sikayetvar.com/turknet/hiz-testi","","https://files.sikayetvar.com/complaint/2907/29075203/turknet-internet-yavaslama-sorunu-1_768x768.jpg",""
"TurkNet Bitmek Bilmeyen Düşük Hız Kalitesiz İnternet","https://www.sikayetvar.com/turknet/turknet-bitmek-bilmeyen-dusuk-hiz-kalitesiz-internet","Kerim","13 Haziran 22:28","65","İnternet 5 yıldır yok. TurkNet müşterisiyim. Ama artık yeter. Sürekli arıza kaydı oluşturuyorum. Telekom'a yaptırımları yok. Her ay 399 TL sabit ödüyorum ama internet yok. Netflix'te 2 saatlik film 7 saatte bitiyor. Müşteri hizmetleri ile görüşmekten sıkıldım. Telefon ile arayarak muhatap olunacak k","#Arıza","https://www.sikayetvar.com/turknet/ariza","...","",""
"TurkNet İnternetimiz Çekmedi Kutuyu Bozdular Ve Dönüş Yapılmadı.","https://www.sikayetvar.com/turknet/turknet-internetimiz-cekmedi-kutuyu-bozdular-ve-donus-yapilmadi","İrem","13 Haziran 21:43","273","Biz arkadaşımızın önerisiyle TurkNet kullanmaya başladık fakat son 2 haftadır interneti kullanamıyoruz. İlk önce biri geldi kablo çekin dedi daha sonra ADSL kutusu komple bozuldu ondan önce çalışıyordu. Kutu bozuldu hiç çalışmadı daha sonra tekrar aradık kutu bozulmuş dediler ve hiç yardımcı olmadan","#Arıza","https://www.sikayetvar.com/turknet/ariza","...","https://files.sikayetvar.com/complaint/2907/29074622/turknet-internetimiz-cekmedi-kutuyu-bozdular-ve-donus-yapilmadi-1_768x768.jpg",""
"TurkNet Bağlantıya Yardımcı Olmuyor!","https://www.sikayetvar.com/turknet/turknet-baglantiya-yardimci-olmuyor","Gul","13 Haziran 21:23","304","TurkNet'ten evde internete başvurdum, verdikleri şifre sayfası açılmadığı gibi müşteri hizmetlerine de bağlanamıyorum. Yardımcı olmuyorlar. Sadece başvuruyu onaylayana kadar muhatap oluyorlar. Sanırım bir de 'aradık, ulaşamadık' diye mesaj gönderiyorlar. Hizmet kalitesi sıfır, yazıklar olsun. Kaçınc","#Abonelik","https://www.sikayetvar.com/turknet/abonelik","...","",""
"TurkNet Sürekli Kopan İnternet Bağlantısı Ve Yetersiz Destek!","https://www.sikayetvar.com/turknet/turknet-surekli-kopan-internet-baglantisi-ve-yetersiz-destek","Mehmet","13 Haziran 21:09","186","İki ay önce evime TurkNet internet bağlattım, aldığıma pişman oldum. Her 5 dakikada bir bağlantı kopuyor. Şikayetimi ilettiğimde her seferinde düzelttik deyip geçiştiriyorlar.","#Arıza","https://www.sikayetvar.com/turknet/ariza","","",""
"TurkNet Gigafiber İnternet Geçişi","https://www.sikayetvar.com/turknet/turknet-gigafiber-internet-gecisi","Çetin","13 Haziran 21:01","321","TurkNet internet paketine geçiş yaptım ve daha sonra altyapı olarak Giga Fiber 1000 MB'lik altyapı geldikten sonra 29 Mayıs'ta standart hızdan fiber hıza geçiş için işlemleri başlattım. Fakat aradan 15 gün geçmesine rağmen herhangi bir şekilde iletişim kurulmadı ve bugün beni arayıp binanızda fiber","#Gigafiber","https://www.sikayetvar.com/turknet/gigafiber","...","https://files.sikayetvar.com/complaint/2907/29074204/turknet-gigafiber-internet-gecisi-2_350x350.jpg","https://files.sikayetvar.com/complaint/2907/29074204/turknet-gigafiber-internet-gecisi-1_350x350.jpg"
"TurkNet Telefon Taşıma Problemi","https://www.sikayetvar.com/turknet/turknet-telefon-tasima-problemi","Soner","13 Haziran 20:46","296","Turk.net şirketinde var olan internet hattımı yeni taşınacağım yerde internet var olduğundan iptal ettirdim. Fakat pakete dahil olan telefon şirket telefonu olduğundan dolayı iptal ettirmedim. Bu ayın 10'unda kendilerine telefonumu başka bir adrese taşıyacağıma dair bir destek kaydı oluşturdum. Arad","","","...","https://files.sikayetvar.com/complaint/2907/29074064/turknet-telefon-tasima-problemi-1_768x768.jpg",""
"TurkNet Mağduruyum İnternet Yok","https://www.sikayetvar.com/turknet/turknet-magduruyum-internet-yok-1","Pelin","13 Haziran 19:54","300","11 Haziran'dan beri TurkNet internetim Ataşehir'de altyapı arızası var diye 3 gündür internetim yok evde. Müşteri hizmetleri 28 Haziran'a kadar internetin gelmeyeceğini söyledi. 2024 yılında TurkNet sayesinde böyle bir durum görülmemiştir. Sorunuma ivedilikle çözüm bulun lütfen. Abone no: 3069398","#İnternet Kesintisi","https://www.sikayetvar.com/turknet/internet-kesintisi","","",""
