"complaint-layer","username","js-tooltip","js-view-count","complaint-description","ellipsis-text","sv-model-button"
"Vodafone İzinsiz Ücretlendirme Ve Yetersiz Bilgilendirme","Muharrem","02 Ağustos 20:51","2","Merhaba Vodafone, tarafıma yapılan bu ücretlendirmelerin derhal iadesini talep ediyorum. Böyle basitçe uygulamaları benim talebim ve rızam olmadan ve anında uyarı yapılmadan alınan bu ücretlendirmeyi doğru bulmuyorum. Bu tarz içerikleri SMS ile değil, arayarak bilgilendirmesi gerekiyor. Talebimin en","...","#Mobil Ödeme"
"Vodafone'da Çekim Sorunu Ve Müşteri Hizmetleri İlgisizliği","Bedrettin","02 Ağustos 20:45","2","4 ay kadar önce Turkcell'den Vodafone'a geçtim. Şehir merkezinde açık alanda bile tek çizgi ile çekim alanı ve internet sorunu ile karşı karşıyayım. Operatör değiştirdiğime bin pişman oldum. Memnuniyet anketlerine belirtmeme rağmen hattımla ilgili bir açıklama veya dönüş bile olmadı.","","#Şebeke"
"Vodafone Müşteri Hizmetlerine Ulaşamama Sorunu","Yusuf","02 Ağustos 20:45","3","Vodafone hat taşıma ile ilgili yeni bir problemin var fakat sesli yanıt sistemi ile müşteri hizmetlerine ulaşamıyorum. Benzer bir şikayet olduğu için Şikayetvar da önceki şikayetimin altına ekleniyor. Vodafone genel müdürlüğe ulaşmaya çalışıyorum... Saygılarımla Yusuf S*****","","#Faturalı Tarifeler"
"","Nuray","02 Ağustos 21:54","24","","",""
"Vodafone Tanımadığım Numara Beni Arayıp Yanlış İddialarda Bulundu","Murat","02 Ağustos 20:44","-","Merhabalar, beni az önce tanımadığım bir numara aradı ve kendisini 3-4 defa aradığımı, borsa ile alakalı teklifler sunduğumu iddia etti. Ama ben böyle birini aramadım. Tanımadığım birisi de benim telefonumu kullanamayacağına göre bu durumu nasıl başarabiliyorlar? Çözüm bekliyorum. Çok yanlış durumla","...","#Arayan Kim"
"Vodafone Fatura Şoku: Tarifem Habersiz Şekilde 3 Katına Çıktı!","Beritan","02 Ağustos 20:44","-","Ailece Vodafone'un yıllardır müşterisiyiz. Ancak bugün başıma gelenler yüzünden büyük hayal kırıklığı yaşadım. 306 TL kullandığım tarife sözleşme zamanı dolduğu için 989 TL olarak güncellenmiştir. Faturamın 989 TL olacağı ile ilgili herhangi bir bilgilendirme de yapılmadı. Üstelik ben öğrenciyim. 30","...","#Taahhüt"
"Vodafone Numara Taşıma İşleminde Yaşanan Sorun Ve İlgisizlik","Arif","02 Ağustos 20:38","-","Turkcell'den Vodafone'a numara taşıma işlemi yaptım, işlemim hala gerçekleşmedi. Bilgi alamıyorum. Müşteri temsilcileri sürekli suratıma telefonu kapatıyor. Böyle saçma bir operatör ve böyle bir çalışan sürüsü ben görmedim. Hiçbir yerden bilgi alamıyorum...","","#Numara Taşıma"
"Vodafone'da Şebeke Sorunu Ve İlgisizlik","Şura","02 Ağustos 20:38","1","Ankara Kentpark Vodafone'da hattımı arkadaşımın üzerinden kendi üzerime aldım. Şebekem gitti, telefonu kapatıp açınca düzeleceği söylendi. 8 saattir şebekem gelmiyor. Bayiliğe gittiğimde yüzüme bile bakılmadan 'Bekleyeceksiniz' dendi. Çözüm asla yok. Dalga geçer gibi 'Buraya gelip durmayın, bizim ya","...","#Şebeke"
"Vodafone Fatura Borcunu Ödeyememe Sorunu","Metehan","02 Ağustos 20:31","2","Vodafone'dan Turkcell'e geçtim, son 221 TL'lik fatura var diye mesaj geliyor. Borcu ödemek istediğimde hiçbir yerden çıkmıyor. Gelen linklere de tıklıyorum, sayfa açılıyor, borç yok. Ne yapmam gerek... ... Borcu ödeyemiyorum ne yapmalıyım anlamadım.","","#Borç"
"Vodafone Online Paket Yüklemede Üç Kez Para Çekildi","Leyla","02 Ağustos 20:30","-","1 Ağustosta Vodafone kolay paket yükle kısmından online olarak eşime paket almak istedim. Kart bilgilerimi ve telefonuma gelen kodu girdikten sonra işleminizi şu anda gerçekleştiremiyoruz hatası verdi. Banka hesabıma girip para çekilip çekilmediğini kontrol ettim. Para çekilmemişti. Bende kolay pake","...","#Kolay Paket"
"Vodafone İzinsiz Abonelikler Ve Fatura Sorunu","Caner","02 Ağustos 20:24","-","Benden habersiz aboneliklere üye olunmuş. Derhal iptalini istiyorum ve faturamı da daha yatırmadım. Faturamdan düşürülmesini derhal istiyorum. Mobil ödeme istemiyorum. Bu haksızlık, yazık günah insanlara. Suç duyurusu yapılması gerekiyor.","","#Mobil Ödeme"
"Vodafone Yüksek Tarife Fiyatları Ve İlgisizlikten Şikayetçiyim","Özgür","02 Ağustos 20:23","140","Merhaba, tarife fiyatlarının çok yüksek olmasından şikayetçiyim. Bana uygun bir tarife sunulmuyor, ne arayan var ne soran. Eskiden bu firma böyle değildi. Acaba kimse bana yardımcı olmayacak mı merak ediyorum. Arayın beni ve tarife seçelim bana. Beklemedeyim","","#Faturalı Tarifeler"
"Vodafone Bilinmeyen Ücretlendirme Ve İade Sorunu","Muhammet","02 Ağustos 20:16","-","Adroin reklamı nedir? Geri iade yapılamaz yazıyor. Ben bunu nasıl iptal ederim? Yoksa mahkemeye başvurmak zorunda kalacağım. Çok saçma, bilmediğim bir şeyin parasını niye ben ödüyorum? Lütfen Vodafone yetkililerinden destek bekliyorum, yoksa en kısa sürede mahkemeye sunacağım.","","#Mobil Ödeme"
"Vodafone Mağaza Yanıltması Ve Ulaşım Sorunu","Halit","02 Ağustos 20:15","-","Vodafone'dan internet üzerinden hat başvurusu gerçekleştirdim. Hattımı almak için Kefken Kandıra Kocaeli Bulan İletişim - G**** A**** mağazasına gittim ve beni 'Hat vermiyoruz, Vodafone mağazasından almanız gerekiyor' diyerek geri gönderdiler. Ulaşım sorunu yaşıyorum. Kandıra'ya gitmek benim için zo","...","#Hat Başvurusu"
"Vodafone Yanlış Abonelik Ücreti: Acil İade Talebi","Erkan","02 Ağustos 18:54","6","","","#Mobil Ödeme"
"Vodafone Yüksek Fiyatlı Tarifelerle Zor Durumdayım","Hatun","02 Ağustos 18:46","-","Yıllardır kullanmakta olduğum operatörünüzde tarifem bitmek üzere ve sunulan tarifeler çok yüksek rakamlar. Ödemekte olduğum aktif faturam 200 lira iken sunulan tarifede aynı kullanım hakları iki katı fiyatına sunuluyor. Bu kadar yüksek fiyatları ödemekte güçlük çekiyor ve yüksek fiyat sorununun çöz","...","#Fatura"
"Vodafone Ek Paket İptalinde Yaşanan Zorluklar","Levent","02 Ağustos 18:46","-","Bugüne kadar Vodafone haricinde ek paketimi iptal ederken hiçbir sorun yaşamıyordum. Ta ki Vodafone'lu olana kadar. Bir ek paketi iptal etmek bu kadar zor olmamalı. Ne müşteri temsilcisi ile görüşebiliyorum ne de uygulamadan yapabiliyorum. Bu durum gerçekten paranın üstüne konmak gibi.","","#Ek Paketler"
"Vodafone Tarife Ücretlerindeki Belirsizlik Ve Artış","Mahmut","02 Ağustos 18:39","-","Vodafone sağlayıcı tarafından sağlanan 540.2 0. 8 faturalı hattım bulunmaktadır. Sabit ücreti 170 TL dir. Ancak Nisan 2024 ve Temmuz 2024 tarife ücreti arasında fark bulunmaktadır. Bunun Vodafone tarafından açıklanmasını talep ediyorum. Yıl geçmeden fiyat artış olur mu?","",""
"Vodafone'un Yüksek Fiyatlı Taahhüt Yenileme Sorunu","Osman","02 Ağustos 18:38","11","Taahhüdüm bitmek üzereyken Vodafone müşteri hizmetleri beni arayıp 600 liradan başlayan tarifeler önerdiler. Fiyatların çok yüksek olduğunu, en düşük tarifeleri sorduğumda ise 370 TL'de bir pakette karar kıldık. Fakat hat benim üstüme olmadığı için hat sahibi annemin onayı lazım dediler. Annemin ona","...","#Cayma Bedeli"
"Vodafone Red Paket İle İlgili Yasal Hak İhlali Ve Müşteri Hizmetleri Sorunu","Erdal","02 Ağustos 18:38","4","Vodafone operatörü kullanıyorum fakat Vodafone ben red pakette olduğum için paket düşürmeme izin vermiyor. Yasal olarak yılda 1 kez paket düşürme hakkım olmasına rağmen yaptıkları hiç yasal değil sorunumun çözülmesini talep ediyorum. Yetkili birisine bağlanmak istedim. Müşteri hizmetleri buna da izi","...","#Red"
"Vodafone Tarifelerinde Fahiş Fiyat Artışı","Özkan","02 Ağustos 18:30","23","Vodafone, 18 GB her yöne 2000 dakika ve 250 SMS için 187 TL alırken, bu sene 9 GB her yöne 1000 dakika ve 250 SMS için 280 TL istiyor. Aynı tarifeyi i","...","#Faturalı Tarifeler"
"","Begüm","02 Ağustos 18:20","-","","",""
"Vodafone'dan Haksız Zam Ve Müşteri Ayrımı","Aleyna","02 Ağustos 18:20","-","15 yıla yakın Vodafone kullanıcısıyım. Taahhüdüm bittiği için mevcut paketimin %200 zamlı haliyle güncelleştirmişler. 191 TL olan paketim şu an 540 TL. Taahhüt bitmeden 300e sabitleme mesajını sadece bir kez atılmış. Her gereksiz ayrıntı için aranıyoruz ama bu yenileme konusunda aranmadım bile. Ayrı","...","#Taahhüt"
"Vodafone'dan Emekliye Yüzde Yüz Zam Şoku!","Hamza","02 Ağustos 18:11","1","24 yıllık Vodafone'luyum. Şu an 4 adet Vodafone hat kullanıyorum. Taahhüdümün bitmesine bir ay kaldı. Yeni tarifeyi bana 300 TL'den sunuyorlar. Eski tarifem 160 TL idi, ortalama yüzde yüz artış oluyor. Emekli olduğumu beyan etmeme rağmen hiçbir indirime gidilmedi. Şikayetimi iletiyorum.","","#Faturalı Tarifeler"
"Vodafone Fahiş Fatura Artışı Ve Uygun Tarife Talebi","İbrahim","02 Ağustos 17:50","19","","","#Fatura"
"Vodafone Yanımda Uygulamasında Çifte Paket Ücreti Sorunu","Tuana","02 Ağustos 17:44","1","Kolay paket yüklerken işleminizi gerçekleştiremiyoruz dedi ve Vodafone Yanımda uygulamasından çıktım. Yarım saat sonra bir daha paket yüklemeye çalıştım ama hesabımdan 2 kere paket ücreti çekildi ve hesabıma tek bir tane paket yüklendi. Diğer paket ücretimin iadesini istiyorum. Dekontum da mevcut.","","#Kolay Paket"
"Uzun Süreli Vodafone Kullanıcısına Öğrenci İndirimi Yok","Öznur","02 Ağustos 17:26","1","Çok uzun zamandır Vodafone kullanıcısıyım. 26 yaş altı üniversite öğrencisiyim aynı zamanda. Tarifem bittiği için güncel fiyat almak sebebiyle müşteri","...","#Taahhüt"
"Vodafone'dan Faturalıya Geçişte Hediye Çeki Sorunu","Faruk","02 Ağustos 17:26","-","Vodafone'da artan faturasız paketler fiyatı yüzünden geçen hafta faturalı tarifeye geçme kararı aldım. Paket değişimi sırasında Vodafone faturasızdan faturalıya geçen kullanıcılara özel 500TL A101 hediye çeki vereceklerini vaat ediyordu. Ben de hem faturalıya geçme ihtiyacım yüzünden hem de vaat edi","...","#Yanımda"
"Vodafone'da Tarife Şoku: Fatura Beklenenden Yüksek Geldi","Kübra","02 Ağustos 17:09","-","","","#Faturalı Tarifeler"
"Vodafone Numara Değişikliği Sonrası Hizmet Kesintisi","Gül","02 Ağustos 17:06","10","Ben dün numara değişikliği için Vodafone müşteri destek hattını aradım tuşlarla beni yönlendirerek benim numaramı değiştirdiler ve yarım saat içinde h","...","#Numara Değiştirme"
"Vodafone'dan Haksız Cayma Bedeli Ve Yüksek Fatura Şikayeti","Fatih","02 Ağustos 17:06","4","Taahhüdüm bittikten yaklaşık 2 ay sonra başka bir operatöre geçtim. O 2 aylık süreçte herhangi bir taahhüdüm olmamasına rağmen Vodafone bana son ayki faturamı afaki bir şekilde yüksek olarak yolladı. Taahhüdüm yokken cayma bedeli eklendiğini söyledi. Müşteri temsilcisi. Bir an evvel bu hatanın düzel","...","#Fatura"
"Vodafone Hediye Çarkında Sürekli Hata Veriyor","Kevser","02 Ağustos 16:54","30","Yaklaşık bir haftadır hediye çarkında sorun yaşıyorum. Sürekli haya aksi beklenmedik bir hata oluştu diye uyarı veriyor. Tekrar deniyoruz ama fayda yo","...","#Hediye Çarkı"
"Vodafone Operatör Değişikliği Ve Müşteri Hizmetleri Sorunu","Nuri","02 Ağustos 16:44","-","Vodafone online işlemlerden 17.07.2024 tarihinde operatör değişikliği yaptım. 19.07.2024 tarihinde digital kurye sim kartımı bana teslim etti, fakat hala geçiş işlemi tamamlanmadı. Müşteri hizmetlerini defalarca aramama rağmen işlemi gerçekleştiremediler, her seferinde farklı numara vererek aramamı","...",""
"Vodafone Yanlış Bilgilendirme İle Mağduriyet: Youtube Sınırsız Değil","Mustafa","02 Ağustos 16:35","47","Vodafone'da yıllık taahhüdüm bitti. Yeni bir. Faturaya geçmek istedim. Müşteri temsilcisi ile görüştüm. Sosyal medya sınırsız bir fatura istedim ve Benim için önemli olan Youtube.com dedim, Üstüne basa basa sordum Youtube.com sınırsız mı. Sırf bana Bu faturayı satmak için yalan söyleyerek müşteri te","...","#Fatura"
"Vodafone Sınırsız İnternet Tarife Yanıltmacası Ve Hot-Spot Sorunu","İsmet","02 Ağustos 16:34","32","Vodafone mobil telefon faturalı aboneyim. İnternet kotası 30 GB omasına rağmen bu kapasite yetmediği için firmanın yanımda telefon uygulamasından sınırsız internet hattını aylık 850 TL olarak seçtim. Yıllardır herkes gibi telefonumun wi-fi özelliğini kullanarak bilgisayarımdan internete giriyorum. V","...","#Yanımda"
"Vodafone Yanımda Uygulamasında Paket Yüklenmeme Sorunu","Büşra","02 Ağustos 16:34","-","01.08.2024 tarihinde Vodafone Yanımda uygulamasından Tam Senlik 22 GB paketini satın aldım. 2 gündür yüklenmedi. Ödeme alınmamış deniyor ancak ödeme yapıldı. Dekontu ilgililerle paylaşıldı. Müşteri hizmetleri tarafından dönüş sağlanmıyor. 390 TL paket ücreti ödüyoruz yine de yetmiyor.","","#Kolay Paket"
"Vodafone Ek Paket Sorunu Ve Müşteri Hizmetleri İlgisizliği","Özlem","02 Ağustos 16:34","-","Dün Vodafone Yanımda'dan ek paket aldım ama hala hesabıma düşmedi. Paket kartımdan para çekildi, elimde dekontum var. Müşteri hizmetlerini dünden beri arıyorum ve 'sistemsel arıza var, giderilince size dönüş yapacağız' diye oyalıyorlar. Ayrıca ev internetimiz de çekmiyor.","","#Ek Paketler"
"Vodafone İzinsiz Gönderilen Oyun Evi SMS'leri Rahatsız Ediyor","Funda","02 Ağustos 16:31","2","Merhaba, bugün 3698 numaradan tarafıma oyun evi çocuk servisi diye SMS ler gelmeye başladı. Herhangi üyelik yapmadan gönderilmesi rahatsız edici. Tara","...","#SMS"
"Vodafone Müşteri Hizmetlerine Erişim Sorunları","Beytullah","02 Ağustos 16:19","-","Vodafone müşteri hizmetleri yetkilisine bağlanmak artık çileye dönüştü. Ne yaptıysam bağlanmayı bir türlü başaramıyorum. İnsanların yeterince derdi sıkıntısı varken bir de bununla mı uğraşacağız. Yeter artık bu millete çektirdiğiniz eziyet. Müşteri hizmetleri yetkilisine bağlanabilmek bu kadar zor o","...","#İçerik Servisleri"
"Vodafone Yanlış Fatura Ve Mobil Ödeme Sorunu","Furkan","02 Ağustos 16:19","-","Merhaba, ben tarifeye geçtim. 287 TL'lik tarifem ve olmayan mobil ödeme ile alakasız bir faturayla karşı karşıyayım. Avukatıma gönderdim, bu sorumsuzluğunuzdan dolayı dava süreci başlatmak üzereyim. Kimsenin cebine göz dikmeyin. Yapılan bir mobil ödeme yok. Ben müşteri hizmetlerinizle konuştuğumda t","...","#Fatura"
"Vodafone Fatura Düzensizlikleri Ve Yanlış Tarife Değişiklikleri","Mehmet","02 Ağustos 15:39","-","Vodafone şirket hattımız var. Normal standart, 300 TL civarında aylık ödeme gelirken üç ay önce iki defa bin beş yüz tl civarında, sonra yine 300 TL civarında, bir sonraki ay ise 1600 TL civarında ödeme geldi. Şirket hattını alırken imzalayan yetkili bir yıl önce vefat etmişti. Daha sonra şirketi bi","...","#Fatura"
"Vodafone'dan Adaletsiz Paket Teklifleri Ve Yetersiz İnternet Hakkı","Aysu","02 Ağustos 15:31","1","Biraz önce Vodafone müşteri hizmetleri ile görüştüm. Taahhüdümün dolması sebebiyle daha fazla internet kullanım hakkı bulunan yeni bir pakete geçmek i","...","#Faturalı Tarifeler"
"Vodafone'un İzinsiz Servis Aktivasyonu Ve Fahiş Ücret Talebi","Aysun","02 Ağustos 15:28","-","KKTC'ye aile ziyaretine geldim. Vodafone hattı kullanıyorum. Vodafone benden onay almadan 'Her şey dahil pasaport' servisini otomatik olarak devreye soktu! Paket günlük 299₺ ye mevcut paketini istediğin gibi kullanıyorsun yani günlük 299₺ günlük kullanım için fahiş bir fiyat; bir şekilde 2 gün aktif","...","#Yurt Dışı Paketleri"
"Vodafone'dan Verilmeyen Hediye Çeki Ve Müşteri Hizmetleri Sorunu","Duygu","02 Ağustos 15:18","-","Vodafone'dan aranarak temmuz ayının başında tarife değişikliği yaptım ve bana 400 TL hediye çeki tanımlanacağı söylendi. Geçen sene de 300 TL denmişti ama tanımlanmadı, dedim. Yanımda tarife geçişi olduğunda mesaj gelecek dedi, gelmedi. Müşteri hizmetlerine zoraki bağlandım, 2 ay süre var dedi. 400","...","#Tarife Değişikliği"
"Vodafone İnternet Sorunu: İşimi Aksatıyor!","Yusuf","02 Ağustos 15:08","-","Vodafone'a geçiş yaptım, normal olarak çekiyor ama internet yani veri açılmıyor. 2 gündür çok mağdurum, işim internet üzerine ve her geçen gün benim için büyük bir kayıp olmaya devam ediyor. İnternet sorunumun çözülmesini acilen rica ediyorum. 50 defa aradım ama hala karşımda bir muhatap bulamıyorum","...","#Mobil İnternet"
"Vodafone Kesinlikle Pişmanlıktır!","Burhan","02 Ağustos 15:08","-","","","#Fatura"
"Vodafone Kolay Paket Tam Senlik 20GB'da Eksik Hediye GB Sorunu","Mehmet","02 Ağustos 15:08","32","Faturasız hattan Kolay Paket Tam Senlik 20GB aldım. 3 GB hediyesi olduğu yazıyordu, 3 gündür o hediyenin gelmesini bekliyordum. Müşteri hizmetlerini a","...","#Kolay Paket"
"Fatura Şoku: Vodafone Tarifemi İkiye Katladı!","Kazım","02 Ağustos 15:07","45","2 yıldır kullandığım Vodafone hattımın 225 olan faturasını yenilemek için arandığımda 500 TL olarak güncelleneceğini söylediler ve en düşük tarifenin bu olduğunu bildirdiler. Başka operatöre geçmek için resmen teşvik ediyorlar. Bu şekilde kullanımı kabul etmiyorum","","#Fatura"
"Vodafone Hediye 3 GB Eksik Yükleme Sorunu","Defne","02 Ağustos 14:15","-","Bugün faturasız Vodafone hattıma, B******* iletişim/Bandırma Vodafone şubesinden 330 TL karşılığında 1 hafta geçerli 3 GB hediyeli, tam senlik 12 GB kolay paket yüklendi. Ama 3 GB hediye hala hattıma yüklenmedi. Acilen hakkım olan 3 GB hediyenin hattıma yüklenmesini talep ediyorum. Teşekkürler","","#Kolay Paket"
"Vodafone Yüksek Tarifelerle Dul Maaşı Yetmiyor: Uygun Tarifeye Geçiş Talebi","Leyla","02 Ağustos 13:38","-","Annem N**** a*** 05445902080 numaraları hattın 21.08.2024 tarihinde Uyumlu Tarifem 7 GB paketi 94.45 TL olan aylık ödemeden yeni tarifeye geçiş yapmas","...","#Tarife Değişikliği"
