Yorum,Duygu
urun COK kotu bir kac yikamada hemen soldu 10 yillik nevresim gibi duruyor kesinlikle almayin,0
Gercekten durusu cok sik.Yeni modadan cok utu istemez sanirim.,1
tesekkurler trendyol,1
Bir yakinimiza evlilik hediyesi olarak aldik. Cok guzel. Kalitesi rengi dokusu mukemmel. Kendimize de almayi dusunuyorum.,1
Pes orani pamuktan daha yuksek pek yumusak bir dokusu yok. gorseli guzel ama kullanisli degil. Ben yatak ortusu olarak kullanicam evde fazladan yatagim var modelini begendigim icin iade etmeyecem,2
Mukemmel olmus elinize saglik  ,1
urun cok kaliteli degil ama kargo iyi cabuk geldi fiyat  ta indirim olunca bende kaliteli bisey  sanmistim ne yazikki naylon,0
bugun geldi cok begendim rengi dokusu canli fiyata gore cok.uygundu indirimleri takip edin alin,1
Cok cok kotu bir urun incecik kumasi var . ayaga kardirinca ici gozukuyor . Daha ilk yikamada siyah renk atti ve grilesti . Desenini ve renklerini begendigim icin 2 tane almistim ama cok kotu ve kalitesiz bir urun simdi keske 2. yi almasaydim diyorum sanki parami cope attim . Asiri kotu akliniz varsa goruntuye aldanmayin gidin magazadan dokunarak,0
kayinvalideme anneler gununde hediye almistim rezil oldum o kadar kotu yani ,0
Berbat bir urun zaten resimde gorundugu model gelmedi. Modeline bakmak icin mecbur paketini acmak zorundasiniz paketi acinca da iade kabul etmiyorlar resmen cop yani yikayinca rengi soldu siyahti griye dondu,0
Fiyatina gore kalitesi iyi tek kisilik kirmizi rengini kullaniyorum cift kisiligine denk gelirsem onuda alacagim,1
cok guzel bir urun birisi icin siparis etmistim cok begendi,1
Cok begendim ozellikle modelini..,1
Annem ve teyzeme aldim cok begendiler ama kumasi sert guzel degil ve cekme yapti ben begenmedim kaliteli bir sey degil incecik,2
berbat bir urun asla.almayin rengi ayni degil soluk renk li ve cok once kumas terleten ve cok rahatsiz.edici killi gibi tufler var cok sik bin pismanim,0
resmen aldatmaca fotografta gorunen le ilgisi alakasi yok resmen pazar mali belki pazarda bile bu kadar kotusu satilamazdi yazik verilen paraya,0
Indirimli olarak almistim ilk yikamada renk tonlari   acildi bekledigim gibi gelmedi kullandigim deterjan renk koruma ozellikli 30 derecede yikadim Kumasida kaliteli degildi,0
Cok sik duruyor.,1
Nevresim cift kisilik diyorsuz ama ortuk cok kucuk sevmedim,0
Kalitesi cok kotu. Ne rahat uyunuyor ne de canli desenler var . ilk yikamada soldu.  Aldigima pisman oldum.,0
Cokkkk sik,1
Soluyor diye yorum yapmistim ancak yikanma hatasindan oldugunu farkettim. Solma minimum ancak terletme yapiyor. Deseni guzel.,1
Guzel urun,1
Guzel hos duruyo,1
cok begendim tam oldu.,1
Anneme almistim cok begendi,1
carsafi tek kisilik geldi renk yikayinca bozuldu,0
asla ve asla tavsiye etmiyorum trendyoldan alisveris yapmayin,0
Urun cok guzel cok sik duruyor,1
sekli guzel ama kalitesi kotu hic tavsiye etmem,2
Super  cok begendim cok  sik urun ❤️,1
Boyle kalitesiz berbat bi nevresim takimi omru hayatim boyunca gormedim.resimdeki gibi asla degil kandirmak icin fotosop yapmislar .Gelis paketleme berbat acilmis geldi.iade edemedim .agir berbat bir koku vardi yikadim daha kullanmadan rengi tamamiyle soldu allah sahit aldiginiz para helal olmasin aldiginiz paranin 1 kurusunu dagil haketmiyosunuz.,0
cok gosterisli  duruyor  begendik,1
berbat bir urun. kargoyu actigimda soluk bir urundu. yikadiktan sonra rengi tamamen gitti. asla tavsiye etmiyorum,0
Bekledigimden cok daha hos cikti urun.,1
Berbad bir urun. Cox pesmanam aldigim ucun.,0
Cok sik ve gorundugu gibi,1
utun gercekten guzel ve sik,1
Ilk yikamada sorun yasadim renkler soldu urun gec geldi  ‘’ TAVSIYE ETMIYORUM  ‘’,0
Berbat bir nevresim takimi yikamadan soldu sakin almayin,0
esim  rahatsiz oldu.. yikamadan onceki dokusuda ayniydi yikadiktan sonrada.  ehh  goruntu boyle uzakatan guzel,0
Bir yikamada rengi soldu zaten geldiginde de pek canli degildi tavsiye etmiyorum,0
nazik sevmedim,0
Tek yikamada soldu pismanlik ! Urun cift kisilik carsafi tek kisilik asla alinmaz,0
urun geldi tskler,1
gorunusune aldanmayin o kadar kotu kumasi nasil bu kadar guzel gosterdiler anlamiyorum kumas tamamen naylon paraniza yazik etmeyin,0
paketi acar acmaz degisik agir bir koku sardi etrafi ustelik cok fazla naylosumsu penye gibi degil,0
Paketleme kotu sadece urun basarili,2
cok guzel ciddiyim almaniz lazim ama lacivert olsa daha iyiydi,1
Cok iyi. Kullanisli Bi urun.  Paketleme iyi teslim suresi kisa.,1
urun cok kotu hic begenmedim ilk yikamada renk atti soldu resimdekiyle alakasi yoktur. daha uyguna aldigim  farkli urunler bile daha guzel cikti. bu yorumu  okuyun ve almayin sakin .,0
B,
berbat hem tek kisilik geldi hem kumasi berbat,0
harika bir nevresim takimi,1
Aslinda cok sik cok guzel tam boyle geliyor 2 yikamada renk kalmiyor inanilmaz soldu mahvoldu,0
idreedr. bnn,0
Ben saten zannedip aldim fakat normal geldi yinede cok memnun kaldim goruntusu de kaliteli si de guzel,1
Gorunus kotu,1
Guzel sik urun ve hizli kargo,1
guzel cok seviyorum,1
Urunun kalitesi hic iyi degil almanizi tavsiye etmem ben aldim acmis bulundum,0
guzel tavsiye ederim,1
Berbat bir urun. Ilk yikamada tum renkler yok oldu sanki . 20 yildir kullanilan bir urun gibi oldu bir daha ne yatagima orterim boyle urunu direk cope attim asla tavsiye etmem,0
Ilk defa alisveris yaptim kargo paketleme guzeldi urunu cok begendim tavsiye ederim,1
urunu cok begendik emegi gecen herkezin eline saglik cok tsk ederiz,1
gorundugu gibi degil  kalitesiz yastik kilifi modelleri fotograflarindaki gibi farkli geldi ama iade etmedim gundelik kullanacam,2
urun harika nevresim carsaf yastik kilifi hepsi icinde ....hizli kargo kaliteli urun .....tesekkurler,1
urunu hic begenmedim daha ilk yikamada butun rengi akti verdigim para bosuna gitti siz boyle bi urunu nasil gonderiyounuz aklim almiyo gorselde cok guzel duruyo fakat ilk yikamada butun rengi akiyo sakin almayin arkadaslar,0
"Urunu cooook beyendim iyiki de aldim. Paketlenmesi, hizli teslimat ucun tesekkur ederim",1
Urun anlatildigi gibiydi cift kisilik yataga tam oturdu 160,
Selin cigerci den duyup almistim ama cok pisman oldum renkleri canli degildi ve tek yikamadan sonrada 5 yillik urun gibi oldu sakin almayin,0
Resime aldanmayin gorundugu gibi degil rengi soluk ve kumasi sert,0
urun hic gorundugu gibi degil parlak gozukuyor canli gozukuyor resimde fakat degil ben ceyizime almistim yastik kiliflari da resimdeki gibi degil 1 yikamada soldu ztn boyle canli gorunumu yoktu kumasi da berbat tavsiye etmem pisman oldum ben,0
urune puan vermiyorum  cunku yorumlara ragmen aldim bugun geldi gec geldi bekliyorsunuz bide kotu cikinca insanin hevesi kiriliyor Osmanli denmis hic yakusiyomu ya iaddele ugrasmicam bide parani bekle,0
guzel machaalah ,1
Harikaaa bir kumasi var. Cok begendik esimle. Tesekkurler trendyol ,1
indirimdeyken aldim fotograf a gore mat  carsafida biraz kucuk ayrica yastik gorseldekinden farkli desende,2
guzel rengi,1
Kumasi cok rahatsiz edici,0
hic yildiz vermicektim ama yorum yapabilmek icin verdim hic iyi degil bir kere yarim saatlik attim makinaya soldu akti siyahi tavsiye etmiyorum.,0
kalitesi asiri kotu gercekten naylon gibi ve asiri sert bir yapisi var ve paketinden ilk cikardiginizda o kadar kotu bir kokusu var ki dayanamadik bile kesinlikle onermiyorum,0
guzel tam oldu,1
,1
cok kotu hic tevsiye etmiyorum aldim ancak kalitesi 0  renginde buradaki kibi diyil yemin ederim parlama yazik oldu ben Azerbaycandan siparis etdim  aslinda en begendigim nevresim takimi bu idi ama Cox kotu cikti,0
Berbat Bi urun sakin almayin bir yikamaya renk denen bir sey kalmadi yaziklar olsun saticiya,0
Muhtesem asil,1
Urunun kalitesi de rengi de iyi degil canli siyah degildi bile pisman oldum aldigima.,0
urun foto daki gibi degil. firma ozensiz. yastik kiliflari resim deki gibi degil deseni degisik geldi,0
Gorunusu guzel olmasina ragmen kalite olarak hic guzel degildi naylonsu bir yapisi vardi.,0
Cok begendik erken kargo geliyor guzel urun herkese tavsiye ederim,1
kullanisli hizli kargo tesekkurler,1
mukemmel otesi,1
Urun cok kalitesizdi verilen paraniza yazik almayin kesinlikle. Renkler soluktu zaten Yikama  sonrasi iyice berbat oldu.,0
Hic guzel degil almayinnnnn,0
Bir yikamada renk atti. Gorunusu kadar asil degil. Fotolarla alakasi yok.,0
Hic memnun kalmadim gelen urun elek gibi yeri ve gelince yikadim rengi soldu,0
gorundugu gibi canli bir renk degil icim atarak aldim burukarak kullaniyorum,0
Rengi tek yikamada cikti cok cok cok kotu,0
cok hizli geldi bi de cok guzel,1
cok guzel cok begendim cabuk var hizli sekilde getirdiler tesekkur ediyorum,1
Bugun teslim aldim cok begendim tesekkur ederim,1
Asla almayin yikaninca kumasi soldu gitti hic guzel degil,0
Tek yikamada kisa program olmasina ragmen rengi atti rezil bir urun hakkimi helal etmiyom,0
"Rengi tek yikamada soldu, eski gibi oldu. Tavsiye etmiyorum.",0
Bir yikamada rengi gitti ve diger ortume siyah renk cikti kimsenin almasini tavsiye etmem,0
ilk yikamada rengi ole bir gidiyor ki gorunumu icin soylediginiz nevresimin hicbir degeri kalmiyor.Nevresim de yiknamadan olmaz.Yorumlari okuyup bir sey olmaz deyip soyledik pisman olduk.Ayrica cok sert hos degil.,0
muhtesemdi ya gercekten ama rengi soldu,1
"Urunun renkleri cok cansiz ve resimde gorundugu gibi parlak degil. Ayrica, kumasida biraz serttir, yumusak degildir. Tavsiye etmiyorum.",0
Kaliteli ve hizli gonderim yapildi tesekkur ederim,1
Ilk yakamada rengi soldu bu nasil urundur hic memnun kalmadim yildiz bile verilmez...,0
berbat bir urun iki yikamada soldu tavsiye etmiyorum,0
guzel paketlenmisti,1
"resimde kaliteli saten kumas gibi gorunuyor yolladiklari  incecik naylon gibi. kumasi pamuk65 pes35 yaziyor nasil birsey oldugunu bilmiyordum. pikesinide almistim, bu fiyata beklenti yuksek olmamali aslinda. desani guzel, iscilik iyi, defosu yok, hizli teslimat sadece kumasi kotu, keske bu kumas tan nevresim degilde tul perde dikselermis daha verim",2
Yikaninca soluyor kesinlikle tavsiyes  etmem,0
kislik urun ozellikleri yok,0
Kraliyet ailesinin bir parcasi gibi hissetmek istiyorsaniz kacirmayin derim. :)),1
Fiyati hic haketmiyor . Kumasi cok basit .urun ilk yikamada soldu sakin almayin,0
Urun hic kaliteli degil kumasi cok sert tavsiye etmiyorum yikandikca soluyor hic begenmedim,0
Asiri kalitesiz kumas,0
Bir yikamada oldu. Kesinlikle tavsiye etmiyorum. rengi igrenc bir hale geldi.  cok kotu soldu. emek cekip dikenlere de yazik.  bu kumasin boyamasinda bu kadar adi boya kullanilmaz. siz sattiginiz urunun adiligini bilmiyor musunuz.,0
Cok kotu sakin almayin ilk yikamada rengi soldu,0
yikayinca rengi hemen soldu tavsiye etmem,0
cok kotu aldigima cok pisman oldum kumasi cok ince ilk yikamada butun renkleri gitti almayin,0
kalite sifr   yazik bu paraya. fiyatinin yarisini etmez . guzel yorum yazanlari anlamiyorum demekki kaliteli nevresim takimi gormemisler. sadece yazik. kumasi sep sert dandik.kandirmayin milleti yorumlarla.,0
Ilk yikamada rengi soldu hic memnun kalmadim,0
urunu hic begenmedim. gorundugu gibi degil hic. rengi ilk yikamada atti. pisman oldum aldigima,0
Parasina gore cok ince ve kalitesiz bir urűn resimde goruldugu gibi canli degil TAVSIYE ETMEM,0
sakin almayin rengi gitti ilk yikamada kumas eridi resmen bu paraya yazik,0
Sakin almayin ilk yikamada rengi soldu,0
kumasi cok ince ama renkleri ve deseni guzel carsafi bayagi kucuk cift kislik deyil,2
urun cok cabuk 1 yikamada renk degistirdi tafsiye etmiyoruz,0
Berbat bir urun ilk yikamada renkler soldu,0
bir iki yikamadi rengi soldu hic begenmedim.tavsiye etmem.,0
1 yikamada renk falan kalmadi. Cope attim,0
kesinlikle almayin paraniza yazik edersiniz gorunuse aldanip aldim bin pismanim oylece dolabimda duruyor birine versem arkamdan kufur ederler resmen paramla rezil oldum anlayacagin.... sakinnnn almaaa,0
"Urunum kusa surede geldi ancak kumasi pamuklu degil, desen fakli ve 4 yastik kifi degil 2 yastik kilifi geldi 🤔",0
urun cok guzel bekledigim gibi geldi...bir tane de kirmizisini siparis ettim onun gelmesini bekliyorum.herkese tavsiye ederim.marketlerle ayni fiyata daha kaliteli ve gosterisli,1
Rengi yikandkca soldu zaten geldigindede canli degildi tavsiye etmem,0
Kesinlikle tavsiye etmiyorum aldik yikadik rengi gitti tamamen kotu. altinimsi parlak bir gorunumu yok .  Kumasida guzel degil,0
kesinlikle tavsiye etmiyorum bayilarak aldim ama 2. yikamada 39 derecede yikanmasina ragmen soldu ve cok ince tulbent kumasi gibi,0
Rengi ilk yikamada soldu asla tavsiye etmiyorum ,0
cok sert kumasa sahip,0
"kesinlikle alakasi yok,berbat ve soluk cansiz bir rengi var.Pazar malindan bile kotu bir kalitesi var iade edicem,kesinlikle tavsiye etmem.",0
ilk yikamada rengi soldu kalitesi cok kotu.  yikadiktan sonra kuculdu. tavsiye etmiyorum,0
aldim bi kere kullandim simdi duruyor bi kosede cok berbat bi urun verdigim para bosuna gitti,0
cok kotu bir urun hic kullanmadan 1 kere yikadim butun renkleri soldu kullanamadan verdigim paraya yazik gercekten,0
2 yikamada  dusuk isida yikamama ragmen urunun rengi soldu igrenc bi hal aldi asla tavsiye etmiyorum,0
